english,russian,sentence,difficulty
mall,торговый центр,Let's meet at the **mall** tomorrow.,1
market,рынок,I buy fruit at the **market**.,1
supermarket,супермаркет,The **supermarket** closes at ten.,1
boutique,бутик,She owns a small **boutique** downtown.,3
pharmacy,аптека,The **pharmacy** is next to the bank.,2
bakery,пекарня,Fresh bread comes from the **bakery**.,2
butcher,мясник,The **butcher** cut the meat for me.,3
grocer,бакалейщик,The old **grocer** knows every customer.,4
store,магазин,This **store** has great prices.,1
shop,магазин,I need to **shop** for groceries.,1
cashier,кассир,The **cashier** scanned my items quickly.,2
clerk,продавец,Ask the **clerk** for help.,2
price,цена,What is the **price** of this?,1
cost,стоить,How much does it **cost**?,1
cash,наличные,I prefer to pay in **cash**.,1
card,карта,Can I use my **card** here?,1
change,сдача,Here is your **change**.,2
change,менять,Can I **change** this shirt?,2
coupon,купон,I have a **coupon** for ten percent.,2
discount,скидка,They offer a student **discount**.,2
sale,распродажа,Everything is on **sale** today.,2
refund,возврат денег,I want a full **refund** please.,2
exchange,обмен,Can I make an **exchange**?,2
total,итого,The **total** comes to fifty dollars.,2
tax,налог,The **tax** is already included.,2
fee,сбор,There is a small service **fee**.,2
charge,взимать,They **charge** extra for delivery.,3
shirt,рубашка,He wore a white **shirt** today.,1
pants,брюки,These **pants** are too long.,1
dress,платье,She bought a new **dress**.,1
skirt,юбка,The **skirt** matches her blouse.,2
jacket,куртка,Put on your **jacket** before leaving.,1
coat,пальто,I lost my winter **coat**.,1
sweater,свитер,This **sweater** is very warm.,2
jeans,джинсы,My **jeans** are faded now.,1
suit,костюм,He wore a black **suit** yesterday.,2
tie,галстук,His **tie** matches the jacket perfectly.,2
scarf,шарф,Wrap the **scarf** around your neck.,2
hat,шляпа,Take off your **hat** inside.,1
cap,кепка,He wears a baseball **cap**.,1
gloves,перчатки,I forgot my **gloves** at home.,2
socks,носки,These **socks** have a hole.,1
underwear,нижнее бельё,I need to buy new **underwear**.,2
shoes,обувь,These **shoes** are very comfortable.,1
