pinata,пиньята,The children took turns hitting the **pinata**.,2
noisemaker,шумелка,He blew his **noisemaker** at midnight.,3
emcee,ведущий,The **emcee** announced the next act loudly.,3
jubilee,юбилей,The queen celebrated her silver **jubilee** yesterday.,4
eulogy,надгробная речь,His brother gave a touching **eulogy**.,4
wake,поминки,Friends gathered at the **wake** after midnight.,3
officiant,распорядитель церемонии,The **officiant** guided them through the vows.,4
altar,алтарь,The couple exchanged rings at the **altar**.,3
chapel,часовня,They married in a tiny stone **chapel**.,3
pew,скамья,Guests filled every **pew** in the church.,3
ballroom,бальный зал,The grand **ballroom** glittered with golden lights.,3
marquee,шатёр,A huge white **marquee** covered the garden.,3
pavilion,павильон,The reception was held inside a **pavilion**.,3
festivity,празднование,The **festivity** lasted until the next morning.,3
jamboree,гулянье,The annual **jamboree** drew thousands of visitors.,4
revelry,веселье,Late-night **revelry** filled the empty streets.,4
merriment,веселье,Laughter and **merriment** echoed through the hall.,4
jollity,веселье,Christmas **jollity** filled every corner of home.,5
festive,праздничный,The room had a wonderfully **festive** atmosphere.,3
cheery,весёлый,She wore a **cheery** red holiday dress.,3
joyous,радостный,It was a **joyous** occasion for everyone.,3
jovial,весёлый,Grandpa was in a **jovial** holiday mood.,4
raucous,шумный,The **raucous** crowd cheered the birthday boy.,4
uproarious,бурный,Their **uproarious** laughter filled the whole building.,5
boisterous,буйный,The **boisterous** guests danced until dawn broke.,4
jubilant,ликующий,The **jubilant** newlyweds kissed under the arch.,4
cheerful,бодрый,She greeted guests with a **cheerful** smile.,2
vivacious,живой,She was a **vivacious** and charming birthday host.,5
uplifting,поднимающий настроение,The band played an **uplifting** celebration song.,4
upbeat,бодрый,The DJ kept the music very **upbeat**.,3
chatter,болтовня,Happy **chatter** filled the decorated dining room.,3
laughter,смех,Warm **laughter** drifted from the garden party.,2
giggle,хихикать,The flower girls started to **giggle** softly.,3
chuckle,смешок,Grandpa gave a quiet **chuckle** at jokes.,3
hoot,улюлюканье,The crowd let out a loud **hoot**.,3
roar,рёв,A happy **roar** erupted from the guests.,3
whoop,возглас,Everyone raised a joyous **whoop** at midnight.,4
hubbub,гул,A cheerful **hubbub** filled the crowded room.,4
din,гул,The **din** of celebration drowned the music.,4
ruckus,шум,Kids made a happy **ruckus** near cake.,4
ovation,овация,The speech received a standing **ovation**.,4
serenade,серенада,He sang a soft **serenade** to her.,4
carol,колядка,Children sang a Christmas **carol** at door.,3
anthem,гимн,Guests stood for the national **anthem** proudly.,3
jukebox,музыкальный автомат,An old **jukebox** played vintage party songs.,3
deejay,диджей,The **deejay** mixed tracks all night long.,3
boombox,магнитофон,He brought an old **boombox** to party.,3
amp,усилитель,The speakers needed a louder **amp** tonight.,3
speaker,колонка,The huge **speaker** pumped out dance music.,2
strobe,стробоскоп,The **strobe** flashed across the crowded dance floor.,3
floodlight,прожектор,A bright **floodlight** lit the outdoor stage.,4
lanterns,фонарики,Paper **lanterns** swayed gently above the tables.,3
festoon,гирлянда,A paper **festoon** hung above the dining table.,5
bunting,флажки,Red and white **bunting** decorated the hall.,4
drapes,драпировка,Silk **drapes** framed the wedding photo booth.,4
backdrop,фон,Guests posed in front of the flower **backdrop**.,3
archway,арка,A floral **archway** stood near the altar.,3
canopy,навес,The bride walked under a white **canopy**.,3
corsage,бутоньерка,Her mother pinned a rose **corsage** on.,4
boutonniere,бутоньерка,The groom wore a small white **boutonniere**.,5
sash,лента,The beauty queen wore a purple **sash**.,3
tiara,тиара,The birthday girl got a sparkling **tiara**.,3
diadem,диадема,The bride wore a sparkling silver **diadem**.,5
bowtie,галстук-бабочка,The groom adjusted his black silk **bowtie**.,3
cummerbund,пояс к смокингу,He wore a red silk **cummerbund** tonight.,5
honoree,виновник торжества,The **honoree** received a beautiful bouquet of roses.,4
debutante,дебютантка,The young **debutante** danced with her father.,4
bestman,шафер,The **bestman** gave a funny speech tonight.,3
maidofhonor,подружка невесты,The **maidofhonor** walked slowly down the aisle.,3
ringbearer,мальчик с кольцами,The little **ringbearer** nervously carried the golden rings.,3
flowergirl,девочка с цветами,The tiny **flowergirl** scattered petals down the aisle.,3
crasher,незваный гость,A party **crasher** sneaked in through the window.,4
wallflower,стеснительный гость,She stood alone like a shy **wallflower**.,4
plusone,спутник,He brought his new girlfriend as **plusone**.,4
invitee,приглашённый,Every **invitee** received a handwritten thank-you note.,3
attendee,присутствующий,Each **attendee** got a small party favor.,3
onlooker,зритель,An **onlooker** filmed the whole wedding ceremony.,3
well-wisher,доброжелатель,A kind **well-wisher** gave them a gift.,4
waltz,вальс,They danced a beautiful Viennese **waltz** together.,3
tango,танго,She learned the **tango** for her wedding.,3
conga,конга,Everyone joined the **conga** line around tables.,3
limbo,лимбо,The kids played **limbo** under the stick.,3
hora,хора,Family lifted them during the traditional **hora** dance.,5
jig,джига,Grandpa danced a lively Irish **jig** happily.,4
promnight,выпускной,Her **promnight** dress cost way too much.,3
homecoming,возвращение домой,He took Lisa to the **homecoming** dance.,3
graduation,выпуск,The **graduation** party lasted until late Saturday night.,2
retirement,выход на пенсию,His **retirement** party featured many old colleagues.,2
housewarming,новоселье,We brought wine to their **housewarming** party.,3
farewell,прощание,Coworkers threw a **farewell** lunch for her.,3
bridalshower,девичник,Her sister planned the **bridalshower** last Saturday.,3
babyshower,детский душ,The **babyshower** had cute blue balloons everywhere.,3
potluck,вечеринка со своей едой,Each guest brought one dish to **potluck**.,3
luau,луау,They hosted a Hawaiian **luau** by the pool.,4
masquerade,маскарад,Guests wore masks to the elegant **masquerade**.,4
carnival,карнавал,The street **carnival** attracted thousands of cheerful dancers.,3
fiesta,фиеста,The Mexican **fiesta** had music and dancing.,3
hoedown,деревенская вечеринка,They held a country **hoedown** in the barn.,4
eventful,насыщенный,It was a truly **eventful** wedding weekend overall.,3
