english,russian,sentence,difficulty
atom,атом,Every **atom** has a tiny nucleus.,2
molecule,молекула,A water **molecule** contains three atoms.,2
energy,энергия,The sun gives us pure **energy**.,1
speed,скорость,Light travels at enormous **speed**.,1
heat,тепло,The stove gives off strong **heat**.,1
weight,вес,The stone has heavy **weight**.,1
metal,металл,This **metal** conducts electricity well.,1
sky,небо,Stars shine in the dark **sky**.,1
life,жизнь,**Life** exists on planet Earth.,1
gas,газ,Oxygen is a colorless **gas**.,1
liquid,жидкость,Water is a simple **liquid**.,1
cell,клетка,Every **cell** has a nucleus inside.,2
cell,камера,The prisoner sat in his **cell**.,3
mass,масса,**Mass** and weight are different things.,2
mass,множество,A **mass** of people gathered outside.,4
force,сила,Gravity is a natural **force**.,2
force,принуждать,You cannot **force** him to agree.,2
power,сила,This engine has great **power** indeed.,2
power,электричество,We lost **power** during the storm.,2
current,ток,Electric **current** flows through the wire.,3
current,текущий,The **current** year is almost over.,3
wave,волна,Each sound **wave** travels through air.,2
wave,махать,Children **wave** their hands goodbye.,2
solution,раствор,We mixed salt into the **solution**.,3
solution,решение,We found a clever **solution** finally.,2
compound,соединение,Water is a chemical **compound**.,4
compound,составной,This is a **compound** word example.,4
element,элемент,Oxygen is a vital **element**.,2
element,стихия,Fire is a destructive **element**.,4
species,вид,This **species** of frog is rare.,3
gravity,гравитация,The moon has weaker **gravity**.,3
gravity,серьёзность,Nobody understood the **gravity** of this.,5
matter,материя,All **matter** consists of atoms.,3
matter,иметь значение,Your feelings really **matter** to me.,2
nucleus,ядро,The atom has a small **nucleus**.,4
proton,протон,Each **proton** has positive charge.,4
neutron,нейтрон,The **neutron** has no charge.,4
electron,электрон,An **electron** orbits around the atom.,3
particle,частица,A tiny **particle** floats in air.,4
beam,луч,A sun **beam** warmed my face.,3
beam,балка,The wooden **beam** holds the roof.,4
ray,луч,A single **ray** lit the room.,3
glow,свечение,The fire made a warm **glow**.,4
glow,светиться,Fireflies **glow** brightly at night.,4
reflect,отражать,Mirrors **reflect** light very clearly.,3
refract,преломлять,Prisms **refract** light into many colors.,5
orbit,орбита,The moon moves along its **orbit**.,3
planet,планета,Mars is a red **planet**.,2
galaxy,галактика,Our **galaxy** contains billions of stars.,3
universe,вселенная,The **universe** is expanding every day.,4
comet,комета,A bright **comet** passed near us.,4
meteor,метеор,A **meteor** lit up the sky.,4
eclipse,затмение,A solar **eclipse** happened last week.,4
asteroid,астероид,An **asteroid** passed close to Earth.,5
rocket,ракета,The **rocket** launched into outer space.,2
satellite,спутник,A **satellite** orbits our home planet.,3
astronaut,астронавт,The **astronaut** floats inside the station.,3
acid,кислота,This **acid** can damage your skin.,3
alkali,щёлочь,An **alkali** is the opposite of acid.,5
crystal,кристалл,A snow **crystal** has six sides.,3
powder,порошок,Grind the stone into fine **powder**.,3
spark,искра,A tiny **spark** started the fire.,3
flame,пламя,The candle **flame** danced gently.,2
ash,пепел,Only **ash** remained after the fire.,3
mist,туман,Morning **mist** covered the quiet lake.,4
vapor,пар,Water **vapor** floats in the atmosphere.,4
drop,капля,A single **drop** fell from above.,2
drop,ронять,Do not **drop** this fragile tube.,2
bubble,пузырь,A soap **bubble** floated through air.,3
freeze,замораживать,Low temperatures **freeze** water into ice.,2
dissolve,растворять,Sugar will **dissolve** in hot water.,4
absorb,поглощать,Sponges **absorb** water very quickly.,4
release,выпускать,Plants **release** oxygen during daytime.,3
expand,расширять,Gases **expand** when heated strongly.,4
shrink,сжиматься,Metal can **shrink** when it cools.,4
bend,сгибать,You can **bend** this flexible wire.,2
float,плавать,Wood will **float** on calm water.,2
measure,измерять,Scientists **measure** temperature using thermometers.,3
observe,наблюдать,Scientists **observe** stars through telescopes.,4
predict,предсказывать,We can **predict** weather patterns now.,3
prove,доказывать,He will **prove** his bold theory.,3
theory,теория,Einstein created his famous **theory**.,3
law,закон,Newton discovered a basic **law**.,2
experiment,эксперимент,We did an **experiment** in class.,3
discovery,открытие,Her **discovery** changed modern science.,3
invention,изобретение,The wheel was a great **invention**.,3
research,исследование,Her **research** focuses on rare diseases.,4
data,данные,The scientists collected **data** carefully.,4
method,метод,Use the scientific **method** properly.,4
goggles,защитные очки,Wear **goggles** during every experiment.,5
tube,трубка,Pour liquid into the test **tube**.,3
beaker,мензурка,A glass **beaker** held blue liquid.,5
flask,колба,The **flask** contained a green mixture.,5
funnel,воронка,Use a **funnel** to pour liquid.,4
wire,провод,The copper **wire** carries electricity.,3
magnet,магнит,A strong **magnet** attracts iron nails.,3
lens,линза,Each **lens** bends the passing light.,4
species,род,Humans belong to a unique **species**.,4
genome,геном,The human **genome** contains many genes.,5
evolve,эволюционировать,Species slowly **evolve** over many generations.,5
lava,лава,Hot **lava** flowed slowly down the mountainside.,3
magma,магма,Deep underground the **magma** stays extremely hot.,3
volcano,вулкан,The ancient **volcano** erupted last summer.,2
earthquake,землетрясение,A strong **earthquake** shook the entire city.,2
crater,кратер,The meteor left a huge **crater** behind.,3
geyser,гейзер,A steaming **geyser** sprayed water into the sky.,4
fossil,окаменелость,Scientists found a dinosaur **fossil** in the cliff.,3
sediment,осадок,Thick **sediment** settled at the bottom of the lake.,3
erosion,эрозия,Soil **erosion** happens quickly on bare hillsides.,3
alloy,сплав,Bronze is an **alloy** of copper and tin.,4
bacteria,бактерии,Harmful **bacteria** can grow in warm water.,3
enzyme,фермент,An **enzyme** helps break down food in the stomach.,4
gene,ген,Each **gene** carries specific biological information.,4
dna,днк,Human **dna** contains billions of tiny instructions.,4
chromosome,хромосома,Each **chromosome** holds many important genes.,5
membrane,мембрана,The cell **membrane** controls what enters the cell.,4
tissue,ткань,Muscle **tissue** is made of long thin fibers.,3
fungus,гриб,A strange **fungus** was growing on the log.,3
algae,водоросли,Green **algae** covered the surface of the pond.,3
plankton,планктон,Tiny **plankton** float near the ocean surface.,4
larva,личинка,A young **larva** hatches from the tiny egg.,4
microbe,микроб,This tiny **microbe** can only be seen under glass.,4
mold,плесень,Green **mold** was growing on the old bread.,3
spore,спора,A single **spore** can grow into a new fungus.,4
mammal,млекопитающее,A whale is a large ocean **mammal**.,3
reptile,рептилия,A snake is a cold-blooded **reptile**.,3
amphibian,земноводное,A frog is a common **amphibian** near ponds.,4
insect,насекомое,The beetle is a hard-shelled **insect**.,2
vertebrate,позвоночное,A dog is a four-legged **vertebrate**.,4
