chassis,шасси,The truck **chassis** was made of steel.,4
suspension,подвеска,The car **suspension** absorbed every bump nicely.,4
rearview,зеркало заднего вида,She checked the **rearview** mirror before turning.,3
steering,руль,The **steering** felt loose after the accident.,3
ignition,зажигание,He turned the key in the **ignition**.,3
tachometer,тахометр,The **tachometer** showed high engine revs.,4
glovebox,бардачок,The registration papers were in the **glovebox**.,3
airbag,подушка безопасности,The **airbag** deployed during the sudden crash.,3
visor,козырёк,She lowered the sun **visor** to block glare.,3
spoiler,спойлер,The rear **spoiler** improved the car stability.,3
hubcap,колпак,The **hubcap** fell off on the highway.,3
fender,крыло,The **fender** was dented in the parking lot.,3
grille,решётка радиатора,A stone cracked the front **grille**.,3
antifreeze,антифриз,He added **antifreeze** to the radiator.,3
coolant,охлаждающая жидкость,The engine **coolant** needs replacing soon.,3
lubricant,смазка,Fresh **lubricant** keeps the gears running smoothly.,4
headrest,подголовник,Adjust your **headrest** for better safety.,2
cruise,круиз-контроль,He set **cruise** control at sixty-five.,2
hazard,аварийка,She switched on the **hazard** lights quickly.,2
handbrake,ручник,Pull the **handbrake** before leaving the car.,2
shifter,рычаг передач,The **shifter** stuck in third gear.,3
interchange,развязка,The highway **interchange** was badly designed.,3
bypass,объездная,They took the **bypass** around the city.,2
interstate,межштатная трасса,We drove the **interstate** all night long.,3
expressway,скоростная магистраль,The **expressway** was closed for repairs.,3
freeway,автострада,Traffic on the **freeway** moved slowly today.,2
turnpike,платное шоссе,The **turnpike** connects two major cities.,4
carport,навес для машины,He parked under the wooden **carport**.,3
driveway,подъездная дорожка,The kids played in the **driveway** again.,2
onramp,въезд на трассу,The **onramp** was blocked by construction.,3
offramp,съезд с трассы,Take the next **offramp** to reach downtown.,3
detour,объезд,The **detour** added twenty minutes to our trip.,2
overpass,эстакада,The **overpass** was closed for maintenance.,3
underpass,подземный переход,Water flooded the **underpass** during the storm.,3
tollbooth,пункт оплаты,He paid cash at the **tollbooth**.,3
motorist,автомобилист,Every **motorist** should carry an emergency kit.,3
cyclist,велосипедист,The **cyclist** signaled before turning left.,2
pedestrian,пешеход,A **pedestrian** waited patiently at the corner.,2
jaywalker,нарушитель,The **jaywalker** darted across the busy street.,4
hitchhiker,автостопщик,She picked up a young **hitchhiker**.,3
jumpstart,прикурить аккумулятор,He needed to **jumpstart** his dead battery.,3
overheat,перегреваться,The engine can **overheat** in summer traffic.,3
breakdown,поломка,We waited hours after the **breakdown** happened.,2
stalled,заглохшая,A **stalled** car blocked the middle lane.,3
rollover,переворот,The **rollover** crash closed three lanes.,4
pileup,массовая авария,The foggy **pileup** involved twelve vehicles.,4
sideswipe,боковой удар,A truck nearly caused a **sideswipe** crash.,4
fishtail,занос,The rear wheels started to **fishtail** on ice.,4
hydroplane,аквапланирование,Cars can **hydroplane** on wet highways.,4
insurance,страховка,Show your **insurance** card to the officer.,2
citation,штрафная квитанция,The officer issued a **citation** for speeding.,3
speeding,превышение скорости,She got a ticket for **speeding** yesterday.,2
reckless,безрассудное,**Reckless** driving can cost someone their life.,3
dui,вождение в нетрезвом виде,He was arrested for a **dui** last night.,4
minivan,минивэн,Their family **minivan** seats seven comfortably.,2
hatchback,хэтчбек,She drives a blue **hatchback**.,3
coupe,купе,The red sports **coupe** turned many heads.,3
moped,мопед,He rode his **moped** to the bakery.,3
limousine,лимузин,A white **limousine** pulled up to the hotel.,3
wagon,универсал,The station **wagon** held all our luggage.,3
vehicle,транспортное средство,Please move your **vehicle** from this zone.,2
automobile,автомобиль,The antique **automobile** was beautifully restored.,3
carpool,совместные поездки,They joined a **carpool** to save money.,3
flare,сигнальный огонь,He lit a **flare** to warn drivers.,3
reflector,отражатель,The **reflector** posts lined the dark road.,3
guardrail,ограждение,The car hit the metal **guardrail** hard.,3
barrier,барьер,A concrete **barrier** divided the lanes.,2
rumble,ребристая полоса,The **rumble** strip warned sleepy drivers.,3
navigate,ориентироваться,It is hard to **navigate** without a map.,2
traction,сцепление,Winter tires give better **traction** on ice.,3
uturn,разворот,She made a quick **uturn** at the light.,3
rotate,переставлять,You should **rotate** your tires regularly.,3
alignment,развал-схождение,The wheels need an **alignment** after that pothole.,4
oncoming,встречный,An **oncoming** truck flashed its bright lights.,3
winding,извилистая,The **winding** mountain road scared the driver.,3
hairpin,крутой поворот,The **hairpin** curve slowed every car down.,4
switchback,серпантин,The mountain **switchback** climbed steeply upward.,4
roadside,обочина,They stopped at a **roadside** diner for lunch.,2
crest,вершина,At the **crest** of the hill she braked.,3
straightaway,прямой участок,The long **straightaway** let him accelerate freely.,4
mudflap,брызговик,The **mudflap** protected the car from splashes.,4
quarterpanel,боковина кузова,The **quarterpanel** was repainted after the dent.,4
runningboard,подножка,He stepped onto the **runningboard** of the truck.,4
pillar,стойка,The front **pillar** supports the windshield frame.,3
cowl,капот двигателя,The **cowl** panel covers the wipers area.,4
headliner,обивка потолка,The car **headliner** started sagging last year.,4
deflate,сдуваться,The tire began to **deflate** slowly overnight.,3
inflate,накачивать,You should **inflate** the tires before driving.,3
tread,протектор,The tire **tread** was worn down completely.,3
