congress,конгресс,The United States **congress** voted on the defense budget.,3,politics
congressman,конгрессмен,Our local **congressman** visited the school last week.,3,politics
congresswoman,конгрессвумен,The **congresswoman** introduced a bill on clean energy.,4,politics
judiciary,судебная система,An independent **judiciary** protects citizens from abuse.,4,politics
ambassador,посол,The French **ambassador** met the foreign minister today.,3,politics
spokesperson,пресс-секретарь,A White House **spokesperson** answered questions from reporters.,4,politics
libertarian,либертарианец,A **libertarian** candidate joined the televised debate.,5,politics
nationalist,националист,The **nationalist** party gained seats in the recent election.,4,politics
populist,популист,A **populist** leader often blames elites for economic problems.,4,politics
conservatism,консерватизм,Traditional **conservatism** emphasizes order and gradual change.,5,politics
socialist,социалист,A young **socialist** won the primary by a wide margin.,4,politics
capitalist,капиталист,The **capitalist** system rewards innovation and risk-taking.,4,politics
centrism,центризм,His brand of **centrism** appealed to undecided voters.,5,politics
ideological,идеологический,The debate revealed deep **ideological** differences between parties.,5,politics
partisan,пристрастный,The bill passed along strict **partisan** lines yesterday.,4,politics
bipartisan,двухпартийный,Both sides reached a rare **bipartisan** agreement on infrastructure.,5,politics
gridlock,тупик,Political **gridlock** delayed the budget for months.,5,politics
stalemate,безвыходное положение,Negotiations ended in a frustrating **stalemate** last night.,4,politics
tariff,тариф,The government imposed a new **tariff** on imported steel.,4,politics
embargo,эмбарго,An oil **embargo** damaged the country's struggling economy.,5,politics
ceasefire,прекращение огня,Both sides agreed to a temporary **ceasefire** yesterday.,4,politics
armistice,перемирие,The **armistice** ended four years of brutal fighting.,5,politics
truce,перемирие,The fragile **truce** lasted only a few weeks.,4,politics
superpower,сверхдержава,The country emerged as a global **superpower** after the war.,4,politics
bilateral,двусторонний,The two nations signed a **bilateral** trade agreement.,5,politics
multilateral,многосторонний,A **multilateral** effort addressed the refugee crisis effectively.,5,politics
envoy,посланник,A special **envoy** traveled to the region for peace talks.,5,politics
consulate,консульство,The **consulate** issued emergency visas to stranded travelers.,4,politics
dictator,диктатор,The **dictator** ruled the country with an iron fist.,3,politics
dictatorship,диктатура,Life under the **dictatorship** was harsh and fearful.,4,politics
tyranny,тирания,Citizens rose up against years of cruel **tyranny**.,4,politics
despot,деспот,The old **despot** fled when the rebels approached.,5,politics
hegemony,гегемония,Regional **hegemony** gave the state enormous political leverage.,5,politics
oppression,угнетение,Generations suffered under the **oppression** of the regime.,4,politics
rebellion,восстание,The peasant **rebellion** spread across the southern provinces.,4,politics
insurgency,мятеж,A violent **insurgency** threatened the stability of the new government.,5,politics
militia,ополчение,A local **militia** took control of several border towns.,4,politics
extremism,экстремизм,Growing **extremism** worried security officials across Europe.,5,politics
