flexible,гибкий,The hotel offers a **flexible** cancellation policy for guests.,2,hotel
guestroom,гостевой номер,Each **guestroom** features a balcony and ocean view.,2,hotel
gameroom,игровая комната,Kids love the **gameroom** on the second floor.,2,hotel
creche,детская комната,"The resort has a **creche** for toddlers, fully supervised.",3,hotel
jacquard,жаккард,The curtains are woven from luxury **jacquard** fabric.,4,hotel
brocade,парча,Heavy **brocade** drapes hang in the grand ballroom.,4,hotel
damask,дамаст,White **damask** tablecloths cover the dining tables.,4,hotel
chenille,шенилл,A soft **chenille** throw lay across the bed.,4,hotel
pima,пима хлопок,The sheets are made of premium **pima** cotton.,4,hotel
percale,перкаль,Crisp **percale** bedding gives a hotel-quality feel.,4,hotel
quilted,стеганый,A **quilted** bedspread covered the king-size mattress.,3,hotel
eiderdown,гагачий пух,Every suite includes a warm **eiderdown** comforter.,5,hotel
afghan,плед,A knitted **afghan** was folded at the bed's foot.,3,hotel
cashmere,кашемир,The bathrobes are woven from pure **cashmere** wool.,3,hotel
lotion,лосьон,A small bottle of **lotion** sits on the vanity.,2,hotel
moisturizer,увлажнитель,The bathroom kit included a face **moisturizer** sample.,3,hotel
loofah,мочалка,A natural **loofah** hung beside the shower.,3,hotel
sunscreen,солнцезащитный крем,The pool attendant handed me free **sunscreen**.,2,hotel
sunblock,солнцезащитный крем,Apply **sunblock** before swimming in the pool.,2,hotel
repellent,репеллент,Insect **repellent** is provided for outdoor guests.,3,hotel
kimono,кимоно,Each room features a silk **kimono** instead of robes.,3,hotel
yukata,юката,The ryokan provides a cotton **yukata** for guests.,5,hotel
monogram,монограмма,Every towel bears the resort's gold **monogram**.,3,hotel
bathmat,коврик для ванной,Step onto the fluffy **bathmat** after bathing.,2,hotel
highchair,детский стульчик,The restaurant provided a wooden **highchair** for the baby.,2,hotel
swedish,шведский,She booked a relaxing **Swedish** massage appointment.,3,hotel
thai,тайский,I tried a traditional **Thai** massage at the spa.,2,hotel
tanning,загар,The rooftop offers a **tanning** deck with lounge chairs.,3,hotel
solarium,солярий,"A glass **solarium** overlooks the gardens, bright and warm.",4,hotel
infrared,инфракрасный,The spa includes an **infrared** sauna cabin.,3,hotel
plunge,бассейн с холодной водой,After the sauna guests use the cold **plunge** pool.,3,hotel
lounger,шезлонг,She reserved a poolside **lounger** early this morning.,3,hotel
parasol,пляжный зонт,A striped **parasol** shaded the outdoor table.,3,hotel
sunbed,лежак,Every **sunbed** comes with a complimentary beach towel.,3,hotel
bidet,биде,Each bathroom features a modern ceramic **bidet**.,4,hotel
washbasin,раковина,The marble **washbasin** gleamed under the mirror.,3,hotel
hydromassage,гидромассаж,The wellness center offers underwater **hydromassage** therapy.,5,hotel
shiatsu,шиацу,Book a **shiatsu** session with our Japanese therapist.,5,hotel
footbath,ванночка для ног,Each pedicure begins with a warm **footbath**.,3,hotel
cryotherapy,криотерапия,The spa offers whole-body **cryotherapy** sessions daily.,5,hotel
chromotherapy,цветотерапия,Her suite included a **chromotherapy** shower with colored lights.,5,hotel
halotherapy,галотерапия,The salt room provides **halotherapy** for respiratory health.,5,hotel
exfoliator,эксфолиант,The gift bag included a sugar **exfoliator** sample.,4,hotel
bubblebath,пенная ванна,She relaxed in a hot **bubblebath** before bed.,2,hotel
folio,счет гостя,"Please check your guest **folio** at reception, sir.",4,hotel
incidentals,дополнительные расходы,A deposit covers minibar and other **incidentals** charges.,5,hotel
refundable,возвратный,"We selected the fully **refundable** rate, just in case.",3,hotel
nonrefundable,невозвратный,"This **nonrefundable** booking saves twenty percent, note that.",4,hotel
portering,услуги носильщика,The hotel charges a small **portering** fee per bag.,5,hotel
minibus,микроавтобус,A complimentary **minibus** runs between airport and hotel.,3,hotel
larder,кладовая,The chef checked the **larder** for fresh ingredients.,4,hotel
scullery,моечная,Dirty dishes pile up in the busy **scullery**.,5,hotel
dumbwaiter,малый грузовой лифт,Room service travels via a small **dumbwaiter**.,5,hotel
servery,буфет,Breakfast is laid out along the **servery** counter.,5,hotel
seater,столик на двоих,"Please show me to a two **seater** table, please.",3,hotel
headwaiter,метрдотель,The **headwaiter** escorted us to a window table.,4,hotel
cellar,винный погреб,The wine **cellar** holds three thousand rare bottles.,3,hotel
busboy,помощник официанта,The **busboy** cleared plates quickly after dessert.,3,hotel
vintner,виноторговец,"The resort partners with a local **vintner**, offering tastings.",5,hotel
cellarman,работник винного погреба,The **cellarman** proudly showed us his oldest vintages.,5,hotel
poolside,у бассейна,We ordered cocktails at the **poolside** bar.,2,hotel
poolhouse,павильон у бассейна,Changing rooms are inside the shaded **poolhouse**.,3,hotel
swimwear,купальник,Guests must wear proper **swimwear** in the pool.,3,hotel
