trigonometry,тригонометрия,**Trigonometry** deals with the relationships between angles and sides.,4,school
sociology,социология,She chose **sociology** as her major because she loves studying human behavior.,4,school
psychology,психология,**Psychology** explains why people think and act the way they do.,4,school
counselor,школьный психолог,The **counselor** helped me choose the right courses for next year.,3,school
prom,выпускной бал,Everyone spent weeks planning their outfits for the school **prom**.,3,school
orientation,ориентационная неделя,New students attend **orientation** to learn how the campus works.,3,school
elective,факультатив,I chose drama as my **elective** for the spring semester.,3,school
prerequisite,предварительное требование,Statistics is a **prerequisite** for this advanced data course.,4,school
compulsory,обязательный,Physical education is **compulsory** for all students in the first year.,4,school
enrollment,зачисление,**Enrollment** for the new term opens on the first of March.,3,school
distinction,отличие с отличием,She graduated with **distinction** after four years of hard work.,4,school
merit,заслуга,The award is given on **merit** rather than on attendance alone.,4,school
rank,место в рейтинге,He finished first in the class **rank** after a very tough semester.,3,school
extracurricular,внеклассный,Joining an **extracurricular** activity helps you make friends outside class.,4,school
clique,группировка,Every school has at least one **clique** that is hard to join.,3,school
feedback,обратная связь,The teacher gave detailed **feedback** on every paragraph of our essay.,3,school
revision,повторение материала,Good **revision** the night before an exam really helps your memory.,3,school
plagiarism,плагиат,Copying another student's work is a serious form of **plagiarism**.,4,school
bibliography,список литературы,Every research paper must include a full **bibliography** at the end.,4,school
cite,ссылаться,Always **cite** your sources when you write an academic essay.,3,school
analyze,анализировать,Students must **analyze** the poem before writing their response.,3,school
evaluate,оценивать,The teacher asked us to **evaluate** the strength of each argument.,3,school
summarize,кратко излагать,Can you **summarize** the chapter in three clear sentences?,3,school
comprehend,понимать,It is hard to **comprehend** the theory without reading the textbook.,3,school
annotate,делать пометки,She likes to **annotate** her textbooks with short notes in the margins.,4,school
paraphrase,перефразировать,The teacher asked us to **paraphrase** the passage in our own words.,4,school
outline,план,Write a brief **outline** before you start your essay.,3,school
proofread,редактировать,Always **proofread** your essay before handing it in.,3,school
coursework,курсовая работа,The final grade includes both the exam and the **coursework** score.,4,school
assessment,оценивание,The **assessment** included a written test and an oral component.,3,school
criterion,критерий,Each **criterion** on the rubric is worth a different number of points.,4,school
deduction,вычет,Points were taken by **deduction** for every spelling mistake in the test.,4,school
recitation,декламация,He practiced his poem for the Friday **recitation** contest.,4,school
immersion,языковое погружение,Language **immersion** programs help students become fluent very quickly.,4,school
bilingual,двуязычный,A **bilingual** education lets children learn in two languages at once.,4,school
fluency,беглость речи,Reading every day will help you develop real **fluency** in English.,4,school
pronunciation,произношение,Her **pronunciation** improved a lot after just three months abroad.,3,school
spelling,правописание,The teacher corrected my **spelling** mistakes in red ink.,2,school
punctuation,пунктуация,Good **punctuation** makes your writing much easier to read.,3,school
prefix,приставка,The **prefix** "un-" usually means the opposite of something.,3,school
suffix,суффикс,Adding the **suffix** "-tion" turns many verbs into nouns in English.,3,school
syntax,синтаксис,Understanding **syntax** helps you write grammatically correct sentences.,4,school
tense,время глагола,She used the wrong **tense** in every sentence of her essay.,3,school
conjugation,спряжение,The teacher drilled verb **conjugation** until everyone knew it by heart.,4,school
detention,задержание после уроков,He received a **detention** for talking during the final exam.,3,school
homeroom,класс,Every morning we meet in our **homeroom** before lessons begin.,3,school
honors,почести,She graduated with **honors** after maintaining top grades for four years.,3,school
honor roll,список отличников,Getting on the **honor roll** every term is her main goal.,3,school
student council,совет учащихся,The **student council** organized the annual charity bake sale.,3,school
superintendent,суперинтендант,The **superintendent** visited our school to review the new curriculum.,5,school
academic,учебный,**Academic** performance matters but so does personal growth.,3,school
scholastic,школьный,Her **scholastic** achievements earned her a place at a top college.,4,school
varsity,сборная школы,He made the **varsity** basketball team in his very first year.,4,school
intramural,внутришкольный,The **intramural** volleyball league is open to all year groups.,5,school
study hall,период самоподготовки,We used **study hall** to finish our history reading assignment.,3,school
book report,отзыв о книге,Each student must submit a **book report** at the end of term.,2,school
term paper,курсовая работа,Her **term paper** on climate change impressed the whole department.,3,school
research paper,научная работа,Writing a strong **research paper** requires careful reading and note-taking.,3,school
lab report,отчёт о лабораторной работе,The chemistry teacher handed back our **lab report** with detailed comments.,3,school
field trip,экскурсия,Our class went on a **field trip** to the local science museum.,2,school
science fair,выставка научных проектов,She won first prize at the regional **science fair** with her project.,3,school
spelling bee,конкурс правописания,He made it to the final round of the school **spelling bee**.,3,school
open day,день открытых дверей,Parents visited the school on **open day** to meet the teachers.,3,school
oral exam,устный экзамен,The **oral exam** terrified me far more than the written test.,3,school
note-taking,конспектирование,Good **note-taking** skills will help you throughout your academic career.,3,school
accredited,аккредитованный,Make sure the program is **accredited** before you apply and pay fees.,4,school
accreditation,аккредитация,The college lost its **accreditation** after failing the inspection.,5,school
internship,стажировка,She completed a summer **internship** at a local engineering company.,3,school
apprenticeship,ученичество,He chose an **apprenticeship** over university to learn a practical trade.,4,school
vocational,профессиональный,A **vocational** course teaches hands-on skills for a specific career.,3,school
school board,школьный совет,The **school board** approved the new science curriculum last Tuesday.,4,school
honor society,почётное общество,Membership in the **honor society** is a great addition to any resume.,4,school
class president,президент класса,She ran for **class president** on a platform of better school lunches.,3,school
workbook,рабочая тетрадь,Complete exercises one through ten in your **workbook** for homework.,2,school
handout,раздаточный материал,The teacher gave each student a **handout** with the key vocabulary.,2,school
keynote,основной доклад,The professor gave a **keynote** lecture at the international education summit.,4,school
repetition,повторение,**Repetition** is one of the most effective ways to memorize new words.,3,school
multilingual,многоязычный,A **multilingual** classroom can be a challenge and a great advantage.,4,school
native,родной,It takes years to speak a second language like a **native** speaker.,2,school
abbreviation,сокращение,The teacher explained that "PE" is an **abbreviation** for physical education.,3,school
acronym,аббревиатура,NASA is an **acronym** that most students learn in their first year.,3,school
