chophouse,стейк-хаус,This downtown **chophouse** serves dry-aged steaks and classic cocktails.,4,restaurant
alehouse,пивная,We stopped at the local **alehouse** for a pint after work.,4,restaurant
taphouse,крафтовый бар,The new **taphouse** offers over thirty rotating craft beers.,4,restaurant
speakeasy,тайный бар,A hidden **speakeasy** behind the bookshelf served prohibition-era cocktails.,5,restaurant
roadhouse,придорожный ресторан,We stopped at a Texas **roadhouse** for ribs and cold beer.,4,restaurant
carryout,еда с собой,Their lunch **carryout** is ready in under ten minutes.,3,restaurant
takeaway,еда навынос,Let's grab Chinese **takeaway** and eat at home tonight.,2,restaurant
meze,мезе,The Turkish **meze** platter featured hummus and stuffed grape leaves.,5,restaurant
antipasto,антипасто,Our **antipasto** plate had cured meats and marinated olives.,4,restaurant
sashimi,сашими,The tuna **sashimi** melted on my tongue like butter.,3,restaurant
tempura,темпура,Shrimp **tempura** should be crunchy on the outside and juicy inside.,3,restaurant
fondue,фондю,We dipped bread into the bubbling cheese **fondue**.,3,restaurant
gnocchi,ньокки,Homemade potato **gnocchi** came in a light sage butter sauce.,4,restaurant
risotto,ризотто,The mushroom **risotto** was creamy and perfectly seasoned.,3,restaurant
gumbo,гамбо,Louisiana **gumbo** combines seafood with okra and smoked sausage.,4,restaurant
dumpling,пельмешек,Each pork **dumpling** was steamed in a bamboo basket.,2,restaurant
panfried,обжаренный на сковороде,The **panfried** sea bass had a golden crispy skin.,3,restaurant
chargrilled,жареный на углях,The **chargrilled** octopus tasted wonderfully smoky and perfectly tender.,4,restaurant
broiled,запечённый под грилем,The **broiled** lobster tail came with drawn butter.,3,restaurant
simmered,томлёный,The sauce **simmered** gently on the back burner for an hour.,3,restaurant
blanched,бланшированный,Briefly **blanched** asparagus stayed bright green and crisp.,4,restaurant
marinated,маринованный,The **marinated** chicken soaked in yogurt and spices overnight.,3,restaurant
whipped,взбитый,Freshly **whipped** cream crowned the delicate strawberry shortcake dessert.,3,restaurant
mashed,протёртый,Creamy garlic **mashed** potatoes accompanied the tender roast beef.,2,restaurant
succulent,сочный,Every bite of the **succulent** lamb was rich and tender.,4,restaurant
plated,сервированный,Each course was beautifully **plated** with microgreens and edible flowers.,3,restaurant
garnished,украшенный,The cocktail came **garnished** with a twist of lemon peel.,3,restaurant
drizzled,политый тонкой струйкой,Warm honey was **drizzled** across the goat cheese salad.,3,restaurant
stale,чёрствый,"The bread tasted **stale**, so we asked for a fresh basket.",2,restaurant
savory,пикантный,This **savory** tart combined goat cheese and caramelized onions.,3,restaurant
flavorful,ароматный,The broth was deeply **flavorful** from hours of slow cooking.,3,restaurant
exquisite,изысканный,Every dish on the tasting menu was absolutely **exquisite**.,4,restaurant
delectable,восхитительный,The dark chocolate mousse was truly **delectable** and unforgettable.,5,restaurant
scrumptious,пальчики оближешь,The apple pie was **scrumptious** with vanilla ice cream.,4,restaurant
mouthwatering,аппетитный,The **mouthwatering** aroma of fresh pizza filled the room.,3,restaurant
inedible,несъедобный,The burnt fish was completely **inedible** and we sent it back.,4,restaurant
flavorless,безвкусный,The watery soup was **flavorless** and deeply disappointing for us.,3,restaurant
reheated,разогретый,The pasta tasted **reheated** rather than freshly prepared.,3,restaurant
gamey,с привкусом дичи,The venison had a strong **gamey** taste I enjoyed.,4,restaurant
smoky,дымный,The **smoky** flavor of the barbecue ribs was irresistible.,3,restaurant
peppery,перечный,The arugula salad had a pleasantly **peppery** bite.,3,restaurant
nutty,ореховый,This aged cheddar has a wonderfully **nutty** flavor.,3,restaurant
fishy,рыбный,The salmon tasted too **fishy** and was probably not fresh.,3,restaurant
zesty,пикантный,A **zesty** lime dressing brightened the whole salad.,4,restaurant
tangy,терпкий,The **tangy** barbecue sauce complemented the smoked brisket.,3,restaurant
tart,терпкий,The lemon **tart** flavor made my mouth pucker pleasantly.,3,restaurant
briny,солёный,Fresh oysters have a pleasant **briny** ocean flavor.,4,restaurant
malty,солодовый,This dark ale has a rich **malty** finish.,4,restaurant
runny,жидкий,The yolk of a poached egg should stay nicely **runny**.,3,restaurant
oily,жирный,The fries were overly **oily** and left grease on my napkin.,3,restaurant
marbled,мраморный,The finely **marbled** wagyu beef was incredibly tender and rich.,4,restaurant
starchy,крахмалистый,Potatoes and rice are considered **starchy** side dishes.,3,restaurant
chunky,с кусочками,The **chunky** tomato sauce had big pieces of vegetables.,3,restaurant
hearty,сытный,This **hearty** beef stew is perfect for a cold evening.,3,restaurant
satisfying,сытный,That bowl of ramen was incredibly **satisfying** after a long day.,3,restaurant
nutritious,питательный,Grilled salmon makes a **nutritious** and delicious main course.,3,restaurant
substitute,заменить,Can I **substitute** fries with a green salad please.,3,restaurant
customize,персонализировать,Guests can **customize** their pizza with any toppings they like.,3,restaurant
modify,изменить,Feel free to **modify** the dish if you have any allergies.,3,restaurant
corkage,сбор за открытие бутылки,The restaurant charges a ten dollar **corkage** fee for outside wine.,5,restaurant
attentive,внимательный,Our server was incredibly **attentive** throughout the whole dinner.,3,restaurant
polite,вежливый,The hostess greeted every guest with a **polite** smile.,2,restaurant
helpful,полезный,The waiter was very **helpful** in explaining the menu options.,2,restaurant
courteous,учтивый,The sommelier remained **courteous** even when we hesitated for long.,4,restaurant
unhelpful,бесполезный,The **unhelpful** server rolled his eyes when we asked about ingredients.,3,restaurant
wilted,увядший,The side salad looked **wilted** and clearly wasn't fresh.,3,restaurant
tepid,чуть тёплый,My latte arrived **tepid** instead of steaming hot.,4,restaurant
bouillabaisse,буйабес,Marseille is famous for its classic fish **bouillabaisse**.,5,restaurant
ratatouille,рататуй,Provencal **ratatouille** combines tomatoes with zucchini and eggplant.,4,restaurant
bruschetta,брускетта,The **bruschetta** was topped with diced tomatoes and basil.,4,restaurant
carpaccio,карпаччо,Beef **carpaccio** consists of thinly sliced raw meat.,5,restaurant
goulash,гуляш,Hungarian **goulash** is a rich beef stew with paprika.,4,restaurant
tiramisu,тирамису,The **tiramisu** was layered with coffee-soaked ladyfingers and mascarpone.,3,restaurant
