spatula,лопаткой,Flip the pancake with a **spatula** carefully.,2
skillet,сковороде,Heat the oil in a cast-iron **skillet**.,2
saucepan,кастрюле,Melt the butter in a small **saucepan**.,2
stockpot,кастрюлю,Fill a large **stockpot** with cold water.,3
wok,вок,Stir-fry the vegetables in the **wok** quickly.,3
casserole,запеканку,Bake the **casserole** for forty minutes uncovered.,3
griddle,гриль,Cook the bacon on a hot **griddle**.,3
cauldron,котле,Witches stir potions in a bubbling **cauldron**.,4
poach,запечь,**Poach** the eggs in simmering water gently.,4
saute,обжарить,**Saute** the onions until they turn golden.,4
sear,обжарить,**Sear** the steak on high heat briefly.,4
caramelize,карамелизировать,Slowly **caramelize** the sugar in the pan.,5
baste,поливать,**Baste** the turkey with its own juices.,4
deglaze,выпаривать,**Deglaze** the pan with a splash of wine.,5
whip,взбей,**Whip** the cream until soft peaks form.,3
garnish,украсить,**Garnish** the soup with fresh herbs.,3
zest,цедру,Add lemon **zest** to brighten the flavor.,3
zester,терку,Grate the orange peel with a **zester**.,4
thyme,тимьяна,Sprinkle dried **thyme** over the roasted potatoes.,3
basil,базилик,Fresh **basil** pairs perfectly with ripe tomatoes.,2
rosemary,розмарин,Rub **rosemary** on the lamb before roasting.,3
parsley,петрушкой,Chop the **parsley** and sprinkle it over.,2
cilantro,кинзы,Mexican dishes often include fresh **cilantro** leaves.,3
cumin,зиру,Toast the **cumin** seeds to release aroma.,4
paprika,паприку,Add a pinch of smoky **paprika** now.,3
turmeric,куркуму,Golden **turmeric** gives curry its bright color.,4
nutmeg,мускатного,Grate some **nutmeg** into the cream sauce.,4
cinnamon,корицу,Mix **cinnamon** with sugar for the topping.,2
oregano,орегано,Italian pasta needs dried **oregano** for flavor.,3
sage,шалфей,Fry butter with **sage** leaves until crisp.,4
dill,укроп,Fresh **dill** goes wonderfully with smoked salmon.,3
saffron,шафрана,A pinch of **saffron** colors the rice yellow.,5
cardamom,кардамон,Crush the **cardamom** pods to release oils.,5
clove,гвоздику,Stud the ham with a whole **clove**.,4
allspice,душистый,Add ground **allspice** to the pumpkin pie.,4
coriander,кориандра,Grind the **coriander** seeds in a mortar.,4
tarragon,эстрагон,French chefs love **tarragon** in chicken dishes.,5
chive,шнитт-лука,Snip fresh **chive** over the baked potato.,4
cornstarch,крахмала,Dissolve **cornstarch** in cold water before adding.,4
shortening,жира,Use vegetable **shortening** instead of butter here.,4
lard,смалец,Traditional pie crust uses pure **lard** only.,4
molasses,патоку,Add dark **molasses** to the gingerbread batter.,4
gelatin,желатин,Dissolve **gelatin** in warm water first.,3
breadcrumbs,панировочные,Coat the chicken in seasoned **breadcrumbs** evenly.,3
flaky,слоистым,The pastry should be light and **flaky**.,3
gooey,тягучим,The melted cheese becomes wonderfully **gooey** inside.,4
silky,шелковистым,The sauce turned out smooth and **silky**.,3
chewy,жевательным,Homemade bagels have a perfectly **chewy** texture.,3
creamy,кремовым,The risotto should be **creamy** but firm.,2
fluffy,пышным,The pancakes turned out light and **fluffy**.,2
crumbly,рассыпчатым,The shortbread cookies are delightfully **crumbly** inside.,3
mushy,размякшими,Don't overcook the vegetables or they become **mushy**.,3
julienne,соломкой,**Julienne** the carrots into thin matchsticks.,5
shred,нашинковать,**Shred** the cabbage finely for the slaw.,3
pit,косточку,Remove the **pit** from each ripe peach.,3
trim,обрежь,**Trim** the fat from the pork chops.,2
debone,удали,**Debone** the chicken thighs before marinating them.,4
fillet,филе,Slice the fish into thin **fillet** pieces.,3
grinder,кофемолке,Grind the beans in a manual **grinder**.,3
steamer,пароварке,Cook the dumplings in a bamboo **steamer**.,3
frosting,глазурью,Spread the chocolate **frosting** on the cake.,3
icing,глазурью,Decorate the cookies with royal **icing**.,3
meringue,безе,Bake the **meringue** until lightly golden outside.,4
custard,заварной,Pour warm **custard** over the fresh berries.,4
combine,соедини,**Combine** the dry ingredients in a bowl.,2
masher,толкушкой,Crush the potatoes with a hand **masher**.,3
tenderizer,молотком,Pound the meat with a **tenderizer** mallet.,4
nutcracker,щипцы,Crack the walnuts with a metal **nutcracker**.,3
thermometer,термометром,Check the meat with a kitchen **thermometer**.,2
skimmer,шумовкой,Remove the foam with a **skimmer** spoon.,4
corkscrew,штопором,Open the wine bottle with a **corkscrew**.,3
curd,творог,Strain the **curd** through a cheesecloth carefully.,4
ganache,ганаш,Pour chocolate **ganache** over the glazed cake.,5
fondant,мастику,Roll the **fondant** to cover the cake.,5
leaven,закваска,Yeast is a natural **leaven** for bread.,5
rise,подняться,Let the dough **rise** for one hour.,3
proof,расстойку,**Proof** the yeast in warm sugar water.,4
pastry,тесто,Roll out the **pastry** on floured parchment.,3
filling,начинку,Prepare the **filling** before rolling the pasta.,2
topping,начинкой,Sprinkle the crumble **topping** over the apples.,3
bouillon,бульон,Dissolve a **bouillon** cube in boiling water.,4
marinade,маринад,Let the chicken soak in the **marinade**.,3
cool,остыть,Let the cake **cool** completely before frosting.,2
steam,приготовь,**Steam** the broccoli until just tender-crisp.,2
stew,туши,**Stew** the beef slowly for three hours.,3
broil,запеки,**Broil** the fish for five minutes only.,4
thaw,разморозь,**Thaw** the meat overnight in the refrigerator.,3
preheat,разогрей,**Preheat** the oven to three hundred fifty.,2
yolk,желток,Separate the **yolk** from the egg white.,3
bean,фасоли,Soak the dried **bean** pods before cooking.,2
lentil,чечевицу,Rinse the red **lentil** under cold water.,3
oat,овсянку,Toast the **oat** flakes before adding milk.,3
pulp,мякоть,Remove the seeds but keep the **pulp**.,3
rind,кожуру,Grate the lemon **rind** for extra flavor.,3
husk,шелуху,Remove the **husk** from each corn cob.,3
stalk,стебли,Chop the celery **stalk** into small pieces.,3
kernel,зернышки,Each popcorn **kernel** pops when heated enough.,4
crumb,крошек,Not a single **crumb** was left behind.,3
mash,разомни,**Mash** the bananas for the muffin batter.,2
chill,охлади,**Chill** the dough before rolling it out.,2
