english,russian,sentence,difficulty
dog,собака,The **dog** is barking loudly outside.,1
cat,кошка,Our **cat** sleeps on the sofa.,1
cow,корова,The **cow** gives us fresh milk.,1
horse,лошадь,A brown **horse** runs across the field.,1
sheep,овца,White **sheep** graze on the hill.,1
pig,свинья,The pink **pig** is very hungry.,1
chicken,курица,The **chicken** laid a brown egg.,1
duck,утка,A **duck** swims on the pond.,1
rabbit,кролик,A small **rabbit** hides in bushes.,2
mouse,мышь,A tiny **mouse** ran under the table.,2
bear,медведь,A huge brown **bear** walks slowly.,2
bear,нести,I cannot **bear** the heavy load.,4
wolf,волк,The **wolf** howls at the moon.,2
fox,лиса,A red **fox** crossed our path.,2
deer,олень,The **deer** jumped over the fence.,2
lion,лев,The **lion** is king of animals.,2
tiger,тигр,A striped **tiger** hunts at night.,2
elephant,слон,The giant **elephant** has big ears.,2
monkey,обезьяна,A **monkey** climbs the tall tree.,2
snake,змея,A long **snake** slid through grass.,2
frog,лягушка,The green **frog** jumped into water.,2
turtle,черепаха,The slow **turtle** carries its shell.,2
fish,рыба,A silver **fish** swims in river.,1
shark,акула,A great **shark** swam near us.,3
whale,кит,The blue **whale** is enormous.,3
bird,птица,A little **bird** sings every morning.,1
eagle,орёл,The **eagle** flies high above mountains.,3
owl,сова,The wise **owl** hunts at night.,3
bee,пчела,A busy **bee** gathers sweet nectar.,2
ant,муравей,A tiny **ant** carries a leaf.,2
spider,паук,A **spider** built a beautiful web.,2
tree,дерево,The old **tree** has many leaves.,1
bush,куст,A small **bush** grows near path.,2
flower,цветок,A red **flower** smells wonderful.,1
grass,трава,Green **grass** covers the whole field.,1
leaf,лист,One yellow **leaf** fell from branches.,2
leaf,страница,I turned a new **leaf** today.,4
branch,ветка,A heavy **branch** broke in storm.,2
branch,филиал,The bank **branch** opens at nine.,4
root,корень,The tree **root** goes deep underground.,3
seed,семя,A tiny **seed** becomes big plant.,2
fruit,фрукт,This sweet **fruit** grows on trees.,1
rose,роза,She picked a red **rose** yesterday.,2
rose,розовый,She wore a **rose** colored dress.,4
oak,дуб,The mighty **oak** is very old.,3
pine,сосна,Tall **pine** trees smell very fresh.,3
pine,тосковать,I **pine** for my home country.,4
sun,солнце,The warm **sun** shines every morning.,1
moon,луна,A full **moon** lights the night.,1
star,звезда,One bright **star** appeared in sky.,1
star,знаменитость,The movie **star** signed my book.,3
cloud,облако,A gray **cloud** covered the sun.,2
rain,дождь,Heavy **rain** falls on the roof.,1
snow,снег,White **snow** covers the whole town.,1
wind,ветер,Strong **wind** blew my hat away.,2
wind,заводить,Please **wind** the old clock tonight.,4
storm,буря,A terrible **storm** hit our village.,2
storm,штурмовать,The soldiers will **storm** the castle.,4
thunder,гром,Loud **thunder** shook the entire house.,3
lightning,молния,Bright **lightning** flashed across dark sky.,3
fog,туман,Thick **fog** covered the whole valley.,3
ice,лёд,The **ice** on lake cracked loudly.,2
mountain,гора,A high **mountain** stood before us.,2
hill,холм,A small **hill** rises near home.,2
valley,долина,The green **valley** stretched for miles.,3
forest,лес,Dark **forest** surrounds our little village.,2
desert,пустыня,The hot **desert** has no water.,2
desert,покидать,Soldiers should never **desert** their friends.,4
beach,пляж,We walked along the sandy **beach**.,2
ocean,океан,The deep **ocean** covers much earth.,2
sea,море,The warm **sea** is very calm.,1
lake,озеро,A clear **lake** reflects the mountains.,2
river,река,A wide **river** flows to sea.,2
stream,ручей,A little **stream** runs through woods.,3
stream,поток,A **stream** of cars filled the street.,4
cave,пещера,The dark **cave** scared the children.,3
cliff,утёс,A steep **cliff** drops into sea.,4
island,остров,A small **island** lies near coast.,3
field,поле,The yellow **field** stretches to horizon.,2
field,область,Biology is her favorite **field** of study.,4
meadow,луг,Cows graze on the green **meadow**.,3
swamp,болото,The muddy **swamp** smells very bad.,4
jungle,джунгли,Dense **jungle** hides many wild animals.,3
spring,весна,In **spring** all flowers start blooming.,2
spring,источник,A cold **spring** flows from rocks.,4
spring,прыгать,Cats can **spring** onto high shelves.,4
summer,лето,Hot **summer** lasts three whole months.,1
autumn,осень,In **autumn** leaves turn bright colors.,2
winter,зима,Cold **winter** covers fields with snow.,1
wild,дикий,A **wild** animal attacked the sheep.,2
fresh,свежий,We breathe the **fresh** mountain air.,2
calm,спокойный,The sea became **calm** after storm.,3
deep,глубокий,This **deep** lake has many fish.,2
grow,расти,Flowers **grow** quickly in warm weather.,2
bloom,цвести,Roses **bloom** beautifully in early summer.,3
melt,таять,Snow starts to **melt** in spring.,3
fly,летать,Birds **fly** south before winter comes.,2
fly,муха,A black **fly** landed on bread.,3
bark,лай,The dog's **bark** woke the baby.,2
bark,кора,The tree **bark** feels rough today.,3
pebble,галька,She threw a **pebble** into the still pond.,2
boulder,валун,A huge **boulder** blocked the mountain path.,3
twig,веточка,The bird carried a **twig** to its nest.,2
acorn,жёлудь,A squirrel buried an **acorn** under the bush.,3
pinecone,сосновая шишка,I found a dry **pinecone** on the trail.,3
sprout,росток,A tiny green **sprout** pushed through the earth.,3
moss,мох,Soft **moss** covered the old stone wall.,3
lichen,лишайник,Yellow **lichen** grew on the northern rocks.,4
drizzle,моросить,It began to **drizzle** during our picnic.,3
sleet,мокрый снег,Cold **sleet** tapped against the kitchen window.,4
frost,иней,Morning **frost** covered the grass blades.,3
dew,роса,Silver **dew** glistened on every leaf.,3
haze,дымка,A warm **haze** hung above the fields.,3
gust,порыв,A sudden **gust** slammed the garden gate.,3
breeze,ветерок,A gentle **breeze** stirred the curtains.,2
downpour,ливень,We ran home during the heavy **downpour**.,3
blizzard,метель,The **blizzard** trapped hikers in the mountains.,3
thunderclap,раскат грома,A loud **thunderclap** woke the sleeping baby.,4
drought,засуха,The long **drought** killed all the crops.,3
flood,наводнение,The **flood** swept away three wooden bridges.,3
gorge,ущелье,A narrow **gorge** cut through the red hills.,4
ravine,овраг,We climbed out of the steep **ravine**.,4
plateau,плато,The vast **plateau** stretched toward the horizon.,4
dune,дюна,Children rolled down the sandy **dune**.,2
marsh,болото,Frogs croaked loudly in the quiet **marsh**.,3
lagoon,лагуна,Blue fish swam in the shallow **lagoon**.,3
estuary,устье,Seabirds gathered at the river **estuary**.,4
peninsula,полуостров,The small **peninsula** jutted into the sea.,4
glacier,ледник,The ancient **glacier** slowly melted each summer.,3
canyon,каньон,Wind howled through the deep **canyon**.,3
waterfall,водопад,We swam beneath the cold **waterfall**.,2
brook,ручей,A tiny **brook** trickled past our tent.,3
rapids,пороги,The kayak raced through dangerous **rapids**.,4
tide,прилив,The rising **tide** covered our footprints.,2
ripple,рябь,Each **ripple** spread across the calm lake.,3
beaver,бобр,A **beaver** built a dam on the stream.,3
otter,выдра,The playful **otter** dove beneath the surface.,3
squirrel,белка,A grey **squirrel** climbed the tall trunk.,2
hedgehog,ёж,A shy **hedgehog** crossed our garden path.,3
badger,барсук,A striped **badger** peeked from its burrow.,4
sparrow,воробей,A little **sparrow** hopped on the windowsill.,2
crow,ворона,A black **crow** landed on the fence.,2
hawk,ястреб,The **hawk** circled high above the meadow.,3
butterfly,бабочка,A yellow **butterfly** rested on the blossom.,2
dragonfly,стрекоза,A blue **dragonfly** hovered over the lily.,3
moth,мотылёк,A grey **moth** fluttered near the lamp.,3
beetle,жук,A shiny **beetle** crawled across my shoe.,3
worm,червь,A pink **worm** wriggled through wet soil.,2
snail,улитка,The slow **snail** left a silver trail.,2
willow,ива,An old **willow** bent over the riverbank.,3
birch,берёза,White **birch** trees lined the quiet road.,3
fern,папоротник,A soft **fern** grew under the tall tree.,3
ivy,плющ,Green **ivy** climbed the old brick wall.,3
thorn,шип,A sharp **thorn** scratched my bare ankle.,2
blossom,цветок,The apple **blossom** filled the air with fragrance.,3
bud,бутон,A tight rose **bud** opened in the sun.,3
pollen,пыльца,Yellow **pollen** dusted the bee's legs.,3
sap,сок,Sticky **sap** dripped from the wounded tree.,3
migrate,мигрировать,Geese **migrate** south every cold autumn.,3
hibernate,впадать в спячку,Bears **hibernate** throughout the long winter.,3
wither,вянуть,The flowers began to **wither** without water.,3
decay,разлагаться,Fallen leaves slowly **decay** on the ground.,3
erode,размывать,Waves **erode** the soft coastal cliffs.,4
nest,гнездо,The robin built its **nest** in our hedge.,2
graze,пастись,Wild horses **graze** in the open valley.,3
prey,добыча,The eagle spotted its **prey** from above.,3
dusk,сумерки,Bats appeared at the edge of **dusk**.,3
dawn,рассвет,Birds sang loudly at the first **dawn**.,2
twilight,сумерки,The sky glowed pink during **twilight**.,3
constellation,созвездие,He pointed to a bright **constellation** overhead.,4
rugged,суровый,The **rugged** coastline attracted brave surfers.,4
barren,бесплодный,Nothing grew on the **barren** rocky slope.,4
lush,пышный,A **lush** green forest surrounded the village.,3
fertile,плодородный,The **fertile** soil produced huge vegetables.,3
arid,засушливый,Only cactus survived in the **arid** desert.,4
muddy,грязный,Our boots sank in the **muddy** trail.,2
swampy,болотистый,The **swampy** ground bubbled under our feet.,3
puddle,лужа,The child jumped into every **puddle**.,2
meander,извиваться,The river began to **meander** through farmland.,4
flock,стая,A **flock** of geese flew overhead.,3
herd,стадо,A **herd** of deer crossed the meadow.,3
swarm,рой,A **swarm** of bees left the hive.,3
burrow,нора,The fox hid inside its deep **burrow**.,3
den,логово,Wolves rested safely in their warm **den**.,3
habitat,среда обитания,This wetland is an important bird **habitat**.,3
