toastmaster,тамада,Our **toastmaster** kept every wedding speech short and funny.,5,party
merrymaker,гуляка,Every **merrymaker** raised a tall glass when the clock struck midnight.,5,party
celebrant,именинник,"The **celebrant** blew out the candles, then cut the cake.",4,party
partythrower,устроитель вечеринки,My neighbor is a famous **partythrower** in our town.,4,party
partyplanner,организатор вечеринок,She hired a **partyplanner** for her fortieth birthday bash.,4,party
guestlist,список гостей,Your name was already on the **guestlist** tonight.,3,party
inviteonly,только по приглашениям,"This bash is strictly **inviteonly**, no walk-ins allowed.",4,party
afterparty,афтепати,Come to the **afterparty** at my place tonight.,3,party
pregaming,выпивка перед выходом,We were **pregaming** in the kitchen before leaving downtown.,4,party
preparty,предвечеринка,We met at the **preparty** before heading to the club.,4,party
warmup,разогрев,"The DJ played a soft **warmup** set, then went hard.",3,party
ragers,шумные вечеринки,College kids love huge weekend **ragers** near the campus.,4,party
housewarmer,новосел,The **housewarmer** invited us to see his new apartment.,4,party
barhopper,любитель обходить бары,My cousin is a serious **barhopper** on Friday nights.,4,party
pubcrawl,обход пабов,We did a five-stop **pubcrawl** through downtown last Saturday.,4,party
clubgoer,завсегдатай клубов,Every young **clubgoer** knew the bouncer by his first name.,4,party
dancefloor,танцпол,The **dancefloor** was completely packed by eleven o'clock.,3,party
velvetrope,бархатный канат,A bouncer lifted the **velvetrope** for the VIP guests.,5,party
doorcharge,плата за вход,The **doorcharge** included one free drink ticket at the bar.,4,party
openbar,бесплатный бар,"There's an **openbar** until midnight, then cash only.",3,party
cashbar,платный бар,The venue only offered a **cashbar** for the reception.,4,party
happyhour,счастливый час,We grabbed cheap drinks during **happyhour** before the show.,3,party
lastcall,последний заказ,The bartender announced the **lastcall** at exactly two sharp.,4,party
closingtime,время закрытия,"By **closingtime**, only a few stragglers still remained.",4,party
dresscode,дресс-код,The **dresscode** for tonight's gala is black tie only.,3,party
blacktie,строгий вечерний наряд,The charity fundraiser is a formal **blacktie** affair.,4,party
redcarpet,красная дорожка,Celebrities strolled down the **redcarpet** at last night's premiere.,3,party
stilettos,шпильки,She kicked off her painful **stilettos** and started dancing.,4,party
attire,наряд,Formal **attire** is required for this charity ball.,3,party
ensemble,ансамбль одежды,His vintage **ensemble** fit the seventies theme perfectly tonight.,4,party
dapper,щеголеватый,He looked incredibly **dapper** in his tailored navy suit.,4,party
suave,галантный,The host was charming and **suave** all evening long.,4,party
ravishing,сногсшибательный,You look absolutely **ravishing** in that red silk dress.,5,party
stunner,красотка,The bride was a complete **stunner** in her lace gown.,4,party
dazzling,ослепительный,The ballroom looked **dazzling** under all the crystal chandeliers.,4,party
discoball,зеркальный шар,The spinning **discoball** scattered silver light across the dance floor.,4,party
stringlights,гирлянда огоньков,Warm **stringlights** crisscrossed the garden above our dinner table.,4,party
classy,шикарный,She threw a wonderfully **classy** engagement dinner last Friday.,3,party
highend,высокого класса,It was a **highend** affair with valet parking included.,4,party
lowkey,неформальный,We kept the birthday party pretty **lowkey** this year.,3,party
gettogether,посиделки,We're having a small **gettogether** at my place Saturday.,3,party
meetup,встреча,The company **meetup** lasted well into the late evening.,3,party
throwdown,гулянка,They had an epic **throwdown** to celebrate Mark's promotion.,4,party
bubbly,шампанское,Let's pop some **bubbly** to celebrate your big promotion.,4,party
prosecco,просекко,She always prefers Italian **prosecco** over French champagne.,4,party
bartab,счёт в баре,"By midnight, my **bartab** was already over two hundred dollars.",4,party
wingman,друг для знакомства,My best **wingman** helped me go talk to her.,4,party
flirt,флиртовать,She loves to **flirt** at every single cocktail party.,3,party
fling,интрижка,They had a brief **fling** after the wedding reception ended.,4,party
slowdance,медленный танец,Couples paired up for the final **slowdance** of the night.,3,party
mingler,общительный человек,Mark is a natural **mingler** at all corporate events.,5,party
schmoozer,льстец,That slick **schmoozer** worked every table at the fundraiser.,5,party
smalltalk,светская беседа,I hate making **smalltalk** with strangers at boring parties.,3,party
partyfoul,нарушение приличий,Spilling red wine on the carpet is a major **partyfoul**.,4,party
buzzkill,сухарь,His lecture about work was a total **buzzkill** tonight.,4,party
partypooper,зануда,"Don't be such a **partypooper**, come join the dancing!",4,party
straggler,опоздавший,A few **straggler** guests showed up well after midnight.,4,party
nocturnal,ночной,My friends are all **nocturnal** creatures on weekend nights.,5,party
morningafter,утро после,"The **morningafter** was rough, but every minute was worth it.",4,party
partyfavor,сувенир для гостей,Each guest took home a small **partyfavor** bag.,4,party
goodiebag,подарочный пакет,The kids loved their colorful birthday **goodiebag** filled with treats.,3,party
partyhat,праздничный колпак,She wore a ridiculous paper **partyhat** all night long.,2,party
photobooth,фотобудка,The **photobooth** was easily the hit of the wedding.,3,party
partyvenue,место проведения вечеринки,They rented a lakeside **partyvenue** for the wedding reception.,4,party
centerpieces,украшения в центре стола,Every table had elegant flower **centerpieces** in crystal vases.,3,party
tablescape,композиция на столе,Her gorgeous **tablescape** featured candles and white roses.,5,party
bandstand,эстрада,The jazz quartet set up on the wooden **bandstand** outside.,4,party
coatcheck,гардероб,Please leave your jacket at the **coatcheck** near the entrance.,4,party
cheerleader,заводила,"At every party, Jake is the natural **cheerleader** of the crew.",3,party
partyanimal,тусовщик,My roommate is a total **partyanimal** on the weekends.,3,party
lifeoftheparty,душа компании,Sarah is always the **lifeoftheparty** at family reunions.,4,party
cohost,сохозяин,My sister will **cohost** the baby shower with me.,4,party
partygame,игра на вечеринке,We played a silly **partygame** after eating the cake.,3,party
partytrick,трюк для вечеринки,His best **partytrick** is juggling three oranges blindfolded.,4,party
guestbook,книга гостей,Please sign the **guestbook** before you leave the reception.,3,party
welcomedrink,приветственный напиток,Each arrival got a complimentary **welcomedrink** at the door.,4,party
mainevent,главное событие,The cake cutting was the **mainevent** of the entire evening.,3,party
partybus,автобус-вечеринка,A flashy **partybus** picked up the bachelorette crew at nine.,4,party
bashful,застенчивый,Her **bashful** cousin barely said a word at the reception.,4,party
limelight,центр внимания,She loves being in the **limelight** at every social event.,4,party
