senator,сенатор,The **senator** gave a short speech today.,3
governor,губернатор,Our **governor** signed the new education law.,3
lawmaker,законодатель,Each **lawmaker** votes on proposed bills.,4
quorum,кворум,The meeting lacked a **quorum** to vote.,5
ratify,ратифицировать,Two countries agreed to **ratify** the pact.,4
enact,принять,Leaders plan to **enact** new safety rules.,4
repeal,отменить,Voters wanted to **repeal** the old tax.,4
clause,пункт,That **clause** protects small business owners.,3
legislature,законодательное собрание,The state **legislature** meets twice each year.,4
deregulation,дерегулирование,Some leaders favor **deregulation** of the banking sector.,5
welfare,социальное обеспечение,The program expands **welfare** for low-income families.,3
committee,комитет,The budget **committee** reviewed the proposal today.,3
assembly,собрание,The national **assembly** debated the new law.,3
chamber,палата,The upper **chamber** rejected the amendment.,3
session,сессия,Parliament opens a new **session** next month.,3
ministry,министерство,The education **ministry** issued new guidelines.,3
deputy,заместитель,The **deputy** answered questions from reporters.,3
aide,помощник,A senior **aide** briefed the press yesterday.,3
staffer,сотрудник аппарата,Each **staffer** prepared a short report.,4
scandal,скандал,A political **scandal** forced his early resignation.,3
bribery,взяточничество,Authorities opened a **bribery** investigation last week.,4
accountability,подотчётность,Public **accountability** helps prevent abuse of power.,4
transparency,прозрачность,Citizens demand more **transparency** from local officials.,4
whistleblower,информатор,A brave **whistleblower** exposed the hidden contracts.,5
dissent,несогласие,The judge voiced **dissent** against the ruling.,4
oath,присяга,Each new official takes an **oath** of service.,3
proclamation,прокламация,The king issued a **proclamation** about the new taxes.,4
decree,указ,The council passed a **decree** about public parks.,4
oligarchy,олигархия,That country was once a powerful **oligarchy**.,5
theocracy,теократия,A **theocracy** bases its laws on religious texts.,5
federalism,федерализм,**federalism** divides power between central and local authorities.,5
rights,права,Citizens fought for basic civic **rights**.,2
activism,активизм,Youth **activism** shaped the new climate policy.,4
activist,активист,Every **activist** joined the peaceful march downtown.,3
lobbyist,лоббист,A paid **lobbyist** met with several lawmakers.,4
advocate,защитник,She became an **advocate** for housing reform.,3
caucus,фракция,Members of the **caucus** agreed on a strategy.,4
runoff,второй тур,A **runoff** decided the close mayoral race.,4
recount,пересчёт,Officials ordered a **recount** after the narrow loss.,4
landslide,убедительная победа,Her party won by a **landslide** last month.,4
concession,признание поражения,His **concession** speech praised the winning candidate.,4
pollster,социолог,The **pollster** published daily approval numbers.,5
negotiation,переговоры,Long **negotiation** produced a fragile peace.,3
accord,соглашение,Both sides signed a trade **accord** last week.,4
pact,договор,They formed a defensive **pact** for mutual support.,3
bloc,блок,A regional **bloc** coordinated their response together.,4
extradition,экстрадиция,Two countries signed an **extradition** treaty yesterday.,5
annexation,аннексия,The **annexation** of that region caused global concern.,5
secession,отделение,Some groups threatened **secession** from the union.,5
uprising,восстание,A peaceful **uprising** changed the government quickly.,4
revolt,бунт,A small **revolt** broke out in several cities.,4
coup,переворот,A military **coup** removed the civilian leader.,4
dissident,диссидент,The famous **dissident** wrote books from prison.,5
censorship,цензура,Strict **censorship** limited what newspapers could print.,4
populism,популизм,**populism** often appeals to economic frustration.,5
nationalism,национализм,Rising **nationalism** influenced recent election results.,4
liberal,либеральный,She holds mostly **liberal** views on social issues.,3
conservative,консервативный,His **conservative** views support traditional family values.,3
progressive,прогрессивный,That **progressive** policy passed with wide support.,4
radical,радикальный,His **radical** ideas shocked older colleagues.,3
centrist,центристский,A **centrist** approach avoids both extremes.,4
socialism,социализм,**socialism** promotes collective ownership of resources.,4
communism,коммунизм,**communism** aims for a classless society.,4
capitalism,капитализм,**capitalism** rewards private enterprise and competition.,4
totalitarian,тоталитарный,A **totalitarian** state controls every part of life.,5
authoritarian,авторитарный,An **authoritarian** leader limits public dissent.,4
pluralism,плюрализм,**pluralism** respects many different viewpoints within society.,5
patriotism,патриотизм,Healthy **patriotism** honors without blindly obeying.,4
autonomy,автономия,The region was granted limited **autonomy** last year.,4
independence,независимость,The colony celebrated its **independence** with a parade.,3
amnesty,амнистия,The government offered **amnesty** to nonviolent offenders.,4
pardon,помилование,A presidential **pardon** released him from prison.,3
clemency,помилование,The prisoner requested **clemency** from the governor.,5
nepotism,непотизм,Critics accused him of **nepotism** and favoritism.,5
patronage,покровительство,Political **patronage** often rewards loyal supporters.,5
inauguration,инаугурация,The **inauguration** ceremony drew a large crowd.,4
pundit,эксперт,A political **pundit** predicted the surprise result.,4
briefing,брифинг,The morning **briefing** covered the new legislation.,3
speaker,спикер,The **speaker** of the house opened debate.,2
recess,перерыв,Parliament went into **recess** for the holidays.,3
hearing,слушание,The public **hearing** lasted almost four hours.,3
testimony,показания,Her **testimony** shaped the final committee report.,4
witness,свидетель,The key **witness** answered questions calmly.,3
subpoena,повестка,A court **subpoena** required his attendance.,5
jury,присяжные,The **jury** reached a verdict after two days.,3
prosecutor,прокурор,The **prosecutor** presented strong evidence to the court.,4
defendant,ответчик,The **defendant** denied all the accusations firmly.,4
plaintiff,истец,The **plaintiff** filed a civil rights case.,4
appeal,апелляция,The lawyer filed an **appeal** to higher court.,3
precedent,прецедент,The ruling sets an important legal **precedent**.,4
ordinance,постановление,A local **ordinance** limits noise after ten.,4
provision,положение,One **provision** protects small family farms.,4
enforcement,правоприменение,Law **enforcement** responded to the emergency quickly.,4
compliance,соблюдение,Full **compliance** with regulations is mandatory.,4
oversight,надзор,Congressional **oversight** reviews agency spending each year.,4
watchdog,надзорный орган,An independent **watchdog** monitors government contracts.,4
agency,агентство,A federal **agency** handles disaster response operations.,3
federal,федеральный,The **federal** court accepted the new case.,3
municipal,муниципальный,The **municipal** council approved new bicycle lanes.,4
constituency,электорат,She meets her **constituency** every Saturday morning.,5
