stethoscope,стетоскоп,The doctor pressed a cold **stethoscope** to my chest.,2
scalpel,скальпель,The surgeon held the **scalpel** above the patient.,3
forceps,щипцы,The nurse passed sterile **forceps** to the surgeon.,4
tourniquet,жгут,He tied a **tourniquet** above the bleeding arm.,3
speculum,зеркало,The gynecologist prepared a warm **speculum** for the exam.,5
otoscope,отоскоп,She used an **otoscope** to check his ears.,4
swab,мазок,The nurse took a throat **swab** for testing.,3
syringe,шприц,The nurse filled the **syringe** with clear liquid.,2
gurney,каталка,They wheeled him in on a **gurney**.,4
splint,шина,The paramedic wrapped a **splint** around my leg.,3
sling,повязка,He wore an arm **sling** for three weeks.,2
bedside,у кровати,The doctor stood at my **bedside** all night.,3
wristband,браслет,The patient wore a plastic **wristband** with her name.,3
suture,шов,She removed the tight **suture** with tiny scissors.,4
stitch,стежок,The doctor put one neat **stitch** in my chin.,2
stitches,швы,I need five **stitches** on my forehead today.,2
scar,шрам,A thin **scar** remains above his eyebrow.,2
scab,корочка,Don't pick the **scab** on your knee.,3
biopsy,биопсия,The specialist ordered a **biopsy** of the lump.,4
mammogram,маммограмма,Women over forty need a yearly **mammogram**.,5
endoscopy,эндоскопия,The **endoscopy** took less than twenty minutes.,5
colonoscopy,колоноскопия,My father scheduled his first **colonoscopy** last month.,5
ultrasound,ультразвук,The **ultrasound** showed a healthy baby girl.,2
mri,мрт,She needs an **mri** of her knee soon.,3
ekg,экг,The technician attached wires for an **ekg**.,4
bloodwork,анализы,The doctor ordered routine **bloodwork** this morning.,4
xray,рентген,The **xray** showed no broken bones.,2
checkup,осмотр,I go for a yearly **checkup** every spring.,2
appointment,приём,I have an **appointment** with my doctor tomorrow.,2
referral,направление,The doctor wrote a **referral** to a specialist.,3
prescription,рецепт,She filled her **prescription** at the corner pharmacy.,2
copay,доплата,My **copay** for each visit is thirty dollars.,4
deductible,франшиза,I must pay the **deductible** before insurance helps.,5
claim,страховка,She filed an insurance **claim** after the surgery.,3
chart,карта,The doctor wrote notes in my **chart**.,2
admission,поступление,Her **admission** to the hospital was on Tuesday.,4
discharge,выписка,My **discharge** from the hospital was delayed.,3
followup,повторный,The doctor scheduled a **followup** in two weeks.,3
triage,сортировка,The **triage** nurse asked about my pain level.,4
icu,реанимация,Grandfather spent three days in the **icu**.,3
operating room,операционная,The patient was wheeled into the **operating room**.,3
recovery room,палата восстановления,She woke up in the **recovery room** slowly.,3
exam room,кабинет,The nurse showed me to the **exam room**.,2
waiting room,приёмная,The **waiting room** was crowded with sick children.,2
surgery,операция,Her heart **surgery** lasted over six hours.,2
anesthesia,анестезия,They gave me general **anesthesia** before surgery.,3
anesthetic,анестетик,The dentist injected a local **anesthetic** slowly.,4
sedative,успокоительное,The nurse gave him a mild **sedative** first.,4
painkiller,обезболивающее,Take one **painkiller** every six hours please.,2
antibiotic,антибиотик,The doctor prescribed an **antibiotic** for my infection.,2
antiseptic,антисептик,She cleaned the cut with **antiseptic** liquid.,3
gauze,марля,The nurse wrapped my wound in clean **gauze**.,3
dosage,дозировка,Follow the **dosage** instructions on the bottle.,3
dose,доза,Take one **dose** twice a day.,2
refill,рецепт,I need a **refill** on my medication today.,3
orthopedist,ортопед,The **orthopedist** examined the child's crooked spine carefully.,4
scrubs,костюм,The doctors wore blue **scrubs** during rounds.,3
rounds,обход,The attending physician made her morning **rounds** quickly.,4
symptom,симптом,A high fever is a common **symptom**.,2
hives,крапивница,Strawberries give me itchy **hives** every time.,3
itch,зуд,The mosquito bite caused a terrible **itch**.,2
swelling,опухоль,The **swelling** around his ankle looked concerning.,2
bleed,кровотечение,The cut continued to **bleed** for minutes.,2
clot,сгусток,A blood **clot** in his leg caused pain.,4
pulse,пульс,The nurse checked his **pulse** every hour.,2
heartbeat,сердцебиение,She listened to the baby's **heartbeat** carefully.,2
wheeze,хрип,The child began to **wheeze** during the night.,4
choke,задыхаться,The old man started to **choke** on water.,3
vomit,рвать,The sick child began to **vomit** suddenly.,3
seizure,припадок,He had a brief **seizure** after the fall.,4
concussion,сотрясение,The football player suffered a mild **concussion**.,4
shot,укол,The child cried after getting a **shot**.,2
trauma,травма,The emergency team treated his head **trauma** quickly.,3
relapse,рецидив,She had a painful **relapse** after treatment.,4
remedy,средство,My grandmother's home **remedy** worked overnight.,3
cure,лекарство,Scientists are searching for a **cure** tonight.,2
therapist,терапевт,Her **therapist** helped her through recovery.,2
physical therapy,физиотерапия,He started **physical therapy** after the surgery.,2
rehab,реабилитация,She entered **rehab** for her knee injury.,3
prognosis,прогноз,The **prognosis** for recovery looks very good.,4
diagnosis,диагноз,The **diagnosis** explained all his strange symptoms.,3
diagnose,диагностировать,Doctors can now **diagnose** the disease early.,3
prescribe,назначать,Only a doctor can **prescribe** this medication.,3
inject,вводить,The nurse will **inject** the vaccine slowly.,2
injection,инъекция,The **injection** hurt less than I expected.,2
vaccinate,прививать,We should **vaccinate** all the children soon.,3
vaccination,вакцинация,My child's **vaccination** is scheduled for Friday.,3
sedate,усыплять,They had to **sedate** the frightened patient.,4
examine,осматривать,The doctor will **examine** you in a minute.,2
resuscitate,реанимировать,Medics tried to **resuscitate** the drowning man.,5
tendon,сухожилие,He tore a **tendon** playing basketball yesterday.,4
ligament,связка,She stretched a **ligament** in her knee badly.,4
cartilage,хрящ,The **cartilage** in his knee is wearing down.,5
artery,артерия,A blocked **artery** led to his heart attack.,4
tumor,опухоль,The doctor found a small **tumor** in her breast.,3
ulcer,язва,Stress caused a painful **ulcer** in his stomach.,4
hernia,грыжа,He needs surgery for his **hernia** next month.,4
arthritis,артрит,Her **arthritis** makes mornings very difficult.,3
