bistro,бистро,We grabbed dinner at a small French **bistro**.,2
diner,закусочная,The old **diner** served pancakes all day.,2
tavern,таверна,The cozy **tavern** had live folk music.,3
pub,паб,We met friends at the corner **pub**.,1
brewery,пивоварня,Their **brewery** makes excellent craft beer.,3
steakhouse,стейкхаус,He took her to an expensive **steakhouse**.,3
gastropub,гастропаб,This **gastropub** serves upscale comfort food.,4
eatery,заведение,That new **eatery** opened last weekend.,3
canteen,столовая,The factory **canteen** serves cheap meals.,3
trattoria,траттория,We love the family-run **trattoria** downtown.,4
osteria,остерия,This **osteria** focuses on regional Italian dishes.,5
brasserie,брассери,The **brasserie** stays open until midnight.,4
taqueria,такерия,Let's grab lunch at the **taqueria**.,4
izakaya,идзакая,A Japanese **izakaya** opened near my office.,5
ramen,рамен,She ordered spicy **ramen** with extra pork.,2
sushi,суши,He prefers **sushi** over other Japanese food.,1
pizzeria,пиццерия,The neighborhood **pizzeria** delivers until ten.,2
deli,кулинария,I bought a sandwich from the **deli**.,2
kiosk,киоск,A food **kiosk** sells hot dogs nearby.,2
cart,тележка,A street **cart** offers fresh dumplings.,3
sommelier,сомелье,The **sommelier** suggested a dry red wine.,4
barista,бариста,The **barista** made beautiful latte art.,2
bartender,бармен,The **bartender** shook our cocktails vigorously.,2
busser,помощник официанта,The **busser** cleared our empty plates.,4
expediter,экспедитор,The kitchen **expediter** coordinates every order.,5
runner,подавальщик,The food **runner** brought our entrees quickly.,3
greeter,встречающий,A friendly **greeter** welcomed us inside.,3
maitre,метрдотель,The **maitre** d seated us by the window.,5
mixologist,миксолог,The **mixologist** crafted a signature drink.,5
owner,владелец,The restaurant **owner** visited every table.,2
patronize,посещать,Locals **patronize** this place every weekend.,4
entree,основное блюдо,My **entree** arrived beautifully plated.,3
amuse,закуска-сюрприз,The chef sent an **amuse** bouche first.,5
palate,вкус,This wine is for a refined **palate**.,4
tasting,дегустация,We booked a seven-course **tasting** menu.,3
pairing,сочетание,The wine **pairing** complemented every course.,4
course,блюдо,Each **course** arrived with careful timing.,2
aperitif,аперитив,He sipped an **aperitif** before dinner.,5
digestif,дижестив,They offered a complimentary **digestif** afterward.,5
nightcap,рюмка на ночь,Let's have one **nightcap** before leaving.,4
mocktail,безалкогольный коктейль,She ordered a pineapple **mocktail** instead.,3
rocks,кубики льда,He takes whiskey on the **rocks**.,3
neat,без льда,I'll have bourbon **neat** please.,3
chilled,охлажденный,The champagne came perfectly **chilled**.,2
stemware,бокалы на ножке,Expensive **stemware** filled the cabinet.,5
flute,бокал для шампанского,She raised her champagne **flute** for a toast.,3
tumbler,стакан,He poured whiskey into a heavy **tumbler**.,4
goblet,кубок,The medieval **goblet** held red wine.,4
jug,кувшин,Our **jug** of water needed refilling.,2
carafe,графин,The waiter left a **carafe** of wine.,4
decanter,декантер,Old wines breathe better in a **decanter**.,5
ramekin,розетка,She baked custard in a small **ramekin**.,5
saucer,блюдце,The teacup sat on a delicate **saucer**.,2
tongs,щипцы,Use the **tongs** to grab the salad.,3
skewer,шампур,Chicken pieces slid off the **skewer**.,3
silverware,столовое серебро,The **silverware** gleamed under soft lights.,3
flatware,столовые приборы,Polished **flatware** sat beside each setting.,4
cutlery,столовые приборы,Please bring me clean **cutlery**.,3
crockery,посуда,Fine **crockery** decorated the dining room.,5
chopsticks,палочки для еды,He handled **chopsticks** with impressive skill.,2
bib,нагрудник,Lobster diners wear a paper **bib**.,3
walkin,без записи,The restaurant accepts **walkin** customers too.,3
waitlist,лист ожидания,Add my name to the **waitlist** please.,3
crowded,переполненный,The place was completely **crowded** tonight.,2
bustling,оживленный,This **bustling** cafe never slows down.,4
quaint,причудливый,The **quaint** bistro charmed every tourist.,4
dimly,тускло,The **dimly** lit room felt romantic.,4
candlelit,освещенный свечами,Every table was **candlelit** for dinner.,4
ambiance,атмосфера,I love the warm **ambiance** here.,4
decor,декор,The rustic **decor** made us feel welcome.,3
lively,оживленный,The pub had a **lively** atmosphere tonight.,3
rowdy,шумный,A **rowdy** group sat at the bar.,4
veranda,веранда,We prefer the outdoor **veranda** seating.,3
alfresco,на свежем воздухе,Dining **alfresco** feels wonderful in summer.,5
communal,общий,The restaurant offers **communal** tables downstairs.,4
counter,стойка,He ate alone at the **counter**.,2
barstool,барный стул,She climbed onto the **barstool** slowly.,3
peruse,изучать,Guests **peruse** the menu before ordering.,4
hail,подозвать,He raised his hand to **hail** the waiter.,3
beckon,подзывать,The host will **beckon** you over shortly.,4
gesture,жестикулировать,I'll **gesture** to the waiter for another round.,3
linger,задерживаться,We tend to **linger** over dessert.,4
savor,смаковать,She loved to **savor** every bite slowly.,4
devour,пожирать,Hungry diners **devour** their entrees quickly.,3
indulge,побаловать себя,Let's **indulge** in a fancy dinner tonight.,3
splurging,транжирить,Tonight we're **splurging** on lobster and wine.,4
top up,подлить,Can you **top up** my water glass please.,2
gulp,глоток,He took a big **gulp** of beer.,3
sip,глоток,She took a careful **sip** of wine.,2
munch,жевать,Children **munch** on breadsticks while waiting.,3
slurp,хлюпать,It's okay to **slurp** noodles in Japan.,3
dine,обедать,Where shall we **dine** this evening.,3
bouncer,вышибала,The **bouncer** checked IDs at the door.,4
clientele,клиентура,This restaurant attracts an upscale **clientele**.,4
doggy bag,контейнер с остатками,I asked for a **doggy bag** for leftovers.,3
