jetbridge,телетрап,The **jetbridge** connects the terminal to the plane door.,3,airport
stanchion,стойка ограждения,A metal **stanchion** holds the queue rope in place.,4,airport
bollard,столбик-ограничитель,A yellow **bollard** blocks cars from the curb.,4,airport
kerbside,у тротуара,She waited **kerbside** with her suitcase and ticket.,4,airport
forecourt,привокзальная площадь,Taxis lined up in the airport **forecourt**.,4,airport
chute,жёлоб для багажа,Bags tumbled down the metal **chute** to the carousel.,3,airport
crosswind,боковой ветер,The pilot fought a strong **crosswind** on landing.,4,airport
downdraft,нисходящий поток,A sudden **downdraft** shook the plane badly.,5,airport
contrail,инверсионный след,A white **contrail** streaked across the blue sky.,4,airport
altimeter,высотомер,The pilot watched the **altimeter** during descent.,4,airport
glideslope,глиссада,The plane followed the **glideslope** toward the runway.,5,airport
frisking,обыск,Security started **frisking** the nervous passenger.,4,airport
patdown,личный досмотр,She got a quick **patdown** after the alarm.,4,airport
biometric,биометрический,The gate used **biometric** scans to verify passengers.,4,airport
retinal,сетчатки,A **retinal** scan confirmed the traveler's identity.,4,airport
fingerprint,отпечаток пальца,The officer took his **fingerprint** at the border.,3,airport
empennage,хвостовое оперение,The **empennage** of the plane was damaged by ice.,5,airport
flap,закрылок,The **flap** on the wing extended for landing.,3,airport
slat,предкрылок,A broken **slat** forced the plane to return.,5,airport
aileron,элерон,The pilot moved the **aileron** to bank the plane.,5,airport
nacelle,гондола двигателя,Smoke poured from the engine **nacelle** mid-flight.,5,airport
pylon,пилон крепления двигателя,The engine hangs from a **pylon** under the wing.,4,airport
winglet,законцовка крыла,The curved **winglet** reduces drag during cruise.,4,airport
fairing,обтекатель,A loose **fairing** caused the odd noise.,5,airport
purser,старший бортпроводник,The **purser** greeted us at the cabin door.,4,airport
dispatcher,диспетчер,The **dispatcher** filed the flight plan before departure.,4,airport
loadmaster,авиационный грузчик,The **loadmaster** balanced the cargo carefully.,5,airport
fueler,заправщик,The **fueler** pumped kerosene into the wing tank.,4,airport
palletize,паковать на поддон,Workers **palletize** the boxes before loading them.,5,airport
forwarder,грузовой экспедитор,The **forwarder** handled all our shipping paperwork.,4,airport
towbar,водило буксира,The tug attached a **towbar** to the nose wheel.,4,airport
deicer,антиобледенитель,The **deicer** sprayed the wings before takeoff.,4,airport
glycol,гликоль,The **glycol** fluid melts ice from the wings.,5,airport
diversion,отклонение от маршрута,Fog forced an unplanned **diversion** to Madrid.,4,airport
rerouting,изменение маршрута,The storm caused hours of flight **rerouting**.,4,airport
overbooking,овербукинг,Airlines practice **overbooking** to fill every seat.,4,airport
misconnection,пропущенная пересадка,The delay led to a painful **misconnection**.,4,airport
rebooking,перебронирование,Staff helped with **rebooking** after the cancellation.,3,airport
foggy,туманный,The flight was delayed by **foggy** conditions.,2,airport
hazy,мглистый,A **hazy** sky made takeoff feel strange.,3,airport
rainy,дождливый,Planes still land in **rainy** weather here.,2,airport
stormy,штормовой,Flights were canceled due to **stormy** conditions.,2,airport
snowy,снежный,The **snowy** runway needed constant plowing.,2,airport
windy,ветреный,Landing on such a **windy** day felt scary.,2,airport
gusty,порывистый,The pilot warned us about **gusty** winds ahead.,3,airport
frosty,морозный,Ice covered the wings on this **frosty** morning.,3,airport
icy,обледенелый,An **icy** runway forced the plane to skid slightly.,3,airport
slippery,скользкий,The terminal floor was **slippery** after mopping.,2,airport
damp,сырой,The air felt **damp** when we stepped outside.,2,airport
humid,влажный,The tropical airport was hot and **humid**.,2,airport
frigid,ледяной,We shivered in the **frigid** airport lounge.,3,airport
tropical,тропический,The **tropical** storm closed the airport for hours.,2,airport
swabbing,взятие мазка,Security was **swabbing** bags for explosives.,5,airport
interrogation,допрос,The **interrogation** at customs lasted two hours.,4,airport
profiling,профилирование,Some travelers complain about unfair **profiling** at borders.,4,airport
scanning,сканирование,Body **scanning** is now standard at most airports.,3,airport
sniffer,служебная собака,A **sniffer** dog checked every bag in line.,3,airport
hover,зависать,The helicopter began to **hover** above the pad.,3,airport
maneuver,маневрировать,The pilot had to **maneuver** around the storm.,3,airport
descend,снижаться,We will **descend** into Paris in ten minutes.,3,airport
ascend,набирать высоту,The plane began to **ascend** through the clouds.,3,airport
refuel,дозаправлять,They had to **refuel** the plane before takeoff.,3,airport
tanker,заправщик,A **tanker** truck pulled up beside the jet.,3,airport
pressurize,герметизировать,Crews **pressurize** the cabin before every flight.,4,airport
compartment,отсек,She stored her coat in the overhead **compartment**.,2,airport
aviator,лётчик,The old **aviator** had flown for forty years.,3,airport
airliner,пассажирский лайнер,A huge **airliner** taxied slowly to the gate.,3,airport
glider,планер,The **glider** circled silently above the field.,3,airport
turboprop,турбовинтовой самолёт,A small **turboprop** carried us to the island.,4,airport
parachute,парашют,Every jet has a drag **parachute** for emergency landings.,3,airport
airstrip,взлётно-посадочная полоса,The remote **airstrip** served only small planes.,3,airport
liftoff,взлёт,We felt a smooth **liftoff** from the runway.,3,airport
braking,торможение,The pilot used reverse **braking** after touchdown.,3,airport
cancellation,отмена,The flight **cancellation** ruined our holiday plans.,3,airport
postponement,перенос,The weather forced a long **postponement** of our flight.,4,airport
weary,усталый,The **weary** travelers dragged their bags through customs.,3,airport
drained,опустошённый,After the long flight we felt totally **drained**.,3,airport
earplugs,беруши,She wore **earplugs** to block the engine noise.,3,airport
blindfold,повязка на глаза,He used a **blindfold** to sleep on the plane.,3,airport
doze,дремать,I like to **doze** during long flights.,3,airport
