doormat,коврик,Wipe your shoes on the **doormat** before entering.,2
hinge,петля,The door **hinge** squeaks every morning.,3
latch,защёлка,The gate **latch** is broken again.,3
knob,ручка,Turn the **knob** to open the drawer.,2
doorknob,дверная ручка,The **doorknob** came off in my hand.,2
keyhole,замочная скважина,She peeked through the **keyhole** curiously.,3
peephole,глазок,Check the **peephole** before opening the door.,3
baseboard,плинтус,Paint the **baseboard** in a matching white.,3
molding,молдинг,The crown **molding** adds a classy touch.,4
threshold,порог,He carried her across the **threshold**.,4
pantry,кладовая,Store the flour in the **pantry**.,3
mudroom,прихожая,Leave your boots in the **mudroom**.,3
nook,уголок,We built a reading **nook** by the window.,3
alcove,альков,A small **alcove** holds her favorite books.,4
banister,перила,Hold the **banister** when going downstairs.,3
railing,поручень,The wooden **railing** needs refinishing.,3
skylight,световой люк,Sunlight pours through the **skylight**.,3
quilt,стёганое одеяло,Grandma sewed this **quilt** by hand.,3
comforter,стёганое одеяло,The fluffy **comforter** keeps me warm.,3
bedspread,покрывало,Her **bedspread** matches the curtains perfectly.,3
runner,дорожка,A long **runner** covers the hallway.,3
valance,ламбрекен,The **valance** hides the curtain rod.,4
plunger,вантуз,Use the **plunger** to unclog the drain.,3
squeegee,стяжка,Clean the shower door with a **squeegee**.,3
humidifier,увлажнитель,Run the **humidifier** in dry winter months.,3
dehumidifier,осушитель,A **dehumidifier** helps with basement dampness.,4
broom,метла,Sweep the porch with a **broom**.,2
dustpan,совок,Hold the **dustpan** while I sweep.,2
bristle,щетина,The brush **bristle** is worn out.,3
bucket,ведро,Fill the **bucket** with warm soapy water.,2
sponge,губка,Wipe the counter with a damp **sponge**.,2
coaster,подставка,Put a **coaster** under your drink.,2
placemat,салфетка,Set a **placemat** at every seat.,2
tablecloth,скатерть,She ironed the white **tablecloth**.,2
centerpiece,центральное украшение,The flower **centerpiece** looks lovely.,3
candlestick,подсвечник,Light the **candlestick** on the mantel.,3
mantel,каминная полка,Photos line the marble **mantel**.,3
hearth,очаг,We gathered around the warm **hearth**.,3
chimney,дымоход,Smoke rises from the brick **chimney**.,3
fireplace,камин,The **fireplace** crackles on cold nights.,2
ashtray,пепельница,Empty the **ashtray** into the trash.,3
wastebasket,мусорная корзина,Toss it in the **wastebasket**.,3
hamper,корзина для белья,Dirty clothes go in the **hamper**.,3
ironing,глажка,She avoids **ironing** on weekends.,2
clothesline,бельевая верёвка,Hang the sheets on the **clothesline**.,3
clothespin,прищепка,Use a **clothespin** to secure the towel.,3
cubby,ячейка,Each child has a **cubby** for toys.,3
hook,крючок,Hang your coat on the **hook**.,2
peg,колышек,Place the umbrella on the wooden **peg**.,3
rack,стойка,Store the shoes on the **rack**.,2
bracket,кронштейн,The shelf **bracket** needs tightening.,3
stud,стойка каркаса,Find the wall **stud** before hanging art.,4
drywall,гипсокартон,Patch the **drywall** where it cracked.,3
caulk,герметик,Apply fresh **caulk** around the tub.,4
grout,затирка,The **grout** between tiles looks dirty.,4
tile,плитка,The kitchen **tile** is easy to clean.,2
linoleum,линолеум,Old **linoleum** covers the kitchen floor.,3
hardwood,паркет,We installed **hardwood** throughout the house.,3
subfloor,черновой пол,The **subfloor** was damaged by water.,4
joist,балка,The ceiling **joist** supports the floor above.,4
rafter,стропило,A mouse ran along the **rafter**.,4
eaves,карниз,Icicles hang from the **eaves** in winter.,4
gutter,водосток,Clean leaves from the **gutter** each fall.,3
downspout,водосточная труба,The **downspout** directs water away.,4
shutter,ставень,Close the **shutter** before the storm.,3
awning,навес,The **awning** provides shade on the patio.,3
shed,сарай,Store the lawnmower in the **shed**.,2
hose,шланг,Water the garden with the **hose**.,2
sprinkler,разбрызгиватель,The **sprinkler** waters the lawn.,3
rake,грабли,She used a **rake** to gather leaves.,2
trowel,мастерок,Use a **trowel** to plant flowers.,3
wheelbarrow,тачка,Load mulch into the **wheelbarrow**.,3
ladder,лестница,Climb the **ladder** to reach the attic.,2
toolbox,ящик для инструментов,His **toolbox** sits by the garage door.,2
wrench,гаечный ключ,Pass me the **wrench** please.,2
pliers,плоскогубцы,Grip the nail with these **pliers**.,3
tape,рулетка,Measure the room with a **tape** measure.,2
level,уровень,Use a **level** to hang pictures straight.,3
screwdriver,отвёртка,Tighten the hinge with a **screwdriver**.,2
staple,скоба,Attach the wire with a **staple**.,3
glue,клей,A drop of **glue** fixed the handle.,2
sandpaper,наждачная бумага,Smooth the wood with **sandpaper**.,3
varnish,лак,Apply **varnish** to protect the table.,3
primer,грунтовка,Brush on **primer** before painting.,3
wallpaper,обои,Old **wallpaper** peels in the corner.,3
declutter,расхламлять,I need to **declutter** my closet.,4
renovate,ремонтировать,They plan to **renovate** the kitchen.,4
remodel,перестраивать,We will **remodel** the bathroom next year.,4
refurbish,реставрировать,She wants to **refurbish** old chairs.,4
insulate,утеплять,We should **insulate** the attic better.,4
ventilate,проветривать,Open a window to **ventilate** the room.,4
seal,герметизировать,**Seal** the cracks around the window.,3
patch,латать,I need to **patch** the hole in the wall.,3
unclog,прочищать,Try to **unclog** the kitchen sink.,4
rewire,перепроводить,They had to **rewire** the whole house.,4
swivel,вращающийся,The **swivel** chair broke yesterday.,3
ottoman,оттоманка,Rest your feet on the **ottoman**.,3
armchair,кресло,He fell asleep in the **armchair**.,2
loveseat,кушетка,A cozy **loveseat** sits by the window.,3
armrest,подлокотник,Her cat naps on the **armrest**.,3
