english,russian,sentence,difficulty
internet,интернет,I can't live without the **internet**.,1
website,сайт,This **website** loads very fast.,1
email,имейл,She sent me a long **email**.,1,work
password,пароль,Never share your **password** with anyone.,1
online,онлайн,My brother is always **online**.,1
download,скачать,I want to **download** this song.,1
chat,чат,We talked in the group **chat**.,1
video,видео,This **video** is really funny.,1,leisure
wifi,вайфай,The **wifi** here is really fast.,1
app,приложение,This **app** is really useful.,1
photo,фото,I posted a new **photo** today.,2
message,сообщение,He sent me a short **message**.,2
upload,загрузить,Please **upload** the photo here.,2
laptop,ноутбук,My **laptop** needs a new battery.,2,work
click,кликать,Just **click** on this link.,2
post,пост,Her last **post** got many likes.,2
post,публиковать,I will **post** it later tonight.,2
like,лайк,My photo got one hundred **likes**.,2
like,нравиться,I really **like** your new page.,2,basic
comment,комментарий,He left a rude **comment** below.,2
follow,подписаться,I want to **follow** her blog.,2
profile,профиль,Update your **profile** photo please.,2
profile,анкета,Fill out your dating **profile** carefully.,3
feed,лента,My news **feed** is full of ads.,2
feed,кормить,Don't forget to **feed** the dog.,2,home
link,ссылка,Send me the **link** right now.,2
link,связь,There is a clear **link** between them.,2
spam,спам,Delete all the **spam** emails please.,2
reply,ответить,She didn't **reply** to my message.,2
mobile,мобильный,The **mobile** version is easier.,2
delete,удалить,I will **delete** this old message.,2
update,обновить,Please **update** your app version.,2
install,установить,I need to **install** this app.,2
data,данные,Save your **data** before closing.,2
browser,браузер,My favorite **browser** is very fast.,2
tab,вкладка,Open a new **tab** please.,2
web,веб,The modern **web** has changed everything.,3
web,паутина,A spider made a beautiful **web**.,3,nature
cloud,облако,Save your files to the **cloud**.,3
cloud,туча,A dark **cloud** covered the sky.,3,nature
surf,серфить,I like to **surf** the web daily.,3
surf,серфинг,He loves **surf** at the beach.,3,sports
hit,хит,This song became a huge **hit**.,3,leisure
hit,удар,She took a hard **hit** yesterday.,3
cookie,куки,This site uses tracking **cookies**.,3
cookie,печенье,Grandma baked a sweet **cookie**.,3,kitchen
bug,баг,There is a **bug** in the app.,3
bug,жук,A little **bug** crawled on my wall.,3,nature
crash,сбой,The game had a sudden **crash**.,3
crash,авария,There was a **crash** on the highway.,3,driving
stream,стрим,Her **stream** starts at eight tonight.,3,leisure
stream,поток,A huge **stream** of data flows here.,3
troll,тролль,Don't feed the **troll** in comments.,3
troll,дразнить,He likes to **troll** his friends.,3
bookmark,закладка,Save this page as a **bookmark**.,3
inbox,входящие,My **inbox** is full of junk.,3,work
attachment,вложение,Check the **attachment** in my email.,3,work
backup,бэкап,Make a **backup** of your photos.,3
edit,редактировать,Let me **edit** my post quickly.,3
icon,иконка,Tap the red **icon** to delete.,3
meme,мем,That **meme** made me laugh loud.,3,leisure
hashtag,хештег,Add a **hashtag** to your post.,3
blog,блог,She writes a cooking **blog**.,3
subscribe,подписаться,Please **subscribe** to my channel.,3
notification,уведомление,I turned off all **notifications**.,3
ban,бан,He got a **ban** for trolling.,3
thread,тред,This **thread** has thousands of replies.,4
thread,нить,She sewed it with a red **thread**.,4
