english,russian,sentence,difficulty
kitchen,кухня,She is cooking dinner in the **kitchen**.,1,kitchen
bedroom,спальня,My **bedroom** has a big window.,1
bathroom,ванная,The **bathroom** is next to my room.,1
garage,гараж,He parks the car in the **garage**.,1
attic,чердак,Old toys are stored in the **attic**.,3
basement,подвал,The **basement** is dark and cold.,2
roof,крыша,Birds are sitting on the **roof**.,1
wall,стена,The **wall** is painted white.,1
floor,пол,The **floor** is made of wood.,1
floor,этаж,My flat is on the third **floor**.,2
ceiling,потолок,A lamp hangs from the **ceiling**.,2
door,дверь,Please shut the **door** quietly.,1
window,окно,I love the view from my **window**.,1
stairs,лестница,The **stairs** go up to the attic.,1
chair,стул,Sit on this **chair** by the table.,1
bed,кровать,My **bed** is very soft and warm.,1
sofa,диван,We watched TV on the **sofa**.,2
shelf,полка,Put the books on the top **shelf**.,2
desk,стол,I do homework at my **desk**.,1,work
drawer,ящик,Socks are in the bottom **drawer**.,2
mirror,зеркало,She looked at herself in the **mirror**.,2
cupboard,шкаф,Cups are in the kitchen **cupboard**.,2,kitchen
wardrobe,гардероб,Her dresses hang in the **wardrobe**.,2
lamp,лампа,Please turn on the **lamp**.,1
carpet,ковёр,The **carpet** is soft under my feet.,2
rug,коврик,A small **rug** lies by the bed.,2
curtain,штора,She pulled the **curtain** shut.,2
blanket,одеяло,I need a warm **blanket** tonight.,2
pillow,подушка,My **pillow** is too soft.,1
sheet,простыня,She changed the bed **sheet** today.,2
oven,духовка,The bread is baking in the **oven**.,2,kitchen
fridge,холодильник,Milk is in the **fridge**.,1,kitchen
freezer,морозилка,Ice cream is in the **freezer**.,2,kitchen
kettle,чайник,The **kettle** is boiling water now.,2,kitchen
toaster,тостер,Put the bread in the **toaster**.,2,kitchen
vacuum,пылесос,I use a **vacuum** to clean carpets.,2
dishwasher,посудомойка,Load the plates into the **dishwasher**.,3,kitchen
stove,плита,She left the **stove** on all night.,2,kitchen
microwave,микроволновка,Heat the soup in the **microwave**.,2,kitchen
sink,раковина,Wash your hands in the **sink**.,2,kitchen
tap,кран,Turn off the water **tap**.,2,kitchen
shower,душ,I take a **shower** every morning.,1
bathtub,ванна,The baby is splashing in the **bathtub**.,2
toilet,туалет,The **toilet** is over there.,1
soap,мыло,Wash your hands with **soap**.,1,basic
towel,полотенце,Dry your face with a **towel**.,1
plate,тарелка,Put the food on the **plate**.,1,kitchen
bowl,миска,Pour the soup into a **bowl**.,2,kitchen
fork,вилка,Use a **fork** to eat the salad.,1,kitchen
