english,russian,sentence,difficulty
gym,спортзал,I go to the **gym** every morning.,1
workout,тренировка,My **workout** lasted about two hours.,2
exercise,упражнение,This **exercise** strengthens your back muscles.,1
training,тренировка,Her **training** starts at six.,1
jog,бегать трусцой,I **jog** in the park daily.,2
lift,поднимать,He can **lift** heavy weights easily.,2
lift,подъёмник,We took the **lift** to the top.,2
stretch,растягиваться,Always **stretch** before intense exercise.,2
stretch,участок,This **stretch** of road is dangerous.,3
push,отжимание,I can do fifty **push** ups.,2
push,толкать,Don't **push** me so hard.,1
pull,подтягивание,He does twenty **pull** ups daily.,2
pull,тянуть,**Pull** the rope with both hands.,1
squat,приседание,Add **squat** exercises to your routine.,2
lunge,выпад,Each **lunge** works your leg muscles.,3
plank,планка,Hold the **plank** for one minute.,2
sweat,пот,His shirt was soaked with **sweat**.,2
muscle,мышца,My arm **muscle** is really sore.,1
strength,сила,Yoga builds both **strength** and flexibility.,2
cardio,кардио,I do **cardio** three times weekly.,2
endurance,выносливость,Marathon running requires great **endurance**.,3
stamina,выносливость,Her **stamina** has improved this month.,3
flexibility,гибкость,Daily stretching improves your **flexibility**.,3
balance,равновесие,Yoga helps improve your **balance**.,2
balance,баланс,Check your account **balance** today.,2
posture,осанка,Sitting straight improves your **posture**.,3
diet,диета,She follows a strict **diet**.,1
calorie,калория,Each apple has about eighty **calorie** units.,2
protein,белок,Eggs are rich in **protein**.,2
fat,жир,Too much **fat** is unhealthy.,1
fat,толстый,The **fat** cat slept all day.,1
carb,углевод,Bread contains lots of **carb** energy.,2
sugar,сахар,She avoids **sugar** in her coffee.,1
fiber,клетчатка,Vegetables contain lots of **fiber**.,3
vitamin,витамин,Oranges have plenty of **vitamin** C.,1
mineral,минерал,Milk contains calcium and other **mineral** content.,3
nutrient,питательное вещество,Broccoli is packed with every **nutrient**.,3
organic,органический,I only buy **organic** vegetables now.,2
natural,натуральный,This juice is completely **natural**.,2
processed,обработанный,Avoid **processed** food when possible.,3
junk,вредная еда,Don't eat too much **junk** food.,2
healthy,здоровый,Eating vegetables keeps you **healthy**.,1
unhealthy,нездоровый,Smoking is extremely **unhealthy**.,2
balanced,сбалансированный,Try to eat a **balanced** diet.,2
stress,стресс,Work **stress** affects her sleep.,1
stress,подчёркивать,I must **stress** the importance of this.,3
anxiety,тревога,Deep breathing reduces my **anxiety**.,3
mindful,осознанный,Be **mindful** of what you eat.,3
meditation,медитация,Daily **meditation** reduces stress significantly.,2
breath,дыхание,Take a deep **breath** and relax.,1
focus,концентрация,Exercise improves your mental **focus**.,2
focus,фокус,The camera **focus** is blurry.,2
mood,настроение,Exercise boosts your **mood** instantly.,2
depression,депрессия,Therapy helps treat her **depression**.,3
relax,расслабляться,Try to **relax** your shoulders.,1
recharge,перезаряжаться,I need to **recharge** this weekend.,2
burnout,выгорание,She quit due to **burnout**.,3
nap,дремать,I took a short **nap** today.,2
dream,сон,I had a strange **dream** last night.,1
dream,мечта,Her **dream** is to travel everywhere.,1
snore,храпеть,My husband tends to **snore** loudly.,3
insomnia,бессонница,I suffer from chronic **insomnia**.,3
awake,бодрствующий,I stayed **awake** all night long.,2
asleep,спящий,The baby is finally **asleep**.,1
drowsy,сонный,This medicine makes me feel **drowsy**.,3
alert,бодрый,Coffee keeps me **alert** at work.,2
alert,тревога,The **alert** warned about the storm.,2
fatigue,усталость,Chronic **fatigue** affects her daily life.,3
yoga,йога,**Yoga** helps me feel centered.,1
pilates,пилатес,My sister teaches **pilates** classes.,2
hike,поход,We plan to **hike** this weekend.,2
swim,плавать,Children learn to **swim** quickly.,1
cycle,ездить на велосипеде,I **cycle** to work every day.,2
cycle,цикл,The sleep **cycle** lasts ninety minutes.,3
dance,танцевать,Let's **dance** all night long.,1
weigh,взвешиваться,I **weigh** myself every morning.,2
lose,терять,I need to **lose** ten kilos.,1
gain,набирать,He wants to **gain** some muscle.,2
gain,прибыль,The **gain** was worth the effort.,2
slim,стройный,She looks very **slim** these days.,2
plump,пухлый,The baby has **plump** little cheeks.,3
lean,стройный,Athletes have **lean** strong bodies.,2
lean,наклоняться,Don't **lean** against the wet paint.,3
toned,подтянутый,Her arms look really **toned** now.,3
strong,сильный,Regular exercise makes you **strong**.,1
weak,слабый,I feel **weak** after being sick.,1
habit,привычка,Reading is a great **habit**.,1
routine,распорядок,My morning **routine** takes an hour.,2
lifestyle,образ жизни,A healthy **lifestyle** requires discipline.,2
smoke,курить,He tried to **smoke** less this year.,1
smoke,дым,The **smoke** filled the entire room.,1
addict,зависимый,He is a coffee **addict**.,3
sober,трезвый,She has been **sober** for years.,3
hygiene,гигиена,Personal **hygiene** is extremely important.,3
brush,чистить,Remember to **brush** your teeth twice.,1
brush,кисть,Paint it with a soft **brush**.,2
floss,чистить нитью,Dentists recommend you **floss** daily.,3
hydrate,увлажнять,Remember to **hydrate** during workouts.,3
hydrated,увлажнённый,Stay **hydrated** in hot weather.,3
heal,заживать,Wounds **heal** faster when clean.,2
wholesome,полезный,A **wholesome** breakfast keeps you full till noon.,3
nourish,питать,Fresh vegetables **nourish** your body every day.,3
nourishing,питательный,She cooked a **nourishing** soup for her family.,3
antioxidant,антиоксидант,Blueberries contain a powerful **antioxidant** compound.,4
superfood,суперфуд,Many people call kale a trendy **superfood**.,3
vegan,веган,My sister became a strict **vegan** last year.,2
vegetarian,вегетарианец,He is a **vegetarian** but still eats eggs.,2
crave,жаждать,Pregnant women often **crave** salty pickles at night.,3
craving,тяга,I had a sudden **craving** for dark chocolate.,3
overeat,переедать,Do not **overeat** at holiday dinner parties.,3
snacking,перекусы,Mindless **snacking** can ruin any weight-loss plan.,3
moderate,умеренный,Try to keep **moderate** portions at every meal.,3
moderation,умеренность,Everything tastes better in healthy **moderation**.,3
