godparent,крёстный,His **godparent** gave him a silver spoon.,3
godchild,крестник,She prays for her **godchild** each night.,3
godmother,крёстная мать,My **godmother** visits us every Christmas.,2
godfather,крёстный отец,His **godfather** taught him to fish.,2
stepchild,пасынок,She treats her **stepchild** like her own.,3
stepson,пасынок,His **stepson** calls him dad.,2
stepdaughter,падчерица,My **stepdaughter** graduated from college yesterday.,2
stepsister,сводная сестра,My **stepsister** lives in another city.,2
stepbrother,сводный брат,He shares a room with his **stepbrother**.,2
half-brother,сводный брат,I met my **half-brother** last summer.,3
half-sister,сводная сестра,Her **half-sister** looks exactly like her.,3
foster,приёмный,They became **foster** parents last year.,3
guardian,опекун,Her uncle became her legal **guardian**.,3
custody,опека,The court awarded her full **custody**.,4
heir,наследник,He is the only **heir** to the estate.,3
heiress,наследница,The **heiress** donated money to charity.,4
beneficiary,получатель,She is the **beneficiary** of his will.,4
alimony,алименты,He pays **alimony** every month faithfully.,4
kin,родня,He has no close **kin** left.,3
kinship,родство,Their **kinship** runs through many generations.,4
lineage,родословная,Our **lineage** traces back to Ireland.,4
ancestry,происхождение,She researched her **ancestry** online last night.,3
heritage,наследие,We celebrate our cultural **heritage** proudly.,3
descendant,потомок,He is a direct **descendant** of kings.,3
forefather,предок,Our **forefather** built this old house.,4
matriarch,матриарх,Grandma is the **matriarch** of our clan.,4
patriarch,патриарх,The **patriarch** gathered the whole family.,4
clan,клан,Our **clan** meets every July fourth.,3
bloodline,род,Their royal **bloodline** spans five centuries.,4
dynasty,династия,The **dynasty** ruled for two hundred years.,4
newborn,новорождённый,The **newborn** sleeps almost all day.,2
infant,младенец,The **infant** began crying very loudly.,2
offspring,потомство,Their **offspring** all became doctors eventually.,4
firstborn,первенец,Their **firstborn** just turned ten today.,3
only child,единственный ребёнок,She is an **only child** and lonely.,2
eldest,старший,Their **eldest** always helps with chores.,2
youngest,младший,The **youngest** gets all the attention.,2
middle child,средний ребёнок,Being a **middle child** can feel overlooked.,3
newlywed,молодожёны,The **newlywed** couple moved to Paris.,3
betrothed,обручённый,They became **betrothed** at a small ceremony.,4
separated,в разводе,They have been **separated** since March.,3
expecting,в положении,She is **expecting** her second baby.,3
bachelor,холостяк,He remained a **bachelor** all his life.,3
bachelorette,незамужняя,The **bachelorette** threw a small party.,4
fiance,жених,Her **fiance** works as a firefighter.,3
fiancee,невеста,His **fiancee** is studying medicine abroad.,3
sweetheart,возлюбленный,She met her **sweetheart** in high school.,2
household,домохозяйство,Our **household** has five busy members.,2
homemaker,домохозяйка,My aunt is a proud **homemaker**.,3
breadwinner,кормилец,He became the **breadwinner** after dad died.,3
caregiver,опекун,She is the primary **caregiver** for grandma.,3
dependent,иждивенец,Each **dependent** reduces your tax bill.,3
generation,поколение,Three **generations** live under one roof.,2
reunion,воссоединение,The family **reunion** was unforgettable this year.,3
gathering,собрание,The annual **gathering** brings everyone together.,2
bonding,сближение,Cooking together is our **bonding** activity.,3
closeness,близость,I value the **closeness** of our family.,3
affection,привязанность,He shows his **affection** with small gifts.,3
devotion,преданность,Her **devotion** to her kids is amazing.,3
loyalty,верность,Family **loyalty** means everything to him.,3
resentment,обида,Old **resentment** still poisons their relationship.,4
quarrel,ссора,Their silly **quarrel** lasted three whole days.,3
feud,вражда,The family **feud** started ages ago.,4
reconcile,мириться,They finally decided to **reconcile** last week.,4
estranged,отчуждённый,She is **estranged** from her father now.,4
squabble,перепалка,The kids had another silly **squabble**.,3
protective,заботливый,She feels very **protective** of her siblings.,3
nurturing,заботливый,Her **nurturing** nature helps raise happy kids.,3
lenient,снисходительный,Her mom is too **lenient** sometimes.,4
authoritative,авторитетный,An **authoritative** parent sets firm rules.,4
upbringing,воспитание,His **upbringing** was very traditional and strict.,3
discipline,дисциплина,Good **discipline** starts at a young age.,3
tuck,укрывать,I always **tuck** my daughter in.,2
soothe,успокаивать,She sings to **soothe** the crying baby.,3
bathe,купать,We **bathe** the twins every single evening.,2
swaddle,пеленать,Nurses taught me how to **swaddle** him.,4
stroller,коляска,She pushed the **stroller** around the park.,2
crib,колыбель,The baby fell asleep in his **crib**.,3
playpen,манеж,The toddler stayed in her **playpen**.,3
pacifier,соска,Give the baby her favorite **pacifier**.,3
lullaby,колыбельная,Mom hums a **lullaby** every single night.,2
bedtime,перед сном,Their **bedtime** routine takes about an hour.,2
storytime,сказка на ночь,The kids love **storytime** before going to bed.,2
allowance,карманные деньги,My weekly **allowance** was five dollars.,3
chore,обязанность,Each kid has one daily **chore**.,2
curfew,комендантский час,My **curfew** was ten on weeknights.,3
grounded,под домашним арестом,I got **grounded** for skipping my class.,3
nanny,няня,Our **nanny** arrives at seven sharp.,2
babysitter,няня,The **babysitter** called in sick today.,2
in-laws,родня супруга,My **in-laws** are visiting this weekend.,3
mother-in-law,свекровь,His **mother-in-law** bakes amazing apple pies.,3
father-in-law,свёкор,Her **father-in-law** owns a small bakery.,3
great-grandfather,прадед,My **great-grandfather** fought in the war.,3
great-grandmother,прабабушка,Her **great-grandmother** lived to ninety-nine.,3
motherhood,материнство,**Motherhood** changed her entire perspective completely.,3
fatherhood,отцовство,**Fatherhood** taught him real patience.,3
childhood,детство,His **childhood** was spent on a farm.,2
childbirth,роды,Her **childbirth** was surprisingly quick and easy.,3
paternity,отцовство,He requested a **paternity** leave last month.,4
maternity,материнство,She starts **maternity** leave next Monday.,3
