archery,стрельба из лука,He took up **archery** after his knee injury.,3
fencing,фехтование,**Fencing** requires quick reflexes and precise footwork.,3
wrestle,бороться,The two athletes will **wrestle** for the title.,2
boxing,бокс,**Boxing** practice builds both speed and power.,2
boxer,боксёр,The young **boxer** trains six days a week.,2
paddle,весло,She dipped her **paddle** into the calm water.,2
oar,весло,He gripped the wooden **oar** with both hands.,2
kayak,каяк,We will rent a **kayak** for the race.,3
canoe,каноэ,The team paddled their **canoe** down the river.,3
saddle,седло,The jockey climbed into the **saddle** quickly.,3
jockey,жокей,The young **jockey** guided his horse forward.,3
relay,эстафета,Our school won the **relay** last weekend.,2
baton,эстафетная палочка,She dropped the **baton** near the finish line.,3
javelin,копьё,He threw the **javelin** over sixty meters.,3
discus,диск,She spun and launched the **discus** far away.,4
polevault,прыжок с шестом,The **polevault** record was broken last night.,4
trampoline,батут,The gymnast bounced high on the **trampoline**.,2
sparring,спарринг,They began **sparring** before the big match.,3
takedown,сваливание,His signature **takedown** surprised every opponent.,3
jab,джеб,She threw a quick **jab** at her rival.,2
uppercut,апперкот,He landed a powerful **uppercut** in round three.,3
bout,бой,The heavyweight **bout** lasted twelve rounds.,3
contender,претендент,The new **contender** will face the champion.,3
heavyweight,тяжеловес,The **heavyweight** defended his title easily.,3
lightweight,легковес,The **lightweight** moved quickly around the ring.,3
goalkeeper,вратарь,Our **goalkeeper** saved three shots today.,2
goalie,голкипер,The **goalie** dove to block the puck.,2
keeper,вратарь,The young **keeper** stopped every penalty kick.,2
forward,нападающий,Their best **forward** scored two goals.,2
defender,защитник,The **defender** blocked the shot cleanly.,2
badminton,бадминтон,They play **badminton** every Sunday afternoon.,2
cross,навес,His **cross** found the striker near the post.,3
throwin,вбрасывание,The ref signaled for a **throwin** quickly.,3
kickboxing,кикбоксинг,She practices **kickboxing** every evening.,3
mound,горка питчера,The pitcher walked slowly off the **mound**.,3
bunt,бант,He tried to **bunt** the ball softly.,3
homerun,хоумран,Her **homerun** won the championship game.,2
strikeout,страйкаут,The rookie pitcher got his first **strikeout**.,3
curveball,крученый мяч,He threw a sharp **curveball** for strike three.,3
fastball,быстрый мяч,His **fastball** clocked in at ninety miles.,3
inning,иннинг,The final **inning** decided the close game.,3
grandslam,гранд-слэм,His **grandslam** tied the score in seven.,4
ace,эйс,Her powerful **ace** ended the long match.,2
deuce,ровно,The score reached **deuce** for the fifth time.,4
lob,свеча,She hit a perfect **lob** over the net.,3
backhand,бэкхенд,His **backhand** return landed on the line.,3
forehand,форхенд,Her **forehand** drive stunned the crowd completely.,3
volley,удар с лёта,He smashed the **volley** past the opponent.,3
singles,одиночный разряд,She won her **singles** final yesterday afternoon.,2
doubles,парный разряд,They play **doubles** every Saturday morning.,2
hoop,кольцо,The ball dropped through the **hoop** cleanly.,2
basket,корзина,He sank the winning **basket** at the buzzer.,1
rebound,подбор,She grabbed the crucial **rebound** under pressure.,3
layup,лэйап,The guard made an easy **layup**.,3
freethrow,штрафной бросок,He missed the final **freethrow** badly.,3
assist,передача,Her **assist** led to the winning goal.,2
goaltender,голкипер,Their veteran **goaltender** made thirty saves.,3
stick,клюшка,He gripped his hockey **stick** firmly.,2
slapshot,кистевой бросок,His **slapshot** flew into the upper corner.,3
faceoff,вбрасывание,The **faceoff** happened in the neutral zone.,3
hattrick,хет-трик,She scored a **hattrick** in twenty minutes.,3
freestyle,вольный стиль,He won the **freestyle** race easily.,2
backstroke,плавание на спине,She swims **backstroke** better than butterfly.,3
breaststroke,брасс,His **breaststroke** technique improves every week.,3
scuba,подводное плавание,He loves **scuba** lessons at the resort pool.,3
skateboard,скейтборд,He learned to ride a **skateboard** yesterday.,2
springboard,трамплин,She jumped off the **springboard** gracefully.,3
platform,вышка,He dove from the ten-meter **platform**.,3
judo,дзюдо,He has trained **judo** since age six.,2
karate,карате,She earned her black belt in **karate**.,2
taekwondo,тхэквондо,**Taekwondo** focuses heavily on powerful kicks.,3
wrestling,борьба,He joined the **wrestling** team last fall.,2
grappler,борец,The **grappler** locked his opponent in seconds.,4
gi,ги,She washed her **gi** after every class.,4
dojo,додзё,The **dojo** opens early every weekday morning.,3
cycling,велоспорт,**Cycling** is his favorite summer activity.,2
triathlon,триатлон,She finished her first **triathlon** last summer.,3
marathon,марафон,He trained hard for the city **marathon**.,2
sprinter,спринтер,The young **sprinter** broke the school record.,2
snowboard,сноуборд,She rides her **snowboard** down steep slopes.,2
bobsled,бобслей,The **bobsled** team crossed the finish first.,3
tactic,тактика,The coach changed his **tactic** at halftime.,3
strategy,стратегия,Their defensive **strategy** worked perfectly today.,2
curling,кёрлинг,**Curling** demands precision and smart teamwork.,4
bowling,боулинг,He enjoys **bowling** with friends on Fridays.,2
tournament,турнир,The **tournament** attracted teams from ten countries.,2
championship,чемпионат,They reached the regional **championship** finals.,2
finals,финал,The **finals** will be held next Saturday.,2
semifinal,полуфинал,She won her **semifinal** match convincingly.,3
quarterfinal,четвертьфинал,He lost the **quarterfinal** by one point.,3
standings,турнирная таблица,Our team climbed the **standings** this week.,3
ranking,рейтинг,Her world **ranking** improved after the victory.,3
trophy,трофей,The captain raised the golden **trophy** high.,2
medal,медаль,She earned a bronze **medal** in diving.,1
title,титул,He defended his world **title** successfully.,2
cricket,крикет,**Cricket** is very popular in many countries.,3
umpire,судья,The **umpire** called him out at second.,3
linesman,линейный судья,The **linesman** raised his flag for offside.,4
timekeeper,хронометрист,The **timekeeper** signaled the end of play.,4
scoreboard,табло,The **scoreboard** showed a tied game.,2
