hangar,ангар,The old plane sat inside a dusty **hangar**.,4
apron,перрон,Ground crew worked on the busy **apron** area.,4
taxiway,рулёжная дорожка,The jet moved slowly along the **taxiway**.,5
ascent,подъём,The initial **ascent** was surprisingly smooth and quick.,3
descent,снижение,The **descent** began forty minutes before landing.,3
itinerary,маршрут,Please print your **itinerary** before reaching the airport.,4
rebook,перебронировать,I had to **rebook** my morning to Paris.,3
standby,лист ожидания,She waited on **standby** for an earlier trip.,4
unclaimed,невостребованный,Several **unclaimed** bags sat near the office.,4
diverted,перенаправлен,Our plane was **diverted** due to bad weather.,4
rerouted,перенаправленный,The crew was **rerouted** through Frankfurt last night.,4
disembark,высаживаться,Please wait to **disembark** until the doors open.,4
recline,откидываться,The chair in front began to **recline** suddenly.,3
overhead,верхняя полка,Place your small backpack in the **overhead** compartment.,2
stow,убрать,Please **stow** your laptop before we depart.,3
fasten,пристегнуть,Passengers must **fasten** their belts during takeoff.,3
oxygen,кислород,An **oxygen** mask dropped during the emergency drill.,3
turbulent,неспокойный,The flight became **turbulent** above the mountains.,4
choppy,тряский,We hit a **choppy** patch above the sea.,4
headwind,встречный ветер,A strong **headwind** slowed our morning journey.,4
tailwind,попутный ветер,A good **tailwind** helped us arrive early.,4
jetlag,джетлаг,I always suffer from **jetlag** after long trips.,2
frisk,обыск,The guard did a quick **frisk** at security.,4
screening,досмотр,Everyone must pass the **screening** before the gates.,2
contraband,контрабанда,Dogs help officers find hidden **contraband** at checkpoints.,5
stamped,проштампован,My document was finally **stamped** by the officer.,3
expired,просрочен,Her document was **expired** when she tried flying.,3
renew,обновить,I need to **renew** my document before summer trips.,3
foreigner,иностранец,The **foreigner** struggled with the local language.,3
resident,резидент,Only a **resident** can use this quicker line.,3
deportation,депортация,The man faced **deportation** after the long hearing.,5
asylum,убежище,She requested **asylum** upon reaching the border.,4
embark,садиться,Travelers began to **embark** onto the small craft.,4
onboard,на борту,There was free tea **onboard** the small craft.,2
galley,кухня самолёта,The crew prepared meals in the small **galley**.,4
lavatory,туалет,The **lavatory** sign glowed bright red during takeoff.,3
recliner,откидное кресло,Her **recliner** tilted slightly backward during the movie.,3
armrests,подлокотники,She rested her hands on the small **armrests**.,3
legroom,место для ног,The first row offers much more **legroom**.,3
sickbag,гигиенический пакет,A **sickbag** is tucked behind every front pocket.,4
wingtip,законцовка крыла,The blinking **wingtip** light flashed through the window.,5
rudder,руль направления,The **rudder** helps control the direction of flying.,5
throttle,дроссель,The captain pushed the **throttle** forward for takeoff.,5
thrust,тяга,Strong **thrust** pushed everyone back into their chairs.,4
turbine,турбина,A loud **turbine** hummed outside my tiny window.,4
aircraft,воздушное судно,This **aircraft** carries three hundred people easily.,3
airborne,в воздухе,We became **airborne** within minutes of pushing back.,4
touchdown,приземление,The smooth **touchdown** earned applause from the cabin.,3
gatecrew,персонал выхода,The **gatecrew** announced boarding would start soon.,4
announcement,объявление,A loud **announcement** told everyone about the delay.,3
paging,вызов,A **paging** message called for a missing traveler.,4
coachclass,эконом класс,Most people sit in **coachclass** on long trips.,3
upgraded,повышенный,She got **upgraded** to first for the trip.,3
windowside,у окна,He loves a **windowside** spot for the views.,3
aislespot,место у прохода,She prefers an **aislespot** to walk around freely.,3
bulkhead,переборка,The **bulkhead** row offers extra space for families.,5
bassinet,люлька,A **bassinet** can be requested for babies onboard.,5
rollaboard,чемодан на колёсиках,He dragged his **rollaboard** across the shiny floor.,4
duffel,сумка,She packed her small **duffel** with flying essentials.,4
carryon,ручная кладь,Each person gets one free **carryon** piece today.,3
checked,сданный,He had two **checked** bags for the long trip.,3
handler,грузчик,The **handler** carefully loaded bags into the plane.,4
groundcrew,наземный персонал,The **groundcrew** signaled the plane out of position.,4
marshaller,маршаллер,A **marshaller** guided the jet with lighted sticks.,5
chock,тормозной башмак,Each **chock** keeps the plane from rolling away.,5
tugtruck,тягач,A small **tugtruck** pushed the plane from the gates.,5
catering,кейтеринг,The **catering** truck delivered meals before our flight.,4
refueling,заправка,**Refueling** takes place before every long flight.,4
deicing,противообледенительная обработка,Winter **deicing** sprayed the plane before takeoff.,5
pushback,отгон от гейта,**Pushback** happens just before the plane starts moving.,4
clearance,разрешение,The tower gave **clearance** for immediate takeoff.,3
sim,тренажёр,Every captain must train in the **sim** regularly.,4
cruise,крейсерский полёт,We reached **cruise** height above the thick clouds.,3
mach,число маха,The jet flew at **mach** point seven today.,5
knots,узлы,Our speed was two hundred fifty **knots** steady.,4
skycap,носильщик,A friendly **skycap** helped with our heavy bags.,5
concourse,зал ожидания,The main **concourse** was crowded with waiting people.,4
shuttlebus,шаттл,A free **shuttlebus** runs between the main buildings.,3
tram,поезд метро,A small **tram** moves people between distant buildings.,3
skybridge,телетрап,A long **skybridge** connects the gates to the plane.,4
peoplemover,траволатор,The **peoplemover** carried tired travelers across the hallway.,4
cart,тележка,She pushed a luggage **cart** toward the exit signs.,3
trolleydolly,тележка-чемодан,Her small **trolleydolly** rolled smoothly across polished tiles.,5
holdroom,зал ожидания гейта,Passengers waited quietly in the crowded **holdroom**.,4
nonrev,служебный пассажир,The **nonrev** traveler waited until all seats filled.,5
voucher,талон,The airline gave her a meal **voucher** for delays.,3
compensation,компенсация,Travelers demanded **compensation** after the long morning delay.,3
disruption,сбой,A weather **disruption** caused massive problems at gates.,4
holding,ожидание в воздухе,Our plane entered **holding** for twenty tense minutes.,4
stacking,ожидание кругами,Planes were **stacking** above the busy airfield.,5
vectoring,векторное наведение,Tower began **vectoring** our plane toward final approach.,5
touchndgo,касание и взлёт,Pilots practice **touchndgo** landings during their training flights.,5
logbook,бортжурнал,The captain signed the **logbook** after every segment.,4
manifest,манифест,The crew checked every name on the **manifest**.,4
callsign,позывной,Every plane uses a unique **callsign** with tower.,4
squawk,код ответчика,The jet set a new **squawk** code promptly.,5
transponder,транспондер,The **transponder** sends the plane's position to radar.,5
radar,радар,A giant **radar** spins above the tall tower.,3
tower,вышка,Our captain spoke to the control **tower** calmly.,3
ramp,перрон,Trucks drove carefully across the wet **ramp** area.,3
