wholesome,полезный,A **wholesome** breakfast keeps you full till noon.,3
nourish,питать,Fresh vegetables **nourish** your body every day.,3
nourishing,питательный,She cooked a **nourishing** soup for her family.,3
antioxidant,антиоксидант,Blueberries contain a powerful **antioxidant** compound.,4
superfood,суперфуд,Many people call kale a trendy **superfood**.,3
vegan,веган,My sister became a strict **vegan** last year.,2
vegetarian,вегетарианец,He is a **vegetarian** but still eats eggs.,2
crave,жаждать,Pregnant women often **crave** salty pickles at night.,3
craving,тяга,I had a sudden **craving** for dark chocolate.,3
overeat,переедать,Do not **overeat** at holiday dinner parties.,3
snacking,перекусы,Mindless **snacking** can ruin any weight-loss plan.,3
moderate,умеренный,Try to keep **moderate** portions at every meal.,3
moderation,умеренность,Everything tastes better in healthy **moderation**.,3
caffeine,кофеин,Too much **caffeine** can disrupt your night sleep.,3
decaf,декаф,She orders **decaf** coffee after six in evening.,3
hydration,гидратация,Proper **hydration** is essential during summer workouts.,3
dehydrated,обезвоженный,Hikers often become **dehydrated** under the hot sun.,4
dehydration,обезвоживание,Severe **dehydration** can cause serious headaches.,4
electrolyte,электролит,Sports drinks replace lost **electrolyte** minerals after exercise.,5
supplement,добавка,He takes a daily vitamin **supplement** each morning.,3
probiotic,пробиотик,Yogurt provides a natural **probiotic** boost for digestion.,4
prebiotic,пребиотик,Garlic is a great **prebiotic** food for gut health.,5
whey,сыворотка,Athletes often mix **whey** powder into their shakes.,4
refined,рафинированный,Avoid foods with **refined** sugar and white flour.,3
wellness,здоровье,Our gym offers a complete **wellness** program.,3
wellbeing,благополучие,Daily walks improve your mental **wellbeing** greatly.,3
thrive,процветать,People **thrive** when they sleep eight hours nightly.,3
stride,шаг,Her long **stride** helped her finish the marathon.,3
pace,темп,Keep a steady **pace** during your morning jog.,2
agility,ловкость,Ladder drills improve your footwork and **agility**.,4
mobility,подвижность,Daily stretching keeps your joint **mobility** high.,3
breathe,дышать,Remember to **breathe** deeply through your nose.,2
breathing,дыхание,Slow **breathing** helps calm your racing heart.,2
inhale,вдыхать,Slowly **inhale** through your nose for five seconds.,3
exhale,выдыхать,**Exhale** slowly through your mouth to relax.,3
rest,отдых,Your muscles need **rest** between heavy training sessions.,2
restful,спокойный,Soft music creates a **restful** bedroom atmosphere.,3
unwind,расслабиться,After work she likes to **unwind** with a book.,3
decompress,разрядиться,Weekend hikes help me **decompress** from office stress.,4
zen,дзен,His morning ritual creates a perfect **zen** mood.,3
tranquil,спокойный,The garden felt **tranquil** after the heavy rain.,3
serenity,безмятежность,She found **serenity** on the quiet mountain trail.,4
serene,безмятежный,A **serene** lake reflected the evening sky.,4
composure,самообладание,She kept her **composure** during the heated argument.,4
gratitude,благодарность,Daily **gratitude** journals boost mental health.,3
mindset,мышление,A positive **mindset** changes your whole life.,3
resilience,стойкость,Mental **resilience** grows through small daily challenges.,4
resilient,стойкий,Kids who play outside become more **resilient** adults.,4
mindfulness,осознанность,**Mindfulness** meditation reduces everyday anxiety levels.,4
refreshed,отдохнувший,I woke up **refreshed** after a long nap.,3
revitalized,обновлённый,She felt **revitalized** after her morning swim.,4
energized,заряженный,A balanced breakfast leaves you **energized** till lunch.,3
sluggish,вялый,Heavy dinners make me feel **sluggish** next morning.,3
groggy,сонный,I felt **groggy** after sleeping only four hours.,4
sedentary,сидячий,A **sedentary** office job can harm your back.,4
active,активный,Children need an **active** lifestyle every single day.,2
detox,детокс,She tried a weekend **detox** with green smoothies.,3
cleanse,очищение,Juice **cleanse** diets are very popular online.,3
fasting,голодание,Intermittent **fasting** helps some people lose weight.,4
withdrawal,ломка,Nicotine **withdrawal** lasts about two difficult weeks.,4
abstain,воздерживаться,Pregnant women should **abstain** from alcohol completely.,4
abstinence,воздержание,Complete **abstinence** is the safest path for addicts.,4
vice,порок,Smoking was his only serious **vice** in life.,3
urge,позыв,I fight the **urge** to check my phone constantly.,3
temptation,искушение,Keep sweets away to avoid evening **temptation**.,3
willpower,сила воли,Losing weight requires strong **willpower** every day.,3
grit,упорство,Pure **grit** helped him finish the marathon.,3
consistency,последовательность,**Consistency** beats intensity in any fitness plan.,3
screening,скрининг,Regular **screening** catches health problems early on.,4
immunity,иммунитет,Vitamin C may boost your natural **immunity**.,3
prevention,профилактика,**Prevention** is always cheaper than long treatment.,3
counseling,консультирование,Grief **counseling** helps people heal after loss.,4
therapy,терапия,Weekly **therapy** sessions changed his whole perspective.,3
massage,массаж,A deep **massage** eased her aching shoulders.,3
aromatherapy,ароматерапия,She uses lavender **aromatherapy** before bedtime.,4
tension,напряжение,Stretching releases the **tension** in your neck.,3
soreness,болезненность,Morning **soreness** usually fades after a short walk.,3
stiffness,скованность,Yoga reduces morning **stiffness** in older adults.,3
limber,гибкий,Dancers stay **limber** through daily stretching.,4
supple,гибкий,A **supple** spine protects you from injury.,4
upright,прямой,Sit in an **upright** position while working.,3
slouch,сутулиться,Try not to **slouch** while using your phone.,3
hunched,сгорбленный,His **hunched** shoulders showed years of office work.,4
inhaler,ингалятор,He keeps an **inhaler** handy for sudden attacks.,3
journaling,дневник,Daily **journaling** helps process difficult emotions.,4
affirmation,аффирмация,She repeats a morning **affirmation** before breakfast.,4
