lava,лава,Hot **lava** flowed slowly down the mountainside.,3
magma,магма,Deep underground the **magma** stays extremely hot.,3
volcano,вулкан,The ancient **volcano** erupted last summer.,2
earthquake,землетрясение,A strong **earthquake** shook the entire city.,2
crater,кратер,The meteor left a huge **crater** behind.,3
geyser,гейзер,A steaming **geyser** sprayed water into the sky.,4
fossil,окаменелость,Scientists found a dinosaur **fossil** in the cliff.,3
sediment,осадок,Thick **sediment** settled at the bottom of the lake.,3
erosion,эрозия,Soil **erosion** happens quickly on bare hillsides.,3
alloy,сплав,Bronze is an **alloy** of copper and tin.,4
bacteria,бактерии,Harmful **bacteria** can grow in warm water.,3
enzyme,фермент,An **enzyme** helps break down food in the stomach.,4
gene,ген,Each **gene** carries specific biological information.,4
dna,днк,Human **dna** contains billions of tiny instructions.,4
chromosome,хромосома,Each **chromosome** holds many important genes.,5
membrane,мембрана,The cell **membrane** controls what enters the cell.,4
tissue,ткань,Muscle **tissue** is made of long thin fibers.,3
fungus,гриб,A strange **fungus** was growing on the log.,3
algae,водоросли,Green **algae** covered the surface of the pond.,3
plankton,планктон,Tiny **plankton** float near the ocean surface.,4
larva,личинка,A young **larva** hatches from the tiny egg.,4
microbe,микроб,This tiny **microbe** can only be seen under glass.,4
mold,плесень,Green **mold** was growing on the old bread.,3
spore,спора,A single **spore** can grow into a new fungus.,4
mammal,млекопитающее,A whale is a large ocean **mammal**.,3
reptile,рептилия,A snake is a cold-blooded **reptile**.,3
amphibian,земноводное,A frog is a common **amphibian** near ponds.,4
insect,насекомое,The beetle is a hard-shelled **insect**.,2
vertebrate,позвоночное,A dog is a four-legged **vertebrate**.,4
invertebrate,беспозвоночное,A worm is a soft **invertebrate** without bones.,5
herbivore,травоядное,A rabbit is a small gentle **herbivore**.,4
carnivore,хищник,The tiger is a powerful **carnivore**.,3
omnivore,всеядное,A bear is an **omnivore** that eats almost anything.,4
parasite,паразит,A tick is a blood-sucking **parasite**.,4
photosynthesis,фотосинтез,Green plants make food through **photosynthesis**.,5
chlorophyll,хлорофилл,The **chlorophyll** gives leaves their green color.,5
respiration,дыхание,Cellular **respiration** releases energy from food.,4
fermentation,брожение,Yeast causes the **fermentation** of sugar into alcohol.,5
