warranty,гарантия на товар,The **warranty** covers repairs for two full years after purchase.,3,shopping
refurbished,восстановленный,He saved money by buying a **refurbished** laptop instead of a new one.,3,shopping
complaint,жалоба,She filed a **complaint** after the shoes fell apart in a week.,3,shopping
feedback,отзыв,Leave honest **feedback** so other shoppers know what to expect.,3,shopping
assistance,помощь,A store associate offered **assistance** finding the right size.,3,shopping
appliance,бытовой прибор,The kitchen **appliance** aisle was packed with blenders and toasters.,3,shopping
gadget,гаджет,Dad bought another **gadget** he will probably never use.,3,shopping
accessory,аксессуар,She picked up a small **accessory** to complete her outfit.,3,shopping
garment,предмет одежды,Every **garment** in the sale section was reduced by forty percent.,4,shopping
footwear,обувь,The sports section offers a wide range of **footwear** for all activities.,3,shopping
fragrance,парфюм,She tested three perfumes before choosing her favourite **fragrance**.,3,shopping
cosmetics,косметика,The beauty counter sells skincare products and **cosmetics** side by side.,3,shopping
jewelry,ювелирные украшения,The **jewelry** display near the entrance caught everyone's eye.,2,shopping
electronics,электроника,Black Friday is the best time to buy **electronics** at lower prices.,2,shopping
stationery,канцтовары,I stopped at the **stationery** section to grab some notebooks and pens.,3,shopping
impulse,импульсивная покупка,Those chocolate bars near the register are designed to trigger an **impulse** buy.,4,shopping
overspend,тратить слишком много,It is easy to **overspend** when everything is on sale.,3,shopping
flyer,рекламная листовка,A **flyer** in the mailbox announced a half-price weekend at the garden centre.,3,shopping
catalog,каталог,She browsed the furniture **catalog** before visiting the store.,3,shopping
advertisement,реклама,The **advertisement** promised free shipping on orders over fifty dollars.,3,shopping
promo,акция,"Use this **promo** code at checkout to get fifteen percent off.",3,shopping
purchase,покупка,Keep your receipt as proof of **purchase** in case you need a refund.,2,shopping
buyer,покупатель,The first **buyer** to arrive got the last discounted television.,3,shopping
resale,перепродажа,She listed the dress on a **resale** app and sold it within hours.,4,shopping
bespoke,сделанный на заказ,He ordered a **bespoke** suit that was tailored to his exact measurements.,5,shopping
handmade,ручной работы,Each **handmade** candle in the shop smells slightly different.,3,shopping
custom,изготовленный на заказ,You can order a **custom** phone case with your own photo on it.,3,shopping
genuine,подлинный,The seller confirmed the handbag was **genuine** and came with papers.,3,shopping
tag,ценник,She flipped the **tag** over and nearly dropped the jacket in shock.,2,shopping
inventory,ассортимент,Staff ran a full **inventory** check before the new season started.,4,shopping
layby,резервирование товара,She put the pram on **layby** and paid it off over three months.,4,shopping
stockroom,подсобное помещение,The assistant disappeared into the **stockroom** to find a smaller size.,3,shopping
conveyor,конвейерная лента,Place your items on the **conveyor** belt so the cashier can scan them.,3,shopping
shopfront,витрина магазина,The freshly painted **shopfront** attracted new customers off the street.,4,shopping
shopkeeper,владелец магазина,The friendly **shopkeeper** offered a free sample with every purchase.,3,shopping
shoplifting,кража в магазине,Security cameras are installed to deter **shoplifting** throughout the store.,3,shopping
theft,кража,The store installed new alarms after a series of **theft** incidents.,3,shopping
catalogue,каталог,The printed **catalogue** arrived in the post before the sale began.,3,shopping
