teller,кассир,The **teller** greeted me with a warm smile.,3
debit,дебет,I paid with my **debit** card at lunch.,2
chip,чип,The **chip** on my card stopped working suddenly.,3
expiration,срок,Check the **expiration** date on your debit card.,3
prepaid,предоплаченный,She bought a **prepaid** card for travel.,3
cosigner,поручитель,His father became a **cosigner** on the loan.,4
collateralize,обеспечить,They had to **collateralize** the business loan.,5
default,дефолт,The borrower went into **default** last month.,4
delinquent,просроченный,Her account became **delinquent** after missed payments.,5
foreclose,лишить,The bank may **foreclose** on the house soon.,5
foreclosure,лишение,The **foreclosure** process took almost a year.,5
repossess,изымать,They will **repossess** the car if payments stop.,5
repossession,изъятие,The **repossession** left him without transportation.,5
refinance,рефинансировать,He decided to **refinance** the home loan.,4
underwriter,андеррайтер,The **underwriter** reviewed all the documents today.,5
underwriting,андеррайтинг,**Underwriting** took longer than they expected.,5
borrower,заемщик,The **borrower** missed three monthly payments already.,3
lender,кредитор,The **lender** approved her application quickly.,3
disburse,выплатить,The bank will **disburse** the funds tomorrow.,4
disbursement,выплата,The loan **disbursement** arrived in her account.,4
maturity,срок,The **maturity** date on the bond is soon.,4
treasury,казначейский,He bought a **treasury** bond last week.,4
portfolio,портфель,Her investment **portfolio** grew ten percent this year.,3
holdings,активы,His stock **holdings** include several tech firms.,4
brokerage,брокерский,She opened a **brokerage** account last month.,3
broker,брокер,Her stock **broker** recommended a new fund.,3
annuity,рента,The **annuity** pays him monthly for life.,4
endowment,фонд,The university **endowment** grew significantly this year.,4
trustee,попечитель,The **trustee** manages the family money carefully.,4
amortization,амортизация,The **amortization** schedule shows every payment clearly.,5
leverage,кредитное плечо,He used **leverage** to buy more stocks.,5
margin,маржа,She traded stocks on **margin** last year.,4
derivative,производный,A **derivative** gets its value from another asset.,5
futures,фьючерс,He trades **futures** contracts on commodities.,5
commodity,товар,Gold is a popular **commodity** among investors.,4
speculator,спекулянт,A **speculator** takes big risks for big rewards.,4
speculate,спекулировать,They **speculate** on foreign currency movements.,4
devalue,обесценивать,A deep recession can **devalue** national currency.,4
depreciation,амортизация,Car **depreciation** hits hardest in the first year.,4
solvency,платежеспособность,The bank's **solvency** was questioned by regulators.,5
insolvency,неплатежеспособность,The firm faced **insolvency** after huge losses.,5
creditor,кредитор,Each **creditor** wanted their money back immediately.,3
debtor,должник,The **debtor** asked for more time.,3
garnishment,удержание,The wage **garnishment** started last month.,5
liability,обязательство,Every business has assets and **liability** on its books.,4
receivable,дебиторский,The **receivable** account totaled fifty thousand dollars.,5
payable,кредиторский,Her account **payable** is due by Friday.,5
passbook,сберкнижка,The **passbook** showed all her recent deposits.,4
chargeback,возврат платежа,The **chargeback** took two weeks to process.,4
dispute,оспорить,You can **dispute** a charge easily now.,3
skim,скиммировать,Criminals **skim** card data from gas pumps.,4
identity,личность,**Identity** theft can ruin your credit history.,3
authentication,аутентификация,Two-factor **authentication** protects your online banking.,4
verification,проверка,The system needs **verification** before any transfer.,3
ownership,собственность,Joint **ownership** means both parties share rights.,4
cosign,поручаться,She agreed to **cosign** his car loan.,4
endorse,индоссировать,Please **endorse** the check on the back.,3
endorsement,индоссамент,The check needs your **endorsement** to cash.,4
cashless,безналичный,Many cafes now operate a **cashless** system.,3
unbanked,не имеющий счета,Millions of people remain **unbanked** worldwide.,4
microfinance,микрофинансы,**Microfinance** helps small businesses in poor areas.,4
crowdfunding,краудфандинг,They raised money through **crowdfunding** last year.,4
crowdfund,краудфандить,Artists often **crowdfund** their next album online.,4
subsidy,субсидия,The government offers a **subsidy** for first-time buyers.,4
subsidize,субсидировать,The state will **subsidize** student housing costs.,4
bailout,финансовая помощь,The bank needed a government **bailout** after the crash.,4
depositor,вкладчик,Every **depositor** is insured up to a limit.,4
fiscal,бюджетный,The **fiscal** year ends in December.,4
monetary,монетарный,Central banks control **monetary** policy carefully.,4
liquidate,ликвидировать,They had to **liquidate** assets to pay debts.,4
payee,получатель,The **payee** name must match exactly.,4
payer,плательщик,The **payer** sent the funds this morning.,4
remit,перевести,Please **remit** payment by the due date.,4
remittance,перевод,The **remittance** from abroad arrived yesterday.,4
notary,нотариус,A **notary** must witness your signature today.,4
notarize,нотариально заверить,You need to **notarize** the loan documents.,5
surety,поручительство,He provided **surety** for his brother's debt.,5
forex,форекс,She trades **forex** markets every single morning.,4
fintech,финтех,A new **fintech** startup raised millions recently.,4
clearing,клиринг,The **clearing** process takes a business day.,4
clearinghouse,клиринговая палата,The **clearinghouse** handles all interbank settlements daily.,5
custodian,хранитель,The **custodian** holds your stocks for safekeeping.,4
dormant,неактивный,Her **dormant** account was closed last year.,4
routing,маршрутизация,The **routing** number identifies your specific bank.,4
denomination,номинал,Which **denomination** of bills do you need?,4
banknote,банкнота,This old **banknote** is no longer valid.,3
recurring,регулярный,She set up a **recurring** transfer each Friday.,3
settle,урегулировать,The two parties will **settle** the debt quietly.,3
settlement,урегулирование,The **settlement** was paid within ten days.,4
volatility,волатильность,Market **volatility** scared many new investors away.,5
volatile,волатильный,The stock became very **volatile** after the news.,4
bearish,медвежий,Analysts turned **bearish** on tech stocks recently.,5
bullish,бычий,Investors feel **bullish** about the economy again.,5
merchant,торговец,The **merchant** accepts all major credit cards.,3
deficit,дефицит,The country has a huge trade **deficit**.,4
surplus,профицит,The budget **surplus** allowed new public spending.,4
cartel,картель,A **cartel** controls most of the oil market.,4
monopoly,монополия,That firm holds a **monopoly** over regional markets.,4
frugal,экономный,He lives a very **frugal** lifestyle these days.,4
treasurer,казначей,The **treasurer** manages all club finances carefully.,4
