leaves,листья,The tree **leaves** turn red in autumn.,2,nature
restaurant,ресторан,We had dinner at a nice **restaurant** last night.,1,restaurant
east,восток,The sun rises in the **east** every morning.,2,basic
shouting,кричащий,Stop **shouting** at me right now.,2,basic
blind,слепой,My grandfather is completely **blind** in one eye.,2,health
ghost,призрак,She believes a **ghost** lives in the attic.,2,basic
gotten,получил,I've **gotten** much better at cooking lately.,2,basic
conversation,разговор,"We had a long **conversation** about the future.",2,basic
tells,рассказывает,He always **tells** the funniest jokes at parties.,1,basic
lies,ложь,I can't stand when someone **lies** to me.,2,basic
nor,ни,She doesn't drink coffee **nor** tea.,3,basic
pulled,потянул,He **pulled** the rope with all his strength.,2,basic
hanging,висящий,Your coat is **hanging** on the hook.,2,home
stories,истории,Grandma tells the best bedtime **stories**.,1,basic
health,здоровье,Regular exercise is good for your **health**.,2,health
advice,совет,"Thanks for the **advice**, it really helped me.",2,basic
held,держал,She **held** the baby gently in her arms.,2,basic
murdered,убитый,The detective found out who **murdered** the victim.,3,basic
beyond,за пределами,The mountains stretched far **beyond** the horizon.,3,basic
hardly,едва,I can **hardly** believe what just happened.,3,basic
possibly,возможно,This is **possibly** the best pizza ever.,2,basic
inspector,инспектор,The **inspector** asked us several questions.,3,basic
trial,суд,The **trial** will begin next Monday morning.,3,basic
emergency,чрезвычайная ситуация,Call 911 in case of an **emergency**.,2,doctor
somehow,как-то,"**Somehow**, we managed to finish on time.",3,basic
states,штаты,She has visited twenty different **states** this year.,2,basic
spoke,говорил,He **spoke** to the manager about the problem.,2,basic
understood,понял,I finally **understood** what she was saying.,2,basic
angel,ангел,You're such an **angel** for helping me.,2,basic
powerful,мощный,This engine is incredibly **powerful** and fast.,2,basic
weapons,оружие,The soldiers carried heavy **weapons** into battle.,3,basic
practice,практика,You need more **practice** to play well.,2,sports
national,национальный,The **national** anthem plays before every game.,2,basic
career,карьера,She's building a successful **career** in medicine.,2,work
super,супер,That movie was **super** exciting from start to finish.,1,basic
taught,учил,My mother **taught** me how to swim.,2,basic
biggest,самый большой,This is the **biggest** cake I've ever seen.,1,basic
plays,играет,My son **plays** soccer every weekend.,1,sports
dancing,танцующий,We spent all night **dancing** at the wedding.,1,party
plus,плюс,"Two **plus** two equals four, everyone knows that.",1,basic
among,среди,She was the tallest **among** her friends.,2,basic
operation,операция,The **operation** went smoothly and lasted two hours.,3,doctor
challenge,вызов,Learning a new language is a real **challenge**.,2,basic
meat,мясо,I don't eat **meat** but I love fish.,1,kitchen
towards,к,He walked **towards** the exit without looking back.,2,basic
bringing,приносящий,Thanks for **bringing** snacks to the party.,2,basic
dropped,уронил,She accidentally **dropped** her phone in the pool.,2,basic
lied,солгал,He **lied** about his age on the application.,2,basic
monster,монстр,My little brother is scared of the **monster** under his bed.,1,basic
nearly,почти,I **nearly** missed my flight this morning.,2,basic
greatest,величайший,He's the **greatest** player of his generation.,2,basic
games,игры,We played board **games** all evening together.,1,leisure
dressed,одетый,She got **dressed** quickly and ran outside.,2,basic
arrested,арестованный,The thief was **arrested** at the train station.,3,basic
horrible,ужасный,The weather was absolutely **horrible** yesterday.,2,basic
planning,планирование,We are **planning** a trip to Italy.,2,basic
breaking,ломающий,Stop **breaking** my favorite coffee mugs.,2,basic
noticed,заметил,Have you **noticed** anything strange about him lately?,2,basic
fantastic,фантастический,The concert last night was absolutely **fantastic**.,2,basic
screams,кричит,The baby **screams** whenever she's hungry.,2,basic
ideas,идеи,I have some great **ideas** for the party.,1,basic
investigation,расследование,The police started an **investigation** yesterday morning.,3,basic
center,центр,The meeting will be at the city **center**.,2,basic
older,старше,My sister is two years **older** than me.,1,family
soldiers,солдаты,The **soldiers** marched through the small village.,3,basic
nonsense,чепуха,Stop talking **nonsense** and be serious now.,3,basic
example,пример,Can you give me an **example** of what you mean?,2,basic
trick,трюк,He showed me a cool card **trick** yesterday.,2,basic
prepared,подготовленный,Are you **prepared** for the big exam tomorrow?,2,basic
science,наука,She loves **science** and dreams of becoming a doctor.,2,science
united,объединённый,The team was **united** after their big win.,3,basic
travel,путешествовать,I love to **travel** during the summer months.,2,basic
incredible,невероятный,The view from the mountain was **incredible**.,2,basic
grandpa,дедушка,My **grandpa** taught me how to fish.,1,family
paying,платящий,He's **paying** for dinner at the restaurant tonight.,2,basic
character,характер,She has a very strong **character** indeed.,2,basic
teeth,зубы,Brush your **teeth** before going to bed.,1,health
criminal,преступник,The **criminal** was caught by the police.,3,basic
chinese,китайский,I love eating **Chinese** food on weekends.,2,basic
truly,действительно,I **truly** believe you can do this.,2,basic
honestly,честно,"**Honestly**, I don't know what to say.",2,basic
bro,братан,"Hey **bro**, want to grab some pizza?",1,basic
survive,выживать,We need water and food to **survive**.,3,basic
target,цель,His next **target** is to run a marathon.,2,basic
records,записи,The company keeps detailed **records** of every transaction.,3,work
sweetie,дорогая,"**Sweetie**, can you help me with this?",1,basic
numbers,числа,Write down these phone **numbers** for me.,1,basic
suicide,самоубийство,The hotline helps prevent **suicide** among young people.,4,health
belong,принадлежать,These books **belong** to my little sister.,2,basic
perfectly,идеально,The dress fits her **perfectly** well.,2,basic
