english,russian,sentence,difficulty
hospital,больница,She works at the **hospital** downtown.,1,health
clinic,клиника,The **clinic** opens at eight.,2,health
ward,палата,The **ward** was quiet at night.,3,health
pharmacy,аптека,I bought pills at the **pharmacy**.,2,health
lab,лаборатория,The **lab** tested my samples quickly.,2,science
surgeon,хирург,The **surgeon** performed a long operation.,3,health
dentist,стоматолог,My **dentist** checked my teeth today.,2,health
pharmacist,фармацевт,The **pharmacist** explained the dose clearly.,3,health
physician,врач,Her **physician** ordered more tests.,3,health
paramedic,парамедик,The **paramedic** arrived within minutes.,3,health
midwife,акушерка,The **midwife** delivered a healthy baby.,3,health
specialist,специалист,A **specialist** reviewed her case.,2,work
patient,пациент,The **patient** is resting now.,2,health
patient,терпеливый,Please be **patient** with her.,2
eye,глаз,My left **eye** hurts today.,1,health
ear,ухо,Water got into my **ear**.,1,health
nose,нос,Her **nose** is running badly.,1,health
mouth,рот,Open your **mouth** wide please.,1,health
tooth,зуб,My **tooth** really aches tonight.,1,health
tongue,язык,Stick out your **tongue** please.,2,health
throat,горло,My **throat** feels very sore.,2,health
shoulder,плечо,My **shoulder** hurts after work.,2,health
shoulder,обочина,He stopped on the road **shoulder**.,3,driving
elbow,локоть,I hit my **elbow** hard.,2,health
wrist,запястье,She sprained her **wrist** yesterday.,3,health
finger,палец,I cut my **finger** badly.,1,health
thumb,большой палец,My **thumb** is swollen today.,2,health
chest,грудь,He felt pain in his **chest**.,2,health
chest,сундук,Grandma keeps jewelry in a **chest**.,3,home
hip,бедро,Her **hip** hurts when walking.,2,health
knee,колено,I hurt my **knee** running.,1,health|sports
ankle,лодыжка,She twisted her **ankle** dancing.,3,health
toe,палец ноги,I broke my little **toe**.,2,health
skin,кожа,His **skin** is very dry.,1,health
bone,кость,The **bone** healed quickly.,2,health
muscle,мышца,My **muscle** is very sore.,2,health|sports
blood,кровь,There was **blood** on his shirt.,1,health
heart,сердце,His **heart** beats too fast.,1,health
heart,суть,Let's get to the **heart** of it.,4
lung,лёгкое,The left **lung** looks clear.,3,health
liver,печень,Alcohol damages the **liver** badly.,3,health
kidney,почка,Her **kidney** works normally again.,3,health
brain,мозг,The **brain** controls every move.,2,health|science
stomach,желудок,My **stomach** hurts after eating.,2,health
nerve,нерв,He pinched a **nerve** today.,3,health
nerve,смелость,She had the **nerve** to lie.,4
joint,сустав,My knee **joint** is stiff.,3,health
joint,совместный,It was a **joint** project.,3,work
vein,вена,The nurse found a good **vein**.,3,health
organ,орган,The heart is a vital **organ**.,2,health
pain,боль,The **pain** got worse overnight.,1,health
ache,ноющая боль,I have a constant **ache** here.,2,health
fever,жар,The child has a high **fever**.,2,health
cough,кашель,Her **cough** sounds very bad.,2,health
dizzy,головокружение,I feel **dizzy** when standing.,2,health
weak,слабый,She felt **weak** after surgery.,1,health
sore,больной,My legs are **sore** today.,2,health
swollen,опухший,His ankle is badly **swollen**.,3,health
itchy,зудящий,The rash is very **itchy**.,3,health
numb,онемевший,My hand went completely **numb**.,3,health
nausea,тошнота,Strong **nausea** hit her suddenly.,4,health
faint,падать в обморок,She might **faint** from heat.,3,health
bruise,синяк,A big **bruise** formed on his leg.,3,health
scratch,царапина,It's just a small **scratch**.,2,health
rash,сыпь,A red **rash** covered his arms.,3,health
lump,шишка,She found a **lump** on her neck.,3,health
blister,волдырь,A **blister** formed on his heel.,3,health
cramp,судорога,Leg **cramp** woke me up.,3,health
flu,грипп,The **flu** hit our office hard.,2,health
allergy,аллергия,She has a cat **allergy**.,2,health
infection,инфекция,The **infection** spread quickly.,3,health
virus,вирус,A new **virus** appeared last winter.,2,health
headache,головная боль,A bad **headache** ruined my day.,2,health
migraine,мигрень,Her **migraine** lasted all night.,4,health
asthma,астма,He carries **asthma** medicine always.,3,health
diabetes,диабет,Her **diabetes** is well controlled.,3,health
cancer,рак,They cured his **cancer** early.,2,health
fracture,перелом,She has a hairline **fracture**.,3,health
sprain,растяжение,The **sprain** will heal soon.,3,health|sports
burn,ожог,The **burn** left a small scar.,2,health
burn,гореть,Wood can **burn** very fast.,1
wound,рана,The **wound** needs fresh bandages.,3,health
injury,травма,His **injury** took months to heal.,2,health|sports
illness,болезнь,Her **illness** came without warning.,2,health
disease,заболевание,The **disease** spreads through water.,2,health
pill,таблетка,Take one **pill** after meals.,2,health
capsule,капсула,Swallow the **capsule** with water.,3,health
tablet,таблетка,One **tablet** twice a day.,2,health
tablet,планшет,He reads news on his **tablet**.,2,internet
syrup,сироп,Cough **syrup** helped my throat.,2,health
cream,крем,Apply this **cream** twice daily.,1,health
cream,сливки,Add **cream** to your coffee.,1,kitchen
ointment,мазь,Rub the **ointment** on gently.,3,health
bandage,бинт,Wrap the **bandage** around tightly.,3,health
plaster,пластырь,Put a **plaster** on the cut.,3,health
cast,гипс,The doctor put a **cast** on his arm.,3,health
cast,бросать,He can **cast** a stone far.,3
crutch,костыль,She uses a **crutch** to walk.,4,health
wheelchair,инвалидная коляска,He moves by **wheelchair** now.,2,health
vaccine,вакцина,The new **vaccine** works well.,2,health
stethoscope,стетоскоп,The doctor pressed a cold **stethoscope** to my chest.,2
scalpel,скальпель,The surgeon held the **scalpel** above the patient.,3
forceps,щипцы,The nurse passed sterile **forceps** to the surgeon.,4
tourniquet,жгут,He tied a **tourniquet** above the bleeding arm.,3
speculum,зеркало,The gynecologist prepared a warm **speculum** for the exam.,5
otoscope,отоскоп,She used an **otoscope** to check his ears.,4
swab,мазок,The nurse took a throat **swab** for testing.,3,health
syringe,шприц,The nurse filled the **syringe** with clear liquid.,2,health
gurney,каталка,They wheeled him in on a **gurney**.,4
splint,шина,The paramedic wrapped a **splint** around my leg.,3,health
sling,повязка,He wore an arm **sling** for three weeks.,2,health
bedside,у кровати,The doctor stood at my **bedside** all night.,3
wristband,браслет,The patient wore a plastic **wristband** with her name.,3
suture,шов,She removed the tight **suture** with tiny scissors.,4
stitch,стежок,The doctor put one neat **stitch** in my chin.,2,health
stitches,швы,I need five **stitches** on my forehead today.,2,health
scar,шрам,A thin **scar** remains above his eyebrow.,2,health
scab,корочка,Don't pick the **scab** on your knee.,3,health
biopsy,биопсия,The specialist ordered a **biopsy** of the lump.,4,health
mammogram,маммограмма,Women over forty need a yearly **mammogram**.,5,health
endoscopy,эндоскопия,The **endoscopy** took less than twenty minutes.,5,health
colonoscopy,колоноскопия,My father scheduled his first **colonoscopy** last month.,5,health
ultrasound,ультразвук,The **ultrasound** showed a healthy baby girl.,2,health
mri,мрт,She needs an **mri** of her knee soon.,3,health
ekg,экг,The technician attached wires for an **ekg**.,4,health
bloodwork,анализы,The doctor ordered routine **bloodwork** this morning.,4,health
xray,рентген,The **xray** showed no broken bones.,2,health
checkup,осмотр,I go for a yearly **checkup** every spring.,2,health
appointment,приём,I have an **appointment** with my doctor tomorrow.,2,health
referral,направление,The doctor wrote a **referral** to a specialist.,3,health
prescription,рецепт,She filled her **prescription** at the corner pharmacy.,2,health
copay,доплата,My **copay** for each visit is thirty dollars.,4,health
deductible,франшиза,I must pay the **deductible** before insurance helps.,5
claim,страховка,She filed an insurance **claim** after the surgery.,3
chart,карта,The doctor wrote notes in my **chart**.,2,health
admission,поступление,Her **admission** to the hospital was on Tuesday.,4,health
discharge,выписка,My **discharge** from the hospital was delayed.,3,health
followup,повторный,The doctor scheduled a **followup** in two weeks.,3,health
triage,сортировка,The **triage** nurse asked about my pain level.,4,health
icu,реанимация,Grandfather spent three days in the **icu**.,3,health
operating room,операционная,The patient was wheeled into the **operating room**.,3,health
recovery room,палата восстановления,She woke up in the **recovery room** slowly.,3,health
exam room,кабинет,The nurse showed me to the **exam room**.,2,health
waiting room,приёмная,The **waiting room** was crowded with sick children.,2,health
surgery,операция,Her heart **surgery** lasted over six hours.,2,health
anesthesia,анестезия,They gave me general **anesthesia** before surgery.,3,health
anesthetic,анестетик,The dentist injected a local **anesthetic** slowly.,4,health
sedative,успокоительное,The nurse gave him a mild **sedative** first.,4,health
painkiller,обезболивающее,Take one **painkiller** every six hours please.,2,health
antibiotic,антибиотик,The doctor prescribed an **antibiotic** for my infection.,2,health
antiseptic,антисептик,She cleaned the cut with **antiseptic** liquid.,3,health
gauze,марля,The nurse wrapped my wound in clean **gauze**.,3,health
dosage,дозировка,Follow the **dosage** instructions on the bottle.,3,health
dose,доза,Take one **dose** twice a day.,2,health
refill,рецепт,I need a **refill** on my medication today.,3,health
orthopedist,ортопед,The **orthopedist** examined the child's crooked spine carefully.,4,health
scrubs,костюм,The doctors wore blue **scrubs** during rounds.,3
rounds,обход,The attending physician made her morning **rounds** quickly.,4,health
symptom,симптом,A high fever is a common **symptom**.,2,health
hives,крапивница,Strawberries give me itchy **hives** every time.,3,health
itch,зуд,The mosquito bite caused a terrible **itch**.,2,health
swelling,опухоль,The **swelling** around his ankle looked concerning.,2,health
bleed,кровотечение,The cut continued to **bleed** for minutes.,2,health
clot,сгусток,A blood **clot** in his leg caused pain.,4,health
pulse,пульс,The nurse checked his **pulse** every hour.,2,health
heartbeat,сердцебиение,She listened to the baby's **heartbeat** carefully.,2,health
wheeze,хрип,The child began to **wheeze** during the night.,4,health
choke,задыхаться,The old man started to **choke** on water.,3,health
vomit,рвать,The sick child began to **vomit** suddenly.,3,health
seizure,припадок,He had a brief **seizure** after the fall.,4,health
concussion,сотрясение,The football player suffered a mild **concussion**.,4,health|sports
shot,укол,The child cried after getting a **shot**.,2,health
trauma,травма,The emergency team treated his head **trauma** quickly.,3,health
relapse,рецидив,She had a painful **relapse** after treatment.,4,health
