english,russian,sentence,difficulty
fuck,блядь,"Oh, **fuck**, I locked myself out again.",1
fuck,трахаться,All they do is fight and **fuck**.,2
fucking,ёбаный,This **fucking** traffic makes me insane.,2
fuck up,накосячить,He really **fucked up** the presentation.,2
fucked up,ёбнутый,That whole situation was completely **fucked up**.,2
shit,дерьмо,"Oh **shit**, I missed the last bus.",1
shit,говно,This food tastes like **shit**.,1
shitty,дерьмовый,We had a really **shitty** weekend.,2
bullshit,хуйня,That is complete **bullshit** and you know it.,2
bullshit,пиздёж,Stop the **bullshit** and just tell me the truth.,2
asshole,мудак,That driver is such an **asshole**.,2
ass,жопа,"Get your **ass** in gear, we are late.",1
dumbass,тупица,"He crashed his car, what a **dumbass**.",2
bitch,сука,She called him a lying **bitch** in front of everyone.,1
son of a bitch,сукин сын,That **son of a bitch** stole my parking spot.,2
bastard,ублюдок,That cold-hearted **bastard** fired him on Christmas.,2
bastard,сволочь,I trusted that **bastard** with everything I had.,2
crap,дерьмо,"This is utter **crap**, just throw it away.",1
crap,хрень,Stop buying this cheap **crap** online.,1
damn,чёрт,"Oh **damn**, I forgot to call her back.",1
damn,проклятый,That **damn** dog barks all night long.,1
hell,чёрт возьми,What the **hell** is going on here?,1
hell,ад,Working here is **hell** on earth.,1
jerk,придурок,Do not be such a **jerk** about it.,1
jerk,козёл,My ex turned out to be a complete **jerk**.,1
dick,хуй,He is acting like a total **dick** to everyone.,1
dickhead,мудак,Some **dickhead** cut in front of the whole queue.,2
motherfucker,ёбаный ублюдок,"Get out of my way, **motherfucker**.",3
piss off,пошёл нахуй,**Piss off** and leave me alone already.,2
pissed off,бесит,I am totally **pissed off** right now.,2
loser,неудачник,You will be a **loser** your whole life if you keep this up.,1
creep,урод,"That guy is a total **creep**, stay away from him.",2
freak,псих,"He is a complete **freak**, do not invite him.",2
pussy,трус,"Do not be such a **pussy**, just jump already.",2
motherfucking,ёбаный,Open the **motherfucking** door right now.,2
fucker,ублюдок,That lucky **fucker** won again.,2
what the fuck,какого хуя,What the **fuck** are you doing here?,1
as fuck,пиздец как,This pizza is good as **fuck**.,2
fuck off,отъебись,Just **fuck** off and leave me alone.,1
fuck yeah,охуенно,We won the game **fuck** yeah!,2
fuck it,да и хуй с ним,**Fuck** it I am going home.,2
holy shit,охуеть,Holy **shit** look at that car!,1
no shit,да ладно,No **shit** really? I had no idea.,2
piece of shit,кусок говна,This phone is a piece of **shit**.,2
jackass,осёл,Do not be such a **jackass**.,2
badass,крутой,She rides a **badass** motorcycle.,1
kick ass,надрать задницу,Our team will kick **ass** tonight.,2
pain in the ass,заноза в заднице,My little brother is a pain in the **ass**.,2
idiot,идиот,I felt like an **idiot** after my mistake.,1
douche,мудак,Why are you dating that **douche**?,2
douchebag,козлина,He is the biggest **douchebag** at the office.,2
darn,блин,**Darn** it I missed the bus.,1
heck,блин,What the **heck** is going on here?,1
shoot,блин,**Shoot** I left my keys at home.,1
freaking,чёртов,This is so **freaking** annoying right now.,1
friggin,грёбаный,That was a **friggin** amazing show.,2
goddamn,чёртов,Where is my **goddamn** wallet?,1
what the hell,какого чёрта,What the **hell** happened to your car?,1
goddammit,чёрт побери,**Goddammit** I broke another glass.,2
jesus christ,господи боже,Jesus **christ** you scared me to death.,1
christ,господи,Oh **christ** not this again.,1
for fuck's sake,твою ж мать,For **fuck's** sake just listen to me.,2
simp,подкаблучник,Do not be a **simp** for her.,2
karen,скандалистка,Some **karen** yelled at the waiter again.,2
clown,клоун,You are such a **clown** bro.,1
boomer,бумер,OK **boomer** nobody asked you.,2
weirdo,чудик,Some **weirdo** was staring at me.,2
slut,шлюха,Do not call her a **slut**.,2
hoe,шлюха,He called his ex a **hoe** online.,2
