crossword,кроссворд,She solved the **crossword** in ten minutes.,2
sudoku,судоку,He plays **sudoku** every morning with coffee.,2
jigsaw,пазл,They finished the **jigsaw** after three weeks.,2
chess,шахматы,My grandfather taught me how to play **chess**.,2
checkers,шашки,We played **checkers** on the porch all evening.,2
knitting,вязание,Her **knitting** hobby keeps her fingers busy.,2
crocheting,вязание крючком,She enjoys **crocheting** warm blankets for friends.,3
embroidery,вышивка,The **embroidery** on this pillow looks gorgeous.,3
sewing,шитьё,My mother loves **sewing** in her spare time.,2
quilting,стёганое дело,**Quilting** is her favorite weekend activity.,3
pottery,гончарное дело,He makes bowls at his local **pottery** studio.,3
woodworking,столярное дело,**Woodworking** requires patience and sharp tools.,3
whittling,резьба по дереву,The old man sat **whittling** a small figure.,4
scrapbooking,скрапбукинг,**Scrapbooking** helps her preserve precious memories.,4
macrame,макраме,She hangs **macrame** plant holders around the house.,4
bead,бусина,Each **bead** in the necklace tells a story.,2
loom,ткацкий станок,The **loom** creaked as she wove the fabric.,3
yarn,пряжа,She bought soft blue **yarn** for the sweater.,2
needlework,рукоделие,Her **needlework** is displayed on every wall.,3
thimble,напёрсток,She wears a silver **thimble** while sewing.,3
spool,катушка,The **spool** of thread rolled across the floor.,3
patchwork,лоскутное шитьё,Grandma made a beautiful **patchwork** blanket.,3
tatting,фриволите,**Tatting** produces delicate lace through knotted threads.,5
tapestry,гобелен,A medieval **tapestry** hung above the fireplace.,3
whitework,белая вышивка,**Whitework** requires excellent lighting and patience.,5
enamel,эмаль,The **enamel** pin collection covers his whole jacket.,3
ceramics,керамика,She studies **ceramics** at the community art center.,3
kiln,печь для обжига,The **kiln** fires ceramics at high temperatures.,4
glaze,глазурь,He painted a blue **glaze** on the mug.,3
figurine,фигурка,Each **figurine** on the shelf was handmade.,3
trinket,безделушка,She keeps every **trinket** from her travels.,3
keepsake,памятный подарок,This ring is my favorite **keepsake**.,3
memorabilia,памятные вещи,His sports **memorabilia** fills the entire basement.,4
heirloom,фамильная ценность,This watch is a treasured family **heirloom**.,4
antique,антиквариат,She buys furniture at the **antique** shop downtown.,3
collector,коллекционер,He became a serious coin **collector** at twelve.,2
philately,филателия,**Philately** was once called the hobby of kings.,5
numismatics,нумизматика,**Numismatics** requires knowledge of history and metals.,5
showcase,витрина,Her tiny dolls sit inside the glass **showcase**.,3
curio,диковинка,The old **curio** shop smells of dust and wood.,4
diorama,диорама,His tiny **diorama** recreates a forest scene perfectly.,4
miniature,миниатюра,Each painted **miniature** took him several hours.,3
assembly,сборка,Model **assembly** requires steady hands and tiny tweezers.,3
paintbrush,кисточка,She dipped her **paintbrush** into the yellow paint.,2
watercolor,акварель,His **watercolor** landscapes hang in the local gallery.,3
easel,мольберт,She placed her canvas on the wooden **easel**.,3
palette,палитра,He mixed bright colors on his wooden **palette**.,3
pigment,пигмент,This blue **pigment** comes from crushed minerals.,3
sketchbook,альбом для зарисовок,She carries a small **sketchbook** everywhere she goes.,2
pencilcase,пенал,His **pencilcase** holds every shade of graphite.,2
charcoal,уголь,She draws with soft **charcoal** on rough paper.,3
pastel,пастель,The **pastel** drawing captured the sunset beautifully.,3
canvasboard,холст,She primed the **canvasboard** before starting to paint.,3
etching,офорт,His detailed **etching** took two months to complete.,4
printmaking,эстамп,**Printmaking** combines art skills with chemistry knowledge.,4
woodcut,гравюра на дереве,The ancient **woodcut** print shows a mountain village.,4
linocut,линогравюра,Her colorful **linocut** hangs above the couch.,4
doodle,каракули,He made a quick **doodle** during the boring meeting.,2
calligrapher,каллиграф,The **calligrapher** wrote wedding invitations by hand.,4
inkwell,чернильница,An old **inkwell** sits beside his writing desk.,4
quill,перо,The old **quill** scratched gently across the paper.,4
parchment,пергамент,He wrote the letter on yellow **parchment** paper.,4
manuscript,рукопись,Her unfinished **manuscript** sits in the bottom drawer.,4
whistler,свистун,The **whistler** performed old folk melodies beautifully.,3
humming,напевание,Her soft **humming** filled the quiet kitchen.,2
ocarina,окарина,He plays soft tunes on his clay **ocarina**.,5
harmonica,губная гармошка,He plays the **harmonica** while walking through the park.,3
banjo,банджо,His old **banjo** still sounds bright and lively.,3
ukulele,укулеле,She learned the **ukulele** during summer vacation.,3
songbook,песенник,He keeps an old **songbook** near the piano.,3
metronome,метроном,The **metronome** ticks steadily during piano practice.,4
tuner,тюнер,She uses a small **tuner** before every practice.,3
recital,сольный концерт,Her piano **recital** attracted all the neighbors.,3
birdwatching,наблюдение за птицами,**Birdwatching** taught me patience and careful observation.,3
birdhouse,скворечник,He built a wooden **birdhouse** for the garden.,3
feeder,кормушка,The **feeder** attracts cardinals throughout the winter.,3
fieldguide,полевой определитель,She carries a **fieldguide** on every nature walk.,3
angling,рыбалка,**Angling** requires patience more than any special skill.,3
tacklebox,ящик для снастей,His **tacklebox** contains lures from every fishing trip.,4
bait,наживка,He put fresh **bait** on the curved needle.,2
lure,блесна,The shiny **lure** attracted several curious fish.,3
bobber,поплавок,A red **bobber** danced on the quiet water.,4
reelrod,удочка,He cast the **reelrod** far into the calm lake.,3
boating,катание на лодке,**Boating** on weekends helps him forget work stress.,3
rowboat,гребная лодка,They paddled the small **rowboat** across the pond.,3
kayaking,каякинг,**Kayaking** on the river became her weekend obsession.,3
paragliding,парапланеризм,**Paragliding** offers breathtaking views of the valley below.,4
metaldetecting,поиск металла,He enjoys **metaldetecting** along the quiet beach.,4
foraging,сбор,**Foraging** for mushrooms requires knowledge and caution.,4
beekeeping,пчеловодство,**Beekeeping** rewards patience with sweet golden honey.,4
bonsai,бонсай,Her tiny **bonsai** trees require daily careful attention.,4
terrarium,террариум,The glass **terrarium** houses small green ferns.,3
aquarium,аквариум,His colorful **aquarium** contains twenty tropical fish.,3
rockhound,любитель камней,The old **rockhound** collects unusual stones during hikes.,5
spelunking,спелеология,**Spelunking** takes brave explorers deep underground.,5
astrology,астрология,She studies **astrology** books every evening now.,3
tarot,таро,He reads **tarot** cards for curious friends occasionally.,4
storytelling,рассказывание историй,**Storytelling** around campfires creates lasting childhood memories.,3
