frontend,фронтенд,The **frontend** team rebuilt the whole dashboard last sprint.,3,internet
backend,бэкенд,Our **backend** crashed when users uploaded huge files.,3,internet
fullstack,фулстек,She works as a **fullstack** developer at a startup.,4,internet
endpoint,эндпоинт,This API **endpoint** returns user data in seconds.,4,internet
payload,пейлоад,"Check the request **payload**, it might be malformed.",4,internet
webhook,вебхук,The service sends a **webhook** when orders complete.,4,internet
polling,опрос,Long **polling** keeps clients synced without websockets.,4,internet
websocket,веб-сокет,We switched chat to **websocket** for instant messaging.,4,internet
graphql,графкуэль,The **graphql** query returns exactly what the client needs.,5,internet
microservice,микросервис,Each **microservice** handles one specific business domain.,4,internet
monolith,монолит,"Our old **monolith** ran fine, but scaling hurt badly.",4,internet
deployment,деплоймент,The **deployment** failed because of a missing config file.,3,internet
rollout,раскатка,Gradual **rollout** helps catch bugs before full release.,4,internet
hotfix,хотфикс,"We shipped a **hotfix** overnight, fixing the crash.",4,internet
repository,репозиторий,Clone the **repository** and run the setup script first.,3,internet
bundler,бандлер,A modern **bundler** tree-shakes unused code automatically.,5,internet
transpile,транспайлить,We **transpile** modern javascript for older browsers still.,5,internet
polyfill,полифил,This **polyfill** adds support for missing browser features.,5,internet
serverless,бессерверный,The **serverless** function runs only when triggered.,4,internet
failover,аварийное переключение,"Automatic **failover** kicks in, minimizing service downtime.",5,internet
autoscaling,автомасштабирование,"With **autoscaling**, capacity grows under heavy traffic.",5,internet
ttl,время жизни,Cache **ttl** determines how long data stays valid.,5,internet
tls,шифрование TLS,Every connection now uses **tls** for secure transport.,5,internet
handshake,рукопожатие,"The **handshake** failed, so the secure session died.",4,internet
symmetric,симметричный,A **symmetric** key encrypts and decrypts with the same secret.,4,internet
asymmetric,асимметричный,"**Asymmetric** encryption uses two keys, public and private.",5,internet
keypair,ключевая пара,Generate a new **keypair** before pushing any commits.,5,internet
schema,схема,Update the database **schema** before running migrations.,3,internet
migration,миграция,The **migration** added a new column to users.,3,internet
sharding,шардирование,"With **sharding**, data splits across many database servers.",5,internet
replication,репликация,Database **replication** keeps a hot standby ready always.,4,internet
eventual,конечный,Eventual consistency trades **eventual** freshness for speed.,5,internet
embedding,векторное представление,Each word gets an **embedding** vector in high dimensions.,5,internet
inference,инференс,Model **inference** runs on dedicated graphics cards.,5,internet
hallucinate,галлюцинировать,Language models sometimes **hallucinate** facts that sound real.,5,internet
virality,вирусность,Content **virality** depends on timing and emotional hooks.,5,internet
blockchain,блокчейн,The **blockchain** records every transaction permanently and publicly.,4,internet
tooltip,подсказка,Hover any icon to see its **tooltip** appear.,3,internet
skeleton,скелетон,A loading **skeleton** shows where content will appear.,3,internet
spinner,спиннер,A small **spinner** indicates the page is loading now.,3,internet
clone,клонировать,Let me **clone** the repository to my local machine.,2,internet
rebase,ребейз,"Before merging, always **rebase** onto the latest main branch.",5,internet
revert,откатить,We had to **revert** that commit after production broke.,3,internet
resolve,разрешить конфликт,Please **resolve** the merge conflicts before pushing again.,3,internet
telemetry,телеметрия,Server **telemetry** helps diagnose weird production issues fast.,5,internet
trace,трассировка,A distributed **trace** shows the request across services.,4,internet
uptime,время работы,Our **uptime** hit 99.9 percent last quarter finally.,3,internet
downtime,простой,Planned **downtime** happens every Sunday at midnight sharp.,3,internet
postmortem,разбор инцидента,The **postmortem** revealed a silent cache invalidation bug.,5,internet
debug,отлаживать,I had to **debug** the payment flow all night.,3,internet
heap,куча,The **heap** kept growing until the process finally crashed.,4,internet
throughput,пропускная способность,Higher **throughput** means more requests handled per second.,5,internet
proxy,прокси,The **proxy** server filters requests before forwarding them onward.,3,internet
gateway,шлюз,The API **gateway** routes traffic to many services.,4,internet
middleware,промежуточное ПО,Authentication **middleware** runs before every protected route handler.,5,internet
decorator,декоратор,This **decorator** adds logging to the function automatically.,4,internet
paywall,пейвол,A strict **paywall** blocks articles after two free reads.,4,internet
bitrate,битрейт,Higher **bitrate** streams give clearer audio and video.,4,internet
peering,пиринг,Network **peering** cuts the cost of carrying traffic.,5,internet
backbone,магистраль,Fiber **backbone** cables carry most international internet traffic.,4,internet
hostname,имя хоста,Check the **hostname** before connecting to that server.,4,internet
subdomain,поддомен,The blog lives on a separate **subdomain** from marketing.,4,internet
passkey,ключ доступа,A **passkey** replaces passwords with secure device authentication.,4,internet
honeypot,ловушка,A **honeypot** attracts attackers to study their techniques.,5,internet
darknet,даркнет,The **darknet** hosts marketplaces invisible to normal browsers.,4,internet
torrent,торрент,Downloading via **torrent** splits files across many peers.,3,internet
keyframe,ключевой кадр,Each **keyframe** stores a complete video frame fully.,5,internet
encoder,кодировщик,The video **encoder** compressed the file by half.,4,internet
compression,сжатие,Good **compression** saves bandwidth without ruining image quality.,3,internet
lossless,без потерь,**Lossless** formats preserve every audio detail without any loss.,4,internet
checksum,контрольная сумма,Verify the **checksum** to make sure downloads are clean.,4,internet
filesystem,файловая система,The **filesystem** ran out of space during the build.,4,internet
daemon,демон,A background **daemon** handles all scheduled database backups.,5,internet
hypervisor,гипервизор,The **hypervisor** runs many virtual machines on one host.,5,internet
container,контейнер,Every service ships inside its own isolated **container** now.,3,internet
wireframe,вайрфрейм,Designers shared a **wireframe** before writing production code.,4,internet
mockup,макет,Review the **mockup** before we build the real screen.,3,internet
viewport,область просмотра,The **viewport** meta tag controls mobile display scaling behavior.,4,internet
flexbox,флексбокс,Modern layouts use **flexbox** for responsive element alignment.,4,internet
crawler,краулер,A search **crawler** indexes new pages across the web.,4,internet
