porch,крыльцо,She sat on the **porch** reading a book in the evening sun.,2,home
utility room,подсобное помещение,The washing machine is in the **utility room** off the kitchen.,3,home
bookcase,книжный шкаф,She arranged her novels on the tall oak **bookcase**.,2,home
mantelpiece,каминная полка,Old family photos sit along the stone **mantelpiece**.,3,home
sewing machine,швейная машина,My grandmother taught me how to use her old **sewing machine**.,3,home
electrician,электрик,The **electrician** checked all the wiring before we moved in.,3,home
repaint,перекрасить,We decided to **repaint** the living room a warm shade of grey.,3,home
sealant,герметик,Apply **sealant** around the shower tray to prevent leaks.,4,home
heating,отопление,The **heating** broke down just as winter started.,3,home
plumbing,водопровод,Old houses sometimes have **plumbing** problems in winter.,3,home
thermostat,термостат,Set the **thermostat** to eighteen degrees before you leave.,3,home
circuit breaker,автомат защиты,The **circuit breaker** tripped when we used too many appliances at once.,4,home
fuse,предохранитель,The fuse box blew a **fuse** during the storm last night.,3,home
detergent,моющее средство,Add a cap of **detergent** to the washing machine drum.,3,home
bleach,отбеливатель,She used **bleach** to remove the mould from the bathroom tiles.,3,home
disinfect,дезинфицировать,**Disinfect** the kitchen counter after preparing raw meat.,4,home
landlord,домовладелец,The **landlord** agreed to replace the broken boiler by Friday.,3,home
tenant,жилец,The **tenant** signed a one-year lease for the studio flat.,3,home
lease,договор аренды,"Read the **lease** carefully before you sign anything, especially the small print.",4,home
suburb,пригород,"They moved to a quiet **suburb**, away from the noise of the city centre.",3,home
condo,кондоминиум,She bought a small **condo** on the fifth floor with a city view.,3,home
utilities bill,счёт за коммунальные услуги,The **utilities bill** was higher than usual because of the cold month.,3,home
mow,косить,He goes out to **mow** the lawn every Saturday morning.,2,home
compost,компост,Add vegetable peelings to the **compost** bin in the garden.,3,home
water meter,счётчик воды,The engineer came to read the **water meter** in the basement.,3,home
clogged,засорённый,"The kitchen sink is **clogged** again, probably with grease.",3,home
leaking,протекающий,The **leaking** tap kept her awake all night with its constant drip.,3,home
curtains,занавески,She opened the **curtains** to let the morning light in.,2,home
hallway mirror,зеркало в прихожей,She checked her outfit in the **hallway mirror** before leaving.,3,home
reading lamp,настольная лампа,He switched on the **reading lamp** and picked up his book.,2,home
extension cord,удлинитель,Plug the fan into the **extension cord** by the window.,3,home
power outlet,розетка,The **power outlet** near the desk is convenient for charging.,2,home
light switch,выключатель света,She forgot to press the **light switch** before leaving the room.,2,home
smoke detector,детектор дыма,Test the **smoke detector** at least once every six months.,3,home
carbon monoxide detector,детектор угарного газа,Install a **carbon monoxide detector** near the boiler for safety.,4,home
ceiling fan,потолочный вентилятор,The **ceiling fan** kept the bedroom cool all through August.,3,home
window sill,подоконник,She keeps her succulents lined up along the **window sill**.,2,home
window frame,оконная рама,The old wooden **window frame** needs sanding and repainting.,3,home
door frame,дверная коробка,He had to widen the **door frame** to fit the new sofa through.,4,home
floorboard,половица,One **floorboard** creaks every time you walk to the bathroom.,3,home
skirting board,плинтус,The **skirting board** was damaged when they moved the bookcase.,3,home
spare room,гостевая комната,The **spare room** is ready for when your parents visit.,2,home
en suite,ванная комната при спальне,The master bedroom has an **en suite** with a walk-in shower.,4,home
open plan,открытая планировка,The **open plan** kitchen and living room makes the flat feel spacious.,3,home
fitted kitchen,встроенная кухня,The flat comes with a modern **fitted kitchen** already installed.,3,home
kitchen island,кухонный остров,She chops vegetables on the **kitchen island** in the centre of the kitchen.,3,home
worktop,рабочая поверхность,Granite is a popular material for a kitchen **worktop**.,3,home
skirting,плинтусное отопление,The **skirting** along the walls needs a fresh coat of white paint.,3,home
boiler,котёл,"The **boiler** stopped working, so we had no hot water.",3,home
gas meter,газовый счётчик,The engineer came to check the **gas meter** in the utility cupboard.,3,home
septic tank,септик,"In rural areas, many houses rely on a **septic tank** instead of mains drainage.",4,home
fitted wardrobe,встроенный шкаф,"The bedroom has a **fitted wardrobe** that goes from floor to ceiling, saving space.",3,home
chest of drawers,комод с ящиками,Her jewellery is kept in the top drawer of the **chest of drawers**.,3,home
coffee table,журнальный столик,She placed her mug on the **coffee table** in front of the sofa.,2,home
side table,приставной столик,A small **side table** beside the armchair holds his evening tea.,2,home
dining table,обеденный стол,We all sat around the **dining table** for Christmas dinner.,2,home
kitchen cabinet,кухонный шкаф,The **kitchen cabinet** above the sink is where we keep the mugs.,2,home
loft conversion,мансардное переустройство,A **loft conversion** can add a whole extra room to your home.,4,home
cavity wall,полая стена,**Cavity wall** insulation can significantly reduce heating bills.,4,home
double glazing,двойное остекление,**Double glazing** keeps the house much warmer in winter.,4,home
draught,сквозняк,There is a **draught** coming under the front door all winter.,3,home
condensation,конденсат,**Condensation** forms on the windows every cold morning.,3,home
