racquet,ракетка,She restrung her **racquet** before the big match.,3,sports
tennis,теннис,He has played **tennis** since he was five years old.,2,sports
volleyball,волейбол,Our school **volleyball** team won the regional cup.,2,sports
basketball,баскетбол,**Basketball** practice is held every Tuesday and Thursday.,2,sports
hockey,хоккей,He learned to skate so he could play **hockey**.,2,sports
rugby,регби,**Rugby** players must be both strong and fast.,3,sports
gymnastics,гимнастика,She has trained **gymnastics** since the age of four.,3,sports
skiing,катание на лыжах,**Skiing** down steep mountains gave him a real adrenaline rush.,3,sports
surfing,сёрфинг,**Surfing** huge ocean waves takes years of dedicated practice.,3,sports
snowboarding,сноубординг,She prefers **snowboarding** to skiing on steep slopes.,3,sports
skateboarding,скейтбординг,**Skateboarding** in the park is banned on weekdays.,3,sports
rowing,гребля,**Rowing** builds incredible upper body and core strength.,3,sports
spike,смэш,Her **spike** hit the floor just inside the line.,3,sports
leap,прыжок,The gymnast made a breathtaking **leap** across the mat.,3,sports
dodge,уклонение,He used a quick **dodge** to avoid the incoming tackle.,3,sports
pivot,разворот,The dancer executed a sharp **pivot** and faced the audience.,4,sports
smash,смэш,His overhead **smash** was too fast for the opponent to return.,3,sports
cooldown,заминка,The trainer reminded everyone to complete the **cooldown** after training.,3,sports
strain,растяжение мышц,She suffered a calf **strain** during the warm-up run.,3,sports
supporter,болельщик,Every **supporter** waved a flag when the team scored.,3,sports
spectator,зритель,The stands were full of every **spectator** the arena could hold.,3,sports
commentator,комментатор,The **commentator** described the penalty shootout in vivid detail.,4,sports
wetsuit,гидрокостюм,He pulled on his **wetsuit** before entering the cold water.,4,sports
skis,лыжи,She waxed her **skis** the night before the downhill race.,3,sports
poles,лыжные палки,He planted his **poles** firmly before pushing off the slope.,3,sports
handlebars,руль велосипеда,She gripped the **handlebars** tightly as the road got steeper.,3,sports
crossbar,перекладина,His shot hit the **crossbar** and bounced back into play.,4,sports
qualifier,квалификационный отбор,She won the **qualifier** and secured her place in the final.,4,sports
seeding,посев (рейтинговое распределение),His high **seeding** meant he avoided the top players early on.,5,sports
sponsor,спонсор,The team's new **sponsor** funded the entire training camp abroad.,4,sports
header,удар головой,His powerful **header** sent the ball into the top corner.,4,sports
hamstring,подколенное сухожилие,He pulled his **hamstring** in the first half and had to leave.,4,sports
glove,перчатка,The catcher adjusted her **glove** before the next pitch.,2,sports
trainer,спортивный врач,The **trainer** rushed onto the field to treat the injured player.,3,sports
arena,арена,The ice **arena** was packed for the championship final.,3,sports
stance,стойка,A wide **stance** gives you better balance on the board.,4,sports
footwork,работа ног,Good **footwork** is essential for any tennis player.,4,sports
intensity,интенсивность,The **intensity** of the final lap left everyone breathless.,4,sports
stretching,растяжка,He does twenty minutes of **stretching** before every game.,3,sports
fitness,физическая форма,Her **fitness** level allowed her to compete at the highest level.,3,sports
rep,повторение,Do three sets of twelve **rep** for each exercise.,3,sports
cleat,шип (бутса),He broke a **cleat** while sliding into home plate.,4,sports
boot,бутса,She bought new **boot** for the upcoming football season.,2,sports
leotard,купальник для гимнастики,The gymnast wore a sparkling **leotard** for the floor routine.,4,sports
swimsuit,плавательный костюм,She packed her **swimsuit** for the early morning training session.,2,sports
flipper,ласт,He strapped on each **flipper** before jumping into the pool.,3,sports
snorkel,дыхательная трубка,They used a **snorkel** to observe fish near the reef.,3,sports
buoy,буй,Swimmers must touch the red **buoy** before turning back.,4,sports
mat,мат,She landed perfectly on the **mat** after the vault.,2,sports
pommel,конь (гимнастический снаряд),The gymnast swung smoothly around the **pommel** horse.,5,sports
apparatus,снаряд,Each gymnast chose a different **apparatus** for the final event.,5,sports
harness,страховочная система,The climber checked her **harness** twice before ascending the wall.,4,sports
padding,защитная подкладка,The goalkeeper wore extra **padding** under his jersey today.,4,sports
mouthguard,капа,The boxer inserted his **mouthguard** before the round began.,4,sports
physio,физиотерапевт,The **physio** helped her recover from the knee injury quickly.,4,sports
aerobics,аэробика,She teaches **aerobics** classes at the local sports center.,3,sports
snowboarder,сноубордист,The young **snowboarder** landed a perfect trick on the halfpipe.,4,sports
surfer,сёрфингист,The experienced **surfer** read the wave before paddling out.,4,sports
rower,гребец,The **rower** kept a steady rhythm all the way to the finish.,4,sports
gymnast,гимнаст,The **gymnast** held the handstand for a full five seconds.,3,sports
skier,лыжник,The lead **skier** lost a pole but still finished the course.,3,sports
skater,конькобежец,The **skater** completed a triple jump with perfect form.,3,sports
pacer,темповик,The **pacer** led the runners through the first three kilometers.,4,sports
coordination,координация,His **coordination** improved greatly after months of gymnastics training.,4,sports
dodgeball,вышибалы,The kids played **dodgeball** in the gym on rainy days.,3,sports
weightlifting,тяжёлая атлетика,**Weightlifting** requires precise technique as well as raw power.,4,sports
decathlon,десятиборье,The **decathlon** is considered the ultimate test of all-round athletics.,5,sports
waterpolo,водное поло,**Waterpolo** players need to tread water for the entire match.,4,sports
lacrosse,лакросс,She started playing **lacrosse** after moving to the new school.,4,sports
handball,гандбол,**Handball** is especially popular in Scandinavian countries.,3,sports
squash,сквош,He booked a **squash** court for an early morning session.,3,sports
equestrian,конный спорт,She has competed in **equestrian** events since she was twelve.,5,sports
luge,санный спорт,The **luge** athlete reached speeds of over one hundred kilometres per hour.,5,sports
biathlon,биатлон,**Biathlon** combines cross-country skiing with rifle shooting.,5,sports
velodrome,велодром,The national cycling team trains every morning at the **velodrome**.,5,sports
peloton,пелотон,The lead rider broke away from the main **peloton** early.,5,sports
slipstream,воздушный поток позади спортсмена,She drafted in his **slipstream** to save energy before sprinting.,5,sports
cadence,частота вращения педалей,The cycling coach told him to maintain a higher **cadence**.,5,sports
steeplechase,стипль-чез,The **steeplechase** demands both speed and the ability to clear water jumps.,5,sports
