outlet,аутлет,The new **outlet** sells designer shoes cheaply.,3
warehouse,склад,The furniture **warehouse** opens at nine.,2
wholesaler,оптовик,That **wholesaler** only sells to businesses.,4
pawnshop,ломбард,He sold his watch at the **pawnshop**.,3
thrift,комиссионный,She found vintage dresses at the **thrift** store.,3
consignment,комиссионная,The **consignment** shop sells preloved designer bags.,5
flea,блошиный,We found antiques at the **flea** market.,3
bazaar,базар,The **bazaar** was packed with colorful spices.,3
emporium,магазин,That old **emporium** sells rare vinyl records.,5
bodega,лавка,The corner **bodega** sells fresh sandwiches.,4
hypermarket,гипермаркет,The **hypermarket** has everything under one roof.,3
showroom,шоурум,We visited the car **showroom** yesterday.,2
storefront,витрина,The empty **storefront** needs new tenants soon.,3
galleria,галерея,The marble **galleria** houses luxury brands only.,5
dispensary,диспансер,The medical **dispensary** opened last month.,4
haberdashery,галантерея,The old **haberdashery** sells buttons and thread.,5
drugstore,аптека,Pick up aspirin at the **drugstore** please.,2
chemist,аптекарь,Ask the **chemist** about sleep aids.,3
florist,цветочник,The **florist** arranges weddings and funerals.,3
jeweler,ювелир,Our **jeweler** resized the ring perfectly.,3
voucher,ваучер,She redeemed the **voucher** at the register.,3
markdown,уценка,Winter coats got a huge **markdown** today.,4
clearance,распродажа,All jackets on **clearance** must go.,3
ripoff,обдираловка,Those shoes were a total **ripoff**.,4
overpriced,завышенный,This boutique is seriously **overpriced** for tourists.,3
retail,розничный,The **retail** price is much higher.,3
wholesale,оптовый,She buys jewelry at **wholesale** prices.,3
markup,наценка,The **markup** on luxury bags is insane.,4
rollback,снижение,The store announced a price **rollback** today.,4
bundle,комплект,Buy the **bundle** and save twenty dollars.,3
combo,комбо,The **combo** deal includes fries and drink.,2
freebie,халява,They included a small **freebie** with purchase.,4
giveaway,раздача,The store hosted a **giveaway** for followers.,3
blowout,распродажа,The weekend **blowout** sale drew huge crowds.,4
doorbuster,акция,Arrive early for Friday **doorbuster** deals.,5
haggle,торговаться,Tourists love to **haggle** at Turkish markets.,4
barter,бартер,Farmers used to **barter** goods before money.,4
swap,обменять,Can we **swap** this shirt for a bigger one?,2
compare,сравнить,I always **compare** prices before buying anything.,2
redeem,обналичить,You can **redeem** points for free coffee.,4
inspect,осмотреть,Always **inspect** fruit before putting it in.,3
preorder,предзаказ,I placed a **preorder** for the new phone.,3
backorder,дозаказ,The item is on **backorder** until May.,4
restock,пополнить,Staff will **restock** the shelves tonight.,3
display,витрина,That necklace in the **display** caught my eye.,2
mannequin,манекен,The **mannequin** wore a stunning red dress.,3
bin,корзина,Cheap socks filled the bargain **bin**.,2
pallet,паллета,Workers stacked boxes on a wooden **pallet**.,3
countertop,прилавок,The cashier leaned on the **countertop** smiling.,3
turnstile,турникет,Shoppers exit through the metal **turnstile**.,4
barcode,штрихкод,The **barcode** wouldn't scan at checkout.,3
sticker,наклейка,Every item needs a price **sticker**.,2
carton,коробка,He carried a huge **carton** of cereal.,2
parcel,посылка,The **parcel** arrived two days late.,3
packet,пакетик,She grabbed a **packet** of crackers.,2
packaging,упаковка,The **packaging** was damaged during shipping.,3
exclusive,эксклюзивный,This brand offers **exclusive** online deals.,3
membership,членство,A warehouse club **membership** costs sixty dollars yearly.,3
rewards,награды,Her **rewards** card gives ten percent off.,3
flash,молниеносный,The **flash** sale ends in two hours.,3
perk,бонус,Free shipping is a nice **perk**.,3
installment,рассрочка,She paid the fridge in monthly **installment** plans.,4
layaway,отложить,I put the dress on **layaway** yesterday.,5
cashback,кешбэк,My card offers two percent **cashback** on groceries.,3
contactless,бесконтактный,I paid using **contactless** at the till.,3
authentic,подлинный,This leather bag is one hundred percent **authentic**.,3
counterfeit,контрафактный,Police seized thousands of **counterfeit** handbags.,4
flawed,бракованный,She returned the **flawed** ceramic bowl.,4
damaged,повреждённый,The box arrived completely **damaged** yesterday.,3
defective,неисправный,The blender was **defective** out of the box.,4
preowned,подержанный,This watch is **preowned** but mint condition.,4
pristine,идеальный,The vintage jacket was in **pristine** condition.,4
shoddy,низкокачественный,The zipper feels really **shoddy** and cheap.,5
boxed,коробочный,Buy the **boxed** set for a discount.,3
sealed,запечатанный,The product arrived factory **sealed** and safe.,3
giftwrap,подарочная,Can you **giftwrap** this for me please?,3
cardstock,картон,The box uses thick **cardstock** for protection.,5
wishlist,список,I added this lamp to my **wishlist**.,2
dispatch,отправка,Your **dispatch** confirmation arrived by email.,4
courier,курьер,The **courier** left the package at reception.,3
tote,сумка,She carried her shopping in a canvas **tote**.,3
buggy,тележка,He pushed the grocery **buggy** toward his car.,4
fitting,примерочная,I tried the dress in the **fitting** room.,3
tailor,портной,The **tailor** will shorten these pants.,3
alterations,подгонка,Simple **alterations** cost about twenty dollars.,4
bagger,упаковщик,The teenage **bagger** carried my groceries out.,4
till,касса,She placed money in the **till** carefully.,4
shopper,покупатель,Every **shopper** got a free tote bag.,3
stockist,продавец,This brand has only one local **stockist**.,5
haul,добыча,Her shopping **haul** filled the entire trunk.,4
spree,шопинг,She went on a weekend shopping **spree**.,4
unbox,распаковать,Kids love to **unbox** new toys on camera.,3
reusable,многоразовый,Bring your own **reusable** shopping bags.,3
sample,образец,Try a free cheese **sample** at the counter.,3
tester,тестер,Use the **tester** before buying the perfume.,3
pinpad,пинпад,Enter your PIN on the **pinpad** now.,4
pushcart,тележка,The vendor rolled his **pushcart** down the street.,4
gondola,стеллаж,Snacks filled the center **gondola** aisle.,5
endcap,торцевая,The soda display sits on the **endcap**.,5
sellout,распроданный,The concert tickets were a complete **sellout**.,4
