sophomore,второкурсник,My brother is a **sophomore** at a local college.,3
junior,третьекурсник,As a **junior** she took advanced chemistry classes.,3
undergraduate,студент бакалавриата,Every **undergraduate** must complete a writing course.,4
postgraduate,аспирант,She pursued a **postgraduate** degree in linguistics.,4
alumnus,выпускник,He is a proud **alumnus** of that small school.,4
alumna,выпускница,The famous scientist is an **alumna** of our academy.,4
alumni,выпускники,The **alumni** gathered for their annual dinner.,3
faculty,преподавательский состав,The **faculty** voted to extend the spring break.,3
dormitory,общежитие,Freshmen usually live in the oldest **dormitory**.,3
laboratory,лаборатория,Students conducted experiments in the chemistry **laboratory**.,3
auditorium,актовый зал,The whole school gathered in the main **auditorium**.,3
gymnasium,спортзал,We played basketball in the new **gymnasium** yesterday.,3
quadrangle,внутренний двор,Students picnic on the grassy **quadrangle** at noon.,4
headmaster,директор,The **headmaster** welcomed parents at the open house.,3
headmistress,директриса,Our strict **headmistress** enforced the uniform policy.,3
chancellor,ректор,The university **chancellor** gave a short welcome speech.,4
lecturer,лектор,The visiting **lecturer** explained the theory clearly.,3
educator,педагог,She is a passionate **educator** with twenty years experience.,3
proctor,наблюдатель,The **proctor** walked around during the final exam.,4
chaperone,сопровождающий,A parent **chaperone** joined us on the field trip.,4
peer,сверстник,My study **peer** helped me prepare for the test.,3
schoolmate,школьный друг,I met an old **schoolmate** at the grocery store.,2
roommate,сосед по комнате,My college **roommate** snores loudly every single night.,2
briefcase,портфель,The professor carried a leather **briefcase** to class.,3
satchel,ранец,Her daughter proudly wore her new **satchel** to school.,4
knapsack,рюкзак,He packed his blue **knapsack** with textbooks.,3
locker,шкафчик,Each student gets a small **locker** near the hallway.,2
sharpener,точилка,I need a pencil **sharpener** for my drawings.,2
crayon,цветной карандаш,The child drew a sun with a yellow **crayon**.,2
scissors,ножницы,Kids use safety **scissors** in their art class.,2
projector,проектор,The teacher connected her laptop to the classroom **projector**.,3
globe,глобус,A dusty **globe** stood on the geography teacher's desk.,3
atlas,атлас,We studied rivers using a colorful world **atlas**.,3
encyclopedia,энциклопедия,My grandma kept an old **encyclopedia** on her shelf.,3
almanac,альманах,The farmer's **almanac** predicted a very cold winter.,4
poster,плакат,A bright science **poster** hung above the blackboard.,2
diagram,схема,The biology **diagram** showed the stages of cell division.,3
graph,график,She drew a neat **graph** to show the results.,3
equation,уравнение,He solved the tough math **equation** on the board.,3
formula,формула,I memorized the chemistry **formula** for the final.,3
theorem,теорема,The geometry **theorem** proved the triangle was equal.,4
hypothesis,гипотеза,Our group tested a simple **hypothesis** about plant growth.,4
bursary,стипендия,She received a **bursary** to cover her tuition costs.,5
grant,грант,He won a research **grant** for his senior project.,3
fees,взносы,The annual **fees** for this school keep rising.,3
registrar,регистратор,The **registrar** helped me sign up for new courses.,4
