hotel,отель,The **hotel** stands beside the main square.,1
hotelier,отельер,The **hotelier** greeted us with warm smiles.,4
innkeeper,хозяин гостиницы,The **innkeeper** handed me an old brass key.,3
guesthouse,гостевой дом,We stayed at a quiet **guesthouse** last summer.,3
penthouse,пентхаус,The **penthouse** overlooks the whole sparkling city.,3
loft,лофт,Their **loft** has tall windows and exposed brick.,3
studio,студия,I booked a small **studio** for one night.,2
bunk,койка,He claimed the top **bunk** near the window.,3
cot,раскладушка,The staff brought an extra **cot** for Mia.,3
futon,футон,The spare room has a comfortable **futon**.,3
rollaway,раскладная кровать,They added a **rollaway** for our older son.,4
canopy,балдахин,The bed had a silky white **canopy** above.,4
nightstand,тумбочка,My phone charges on the **nightstand** nightly.,3
dresser,комод,She folded clothes into the oak **dresser**.,2
bureau,бюро,Hotel keys sit on the polished **bureau**.,4
armoire,шкаф,An antique **armoire** dominated the guest bedroom.,4
vanity,туалетный столик,She touched up makeup at the **vanity** mirror.,3
chaise,шезлонг,He relaxed on the **chaise** beside our bed.,4
divan,диван,A velvet **divan** sat under the tall window.,4
sconce,бра,Each wall holds a beautiful brass **sconce**.,4
chandelier,люстра,A crystal **chandelier** hangs over the marble lobby.,4
pendant,подвесной светильник,A copper **pendant** lit the cozy sitting area.,4
plush,роскошный,Our room felt **plush** from floor to ceiling.,3
spacious,просторный,The suite was unexpectedly **spacious** and bright.,2
cramped,тесный,The cheap room felt **cramped** and dark.,3
ornate,богато украшенный,Gold frames decorated the **ornate** entryway.,4
marble,мраморный,The bathroom had shiny black **marble** floors.,3
granite,гранитный,The counter was cut from solid **granite**.,3
airy,просторный и светлый,Our room felt bright and **airy** inside.,3
stuffy,душный,The old room was small and **stuffy**.,3
drafty,продуваемый,The **drafty** window let in cold morning air.,4
soundproof,звуконепроницаемый,The walls are fully **soundproof** between rooms.,3
posh,шикарный,We stayed at a **posh** seaside place.,3
swanky,роскошный,Tourists often flock to this **swanky** destination.,4
opulent,роскошный,The ballroom felt **opulent** and completely timeless.,4
regal,царственный,Red velvet made the hall look **regal**.,4
grand,грандиозный,We crossed the **grand** entrance together slowly.,2
stunning,потрясающий,The sunset view was absolutely **stunning** tonight.,2
charming,очаровательный,The little inn felt **charming** and homey.,2
rustic,деревенский,The cabin had a warm **rustic** feeling.,3
historic,исторический,We toured a **historic** mansion turned inn.,2
butler,дворецкий,Every suite includes a personal **butler** at night.,3
bellboy,коридорный,The **bellboy** carried our bags upstairs quickly.,3
bellman,швейцар-носильщик,The **bellman** directed us toward the front desk.,4
auditor,ночной аудитор,The night **auditor** checked us in after midnight.,4
interpreter,переводчик,The **interpreter** helped us talk with the manager.,3
entertainer,артист,An **entertainer** performed songs near the pool.,3
